Dataset,original dim,intrinsic dim_L1,intrinsic dim_L2,No. of instances
Project0605,14,2.02,5.44,45
Project1441,14,2.24,8.87,44
Project1226,14,2.33,2.91,48
Project0527,14,2.46,3.43,47
Project1431,14,2.53,2.53,59
Project0358,14,2.53,2.77,35
Project0729,14,2.53,3.43,53
Project1022,14,2.53,3.43,59
Project0976,14,2.53,2.53,47
Project0334,14,2.60,2.77,56
Project0720,14,2.67,2.01,41
Project0433,14,2.67,6.86,48
Project0597,14,2.68,3.43,48
Project0996,14,2.77,3.43,48
Project0444,14,2.77,5.44,57
Project1183,14,2.77,5.44,62
Project0128,14,2.77,6.86,38
Project0052,14,2.86,5.44,40
Project0014,14,2.91,2.13,51
Project0300,14,2.91,2.53,33
Project0327,14,2.91,2.91,32
Project0364,14,2.91,3.43,46
Project0196,14,2.91,4.54,40
Project0682,14,2.91,4.54,34
Project1247,14,2.91,4.54,55
Project0007,14,2.91,5.44,55
Project1062,14,3.00,3.43,48
Project0031,14,3.00,5.44,39
Project1306,14,3.00,5.44,40
Project0763,14,3.09,2.87,35
Project0496,14,3.09,3.43,44
Project0949,14,3.10,3.43,45
Project1296,14,3.23,6.86,56
Project0045,14,3.24,3.43,41
Project0987,14,3.43,2.40,54
Project0002,14,3.43,3.43,39
Project0815,14,3.43,3.43,39
Project0853,14,3.43,3.43,39
Project0985,14,3.43,3.43,51
Project1353,14,3.43,3.43,41
Project0244,14,3.43,3.43,39
Project0755,14,3.43,3.43,39
Project1470,14,3.43,3.43,56
Project0184,14,3.43,5.44,42
Project0831,14,3.43,5.44,39
Project0663,14,3.43,7.97,59
Project0770,14,3.43,2.01,40
Project1082,14,3.43,2.01,39
Project1477,14,3.43,2.24,60
Project1025,14,3.43,2.33,36
Project0228,14,3.43,2.53,35
Project0372,14,3.43,2.53,33
Project0884,14,3.43,2.53,41
Project1426,14,3.43,2.53,44
Project0891,14,3.43,2.77,46
Project1249,14,3.43,2.77,44
Project0598,14,3.43,2.77,39
Project0008,14,3.43,3.43,39
Project1386,14,3.43,3.43,39
Project1412,14,3.43,3.43,41
Project0017,14,3.43,3.43,46
Project0082,14,3.43,3.43,35
Project0085,14,3.43,3.43,45
Project0118,14,3.43,3.43,43
Project0125,14,3.43,3.43,42
Project0126,14,3.43,3.43,42
Project0131,14,3.43,3.43,42
Project0134,14,3.43,3.43,47
Project0140,14,3.43,3.43,42
Project0166,14,3.43,3.43,51
Project0175,14,3.43,3.43,28
Project0177,14,3.43,3.43,46
Project0222,14,3.43,3.43,40
Project0230,14,3.43,3.43,49
Project0283,14,3.43,3.43,60
Project0298,14,3.43,3.43,46
Project0299,14,3.43,3.43,38
Project0342,14,3.43,3.43,55
Project0350,14,3.43,3.43,52
Project0389,14,3.43,3.43,60
Project0404,14,3.43,3.43,55
Project0412,14,3.43,3.43,45
Project0422,14,3.43,3.43,53
Project0432,14,3.43,3.43,28
Project0436,14,3.43,3.43,57
Project0449,14,3.43,3.43,52
Project0468,14,3.43,3.43,51
Project0479,14,3.43,3.43,38
Project0486,14,3.43,3.43,57
Project0490,14,3.43,3.43,58
Project0498,14,3.43,3.43,48
Project0501,14,3.43,3.43,38
Project0507,14,3.43,3.43,55
Project0508,14,3.43,3.43,42
Project0510,14,3.43,3.43,40
Project0522,14,3.43,3.43,61
Project0544,14,3.43,3.43,36
Project0574,14,3.43,3.43,59
Project0664,14,3.43,3.43,30
Project0672,14,3.43,3.43,45
Project0674,14,3.43,3.43,41
Project0699,14,3.43,3.43,37
Project0713,14,3.43,3.43,44
Project0736,14,3.43,3.43,59
Project0740,14,3.43,3.43,43
Project0769,14,3.43,3.43,40
Project0772,14,3.43,3.43,49
Project0786,14,3.43,3.43,38
Project0796,14,3.43,3.43,53
Project0805,14,3.43,3.43,54
Project0822,14,3.43,3.43,43
Project0860,14,3.43,3.43,62
Project0865,14,3.43,3.43,36
Project0866,14,3.43,3.43,47
Project0883,14,3.43,3.43,27
Project0886,14,3.43,3.43,53
Project0890,14,3.43,3.43,56
Project0930,14,3.43,3.43,61
Project0982,14,3.43,3.43,38
Project0984,14,3.43,3.43,47
Project1006,14,3.43,3.43,32
Project1012,14,3.43,3.43,44
Project1018,14,3.43,3.43,50
Project1020,14,3.43,3.43,51
Project1031,14,3.43,3.43,33
Project1032,14,3.43,3.43,49
Project1052,14,3.43,3.43,45
Project1078,14,3.43,3.43,45
Project1091,14,3.43,3.43,38
Project1092,14,3.43,3.43,44
Project1145,14,3.43,3.43,56
Project1168,14,3.43,3.43,38
Project1180,14,3.43,3.43,33
Project1181,14,3.43,3.43,37
Project1215,14,3.43,3.43,43
Project1224,14,3.43,3.43,33
Project1229,14,3.43,3.43,53
Project1245,14,3.43,3.43,51
Project1251,14,3.43,3.43,27
Project1259,14,3.43,3.43,28
Project1272,14,3.43,3.43,46
Project1287,14,3.43,3.43,41
Project1289,14,3.43,3.43,42
Project1297,14,3.43,3.43,60
Project1343,14,3.43,3.43,54
Project1344,14,3.43,3.43,52
Project1360,14,3.43,3.43,46
Project1365,14,3.43,3.43,64
Project1370,14,3.43,3.43,53
Project1374,14,3.43,3.43,41
Project1398,14,3.43,3.43,44
Project1444,14,3.43,3.43,45
Project1449,14,3.43,3.43,56
Project1456,14,3.43,3.43,48
Project1460,14,3.43,3.43,44
Project1463,14,3.43,3.43,50
Project1467,14,3.43,3.43,49
Project1486,14,3.43,3.43,35
Project1500,14,3.43,3.43,51
Project1528,14,3.43,3.43,37
Project1532,14,3.43,3.43,28
