dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2008-12-01,2,8,2,1,1,0,0,0,0,0,0,0,0
2009-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,2,4,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2009-08-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,2,20,1,1,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,3,28,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,2,14,1,1,0,0,0,0,0,0,0,0,0
2011-06-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,2,46,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,2,35,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,39,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,1,29,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,1,25,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,2,47,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,42,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,66,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,82,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,2,36,1,1,0,0,0,0,0,0,0,0,0
2012-10-01,2,72,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,3,64,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,2,110,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,2,66,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,3,120,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,3,73,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,4,47,1,1,0,0,0,0,0,0,0,0,0
2013-05-01,4,88,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,5,143,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,4,57,0,1,0,0,0,0,0,0,0,0,0
2013-08-01,4,79,1,1,0,0,0,0,0,0,0,0,0
2013-09-01,2,90,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,4,69,1,1,0,0,0,0,0,0,0,0,0
2013-11-01,5,75,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,4,98,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,4,53,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,5,151,0,1,0,0,0,0,0,0,0,0,0
2014-03-01,5,223,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,6,220,1,1,0,0,0,0,0,0,0,0,0
2014-05-01,7,159,1,1,0,0,0,0,0,0,0,0,0
2014-06-01,4,109,0,1,0,0,0,0,0,0,0,0,0
2014-07-01,6,237,1,1,0,0,0,0,0,0,0,0,0
2014-08-01,5,155,0,1,0,0,0,0,0,0,0,0,0
2014-09-01,4,85,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,4,140,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,4,118,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,7,267,2,1,0,0,0,0,0,0,0,0,0
2015-01-01,7,269,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,6,232,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,7,291,1,1,0,0,0,0,0,0,0,0,0
2015-04-01,9,249,2,1,0,0,0,0,0,0,0,0,0
2015-05-01,9,216,0,1,0,0,0,0,0,0,0,0,0
2015-06-01,11,207,2,1,0,0,0,0,0,0,0,0,0
