dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-01-01,1,18,1,1,1,0,0,0,0,0,0,0,0
2003-02-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,1,50,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2003-06-01,1,54,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,1,43,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,2,65,1,2,1,0,0,0,0,0,0,0,0
2004-04-01,2,15,0,2,0,0,0,0,0,0,0,0,0
2004-05-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
