dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2006-01-01,2,21,2,2,2,0,0,0,0,0,0,0,0
2006-02-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,6,31,4,4,2,0,0,0,0,0,0,0,0
2007-02-01,3,13,0,3,0,0,0,0,0,0,0,0,0
2007-03-01,7,47,3,6,3,0,0,0,0,0,0,0,0
2007-04-01,7,87,0,6,0,0,0,0,0,0,0,0,0
2007-05-01,5,38,1,4,1,0,0,0,0,0,0,0,0
2007-06-01,5,43,1,3,0,0,0,0,0,0,0,0,0
2007-07-01,5,127,0,4,0,0,0,0,0,0,0,0,0
2007-08-01,6,140,2,4,1,0,0,0,0,0,0,0,0
2007-09-01,7,82,1,5,0,0,0,0,0,0,0,0,0
2007-10-01,5,43,0,3,0,0,0,0,0,0,0,0,0
2007-11-01,7,46,0,5,0,0,0,0,0,0,0,0,0
2007-12-01,5,70,0,3,0,0,0,0,0,0,0,0,0
2008-01-01,6,86,1,3,0,0,0,0,0,0,0,0,0
2008-02-01,7,78,0,4,0,0,0,0,0,0,0,0,0
2008-03-01,6,42,0,3,0,0,0,0,0,0,0,0,0
2008-04-01,7,88,0,4,0,0,0,0,0,0,0,0,0
2008-05-01,5,30,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,8,63,1,4,0,0,0,0,0,0,0,0,0
2008-07-01,7,53,0,3,0,0,0,0,0,0,0,0,0
2008-08-01,7,61,0,3,0,0,0,0,0,0,0,0,0
2008-09-01,6,138,0,3,0,0,0,0,0,0,0,0,0
2008-10-01,6,90,0,3,0,0,0,0,0,0,0,0,0
2008-11-01,7,87,0,3,0,0,0,0,0,0,0,0,0
2008-12-01,6,75,0,3,0,0,0,0,0,0,0,0,0
2009-01-01,7,59,0,3,0,0,0,0,0,0,0,0,0
2009-02-01,5,67,0,2,0,0,0,0,0,0,0,0,0
2009-03-01,9,104,1,4,0,0,0,0,0,0,0,0,0
2009-04-01,5,73,0,2,0,0,0,0,0,0,0,0,0
2009-05-01,8,105,0,3,0,0,0,0,0,0,0,0,0
2009-06-01,8,184,0,3,0,0,0,0,0,0,0,0,0
2009-07-01,5,91,0,2,0,0,0,0,0,0,0,0,0
2009-08-01,5,57,0,2,0,0,0,0,0,0,0,0,0
2009-09-01,6,61,0,3,0,0,0,0,0,0,0,0,0
2009-10-01,5,49,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,6,82,0,3,0,0,0,0,0,0,0,0,0
2009-12-01,5,61,0,2,0,0,0,0,0,0,0,0,0
2010-01-01,3,40,0,2,0,0,0,0,0,0,0,0,0
2010-02-01,3,53,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,3,34,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,3,99,0,2,0,0,0,0,0,0,0,0,0
2010-05-01,4,60,0,2,0,0,0,0,0,0,0,0,0
2010-06-01,4,81,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,4,43,0,3,0,0,0,0,0,0,0,0,0
2010-08-01,4,43,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,3,52,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,3,75,0,2,0,0,0,0,0,0,0,0,0
2010-11-01,3,58,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,4,31,0,3,0,0,0,0,0,0,0,0,0
2011-01-01,4,54,0,3,0,0,0,0,0,0,0,0,0
