dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-06-01,1,19,1,1,1,0,0,0,0,0,0,0,0
2009-07-01,2,21,1,2,1,0,0,0,0,0,0,0,0
2009-08-01,8,54,6,8,6,0,0,0,0,0,0,0,0
2009-09-01,77,284,71,58,52,0,0,0,0,0,0,0,0
2009-10-01,69,215,41,46,28,0,0,0,0,0,0,0,0
2009-11-01,44,158,28,36,25,0,0,0,0,0,0,0,0
2009-12-01,61,215,44,44,27,0,0,0,0,0,0,0,0
2010-01-01,79,206,54,47,28,0,0,0,0,0,0,0,0
2010-02-01,73,254,38,47,24,0,0,0,0,0,0,0,0
2010-03-01,88,230,62,61,42,0,0,0,0,0,0,0,0
2010-04-01,86,259,57,53,28,0,0,0,0,0,0,0,0
2010-05-01,104,241,60,68,38,0,0,0,0,0,0,0,0
2010-06-01,101,292,60,64,34,0,0,0,0,0,0,0,0
2010-07-01,127,316,70,83,41,0,0,0,0,0,0,0,0
2010-08-01,117,286,61,65,28,0,0,0,0,0,0,0,0
2010-09-01,119,281,67,66,34,0,0,0,0,0,0,0,0
2010-10-01,121,280,69,65,36,0,0,0,0,0,0,0,0
2010-11-01,129,274,79,83,51,0,0,0,0,0,0,0,0
2010-12-01,112,215,68,74,44,0,0,0,0,0,0,0,0
2011-01-01,118,194,65,73,34,0,0,0,0,0,0,0,0
2011-02-01,124,275,61,83,36,0,0,0,0,0,0,0,0
2011-03-01,150,399,90,99,49,0,0,0,0,0,0,0,0
2011-04-01,153,301,87,93,44,0,0,0,0,0,0,0,0
2011-05-01,128,246,62,70,25,0,0,0,0,0,0,0,0
2011-06-01,126,263,65,77,38,0,0,0,0,0,0,0,0
2011-07-01,142,260,82,88,42,0,0,0,0,0,0,0,0
2011-08-01,173,360,98,100,51,0,0,0,0,0,0,0,0
2011-09-01,170,406,97,106,53,0,0,0,0,0,0,0,0
2011-10-01,146,315,78,81,39,0,0,0,0,0,0,0,0
2011-11-01,129,304,68,76,40,0,0,0,0,0,0,0,0
2011-12-01,164,291,94,73,30,0,0,0,0,0,0,0,0
2012-01-01,167,379,93,101,49,0,0,0,0,0,0,0,0
2012-02-01,181,756,93,101,40,0,0,0,0,0,0,0,0
2012-03-01,177,540,101,86,47,0,0,0,0,0,0,0,0
2012-04-01,171,426,86,94,43,0,0,0,0,0,0,0,0
2012-05-01,166,462,82,98,41,0,0,0,0,0,0,0,0
2012-06-01,153,496,70,85,35,0,0,0,0,0,0,0,0
2012-07-01,141,457,75,79,36,0,0,0,0,0,0,0,0
2012-08-01,172,831,96,103,51,0,0,0,0,0,0,0,0
2012-09-01,186,551,107,109,56,0,0,0,0,0,0,0,0
2012-10-01,170,502,83,94,37,0,0,0,0,0,0,0,0
2012-11-01,155,374,71,82,29,0,0,0,0,0,0,0,0
2012-12-01,153,387,69,78,29,0,0,0,0,0,0,0,0
2013-01-01,196,1079,107,100,49,0,0,0,0,0,0,0,0
2013-02-01,185,688,87,98,44,0,0,0,0,0,0,0,0
2013-03-01,217,670,105,112,42,0,0,0,0,0,0,0,0
2013-04-01,209,480,107,111,51,0,0,0,0,0,0,0,0
2013-05-01,197,518,102,102,45,0,0,0,0,0,0,0,0
2013-06-01,185,607,97,104,50,0,0,0,0,0,0,0,0
2013-07-01,183,523,86,97,47,0,0,0,0,0,0,0,0
2013-08-01,212,625,99,108,43,0,0,0,0,0,0,0,0
2013-09-01,219,726,95,116,37,0,0,0,0,0,0,0,0
2013-10-01,222,577,115,119,53,0,0,0,0,0,0,0,0
2013-11-01,242,891,125,138,71,0,0,0,0,0,0,0,0
2013-12-01,208,589,93,113,49,0,0,0,0,0,0,0,0
2014-01-01,215,645,99,118,48,0,0,0,0,0,0,0,0
2014-02-01,241,929,106,137,56,0,0,0,0,0,0,0,0
2014-03-01,245,1429,123,133,58,0,0,0,0,0,0,0,0
2014-04-01,250,856,109,138,54,0,0,0,0,0,0,0,0
2014-05-01,241,1141,112,122,50,0,0,0,0,0,0,0,0
2014-06-01,238,912,106,139,51,0,0,0,0,0,0,0,0
2014-07-01,230,1003,109,131,52,0,0,0,0,0,0,0,0
2014-08-01,217,976,105,117,51,0,0,0,0,0,0,0,0
2014-09-01,203,978,77,118,39,0,0,0,0,0,0,0,0
2014-10-01,243,1537,96,138,47,0,0,0,0,0,0,0,0
2014-11-01,217,978,99,127,51,0,0,0,0,0,0,0,0
2014-12-01,206,1140,82,108,37,0,0,0,0,0,0,0,0
2015-01-01,225,1209,101,118,44,0,0,0,0,0,0,0,0
2015-02-01,203,925,79,105,29,0,0,0,0,0,0,0,0
2015-03-01,240,1102,109,130,45,0,0,0,0,0,0,0,0
2015-04-01,246,1188,105,129,54,0,0,0,0,0,0,0,0
2015-05-01,253,1439,98,126,38,0,0,0,0,0,0,0,0
2015-06-01,253,1185,105,135,40,0,0,0,0,0,0,0,0
2015-07-01,261,1290,103,153,55,0,0,0,0,0,0,0,0
2015-08-01,245,1284,88,122,34,0,0,0,0,0,0,0,0
2015-09-01,253,1935,95,131,43,0,0,0,0,0,0,0,0
2015-10-01,281,1892,113,161,54,0,0,0,0,0,0,0,0
2015-11-01,278,1486,112,163,60,0,0,0,0,0,0,0,0
2015-12-01,296,1539,125,150,51,0,0,0,0,0,0,0,0
2016-01-01,301,1496,119,174,58,0,0,0,0,0,0,0,0
2016-02-01,300,1597,117,160,56,0,0,0,0,0,0,0,0
2016-03-01,311,1253,118,173,37,0,0,0,0,0,0,1,2
2016-04-01,309,2227,125,157,44,658,544,83,727,681,4123,222,262
2016-05-01,279,1273,120,141,46,786,607,151,875,831,4940,131,179
2016-06-01,235,1546,87,115,32,822,668,123,920,878,5426,99,150
2016-07-01,254,1701,96,120,34,862,709,103,960,908,5676,93,129
2016-08-01,205,1498,71,106,29,817,697,150,902,950,5593,93,135
2016-09-01,234,4116,86,121,35,882,729,146,1046,1002,6604,112,136
2016-10-01,259,2097,102,147,52,911,804,116,1013,1033,4911,128,163
2016-11-01,255,1705,98,135,39,902,815,105,978,997,4430,91,127
2016-12-01,207,1845,71,118,34,844,775,70,936,937,3982,90,111
2017-01-01,221,2125,85,128,35,1005,902,72,1126,1095,5040,90,145
2017-02-01,217,2563,77,125,35,880,794,108,962,995,4324,87,146
2017-03-01,251,2632,83,131,32,1370,967,435,1456,1514,5893,109,128
2017-04-01,195,2108,70,110,27,1098,802,247,1170,1106,3829,101,126
2017-05-01,203,1996,75,116,32,973,829,211,1041,1113,4220,95,118
2017-06-01,183,1887,63,96,24,967,776,175,1044,1021,4038,101,135
2017-07-01,199,1980,65,109,26,1000,748,236,1078,1075,4318,109,138
2017-08-01,198,2313,65,119,33,1114,892,235,1196,1203,4252,115,138
2017-09-01,194,6173,68,106,31,1220,940,264,1326,1305,4827,130,121
2017-10-01,231,2567,78,114,29,1229,979,251,1329,1334,5003,229,171
2017-11-01,170,1870,64,93,32,1027,841,177,1096,1084,3926,186,127
2017-12-01,166,2191,59,77,17,1015,821,201,1088,1112,4373,195,125
2018-01-01,178,2539,62,91,23,1147,877,251,1230,1211,4219,181,151
2018-02-01,172,2100,59,87,21,1064,858,242,1126,1159,3412,170,128
2018-03-01,192,3304,60,99,22,1256,1014,235,1353,1342,3798,219,137
2018-04-01,176,2321,67,100,31,1145,946,194,1267,1261,3763,184,150
2018-05-01,169,2226,57,86,19,1167,935,250,1238,1256,3015,177,132
2018-06-01,154,1963,47,79,16,1004,772,226,1078,1063,3266,146,128
2018-07-01,151,1756,49,68,15,961,754,185,1049,1023,2531,166,142
2018-08-01,213,5482,82,103,28,915,862,81,986,1002,3464,169,158
2018-09-01,226,3019,90,113,38,843,681,139,942,918,3315,185,146
2018-10-01,288,2004,108,146,55,896,717,170,987,987,4051,186,208
2018-11-01,239,2079,77,124,33,1021,924,85,1081,1081,3793,214,170
2018-12-01,193,1679,48,101,16,866,775,115,931,955,3320,142,160
2019-01-01,287,2698,110,157,46,919,683,174,1007,947,3811,259,213
2019-02-01,274,1337,89,122,26,763,738,73,841,893,3543,171,153
2019-03-01,277,1851,111,156,52,1056,933,93,1119,1094,3135,189,199
2019-04-01,288,1611,100,151,39,825,785,67,880,904,3017,182,167
2019-05-01,229,2188,68,115,23,1071,935,81,1124,1066,3400,178,168
2019-06-01,198,1866,49,107,18,867,832,83,915,961,2942,124,135
2019-07-01,184,1890,56,107,20,1098,946,79,1131,1050,2026,165,163
2019-08-01,195,2355,67,127,35,1050,1034,37,1098,1114,2619,158,178
2019-09-01,198,2483,60,109,26,969,862,114,1021,1032,3040,179,136
2019-10-01,239,5477,77,132,29,1220,1054,152,1290,1268,4019,184,175
2019-11-01,248,2442,81,133,34,1262,1098,167,1311,1321,4130,133,152
2019-12-01,235,2064,76,121,36,1044,983,137,1084,1176,3321,123,155
2020-01-01,227,2160,66,113,19,1176,1008,116,1201,1152,2692,135,160
2020-02-01,238,2240,75,117,25,1190,1033,168,1232,1241,3136,141,145
2020-03-01,245,3747,81,124,29,1469,1222,238,1515,1505,3958,138,167
2020-04-01,274,3466,86,150,36,1620,1435,211,1662,1688,5814,147,184
2020-05-01,256,3103,75,143,33,1461,1306,168,1500,1505,5452,149,179
2020-06-01,223,3298,64,122,24,1564,1394,151,1598,1583,5765,147,178
2020-07-01,221,8022,62,108,25,1729,1471,270,1778,1788,7289,199,149
2020-08-01,215,3013,52,99,14,1461,1285,188,1488,1505,5273,131,159
2020-09-01,9,53,1,6,0,40,31,4,42,35,91,3,7
