dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-05-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2012-06-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2013-08-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,3,30,2,3,2,0,0,0,0,0,0,0,0
2013-11-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,1,80,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,3,102,2,3,2,0,0,0,0,0,0,0,0
2014-03-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,3,36,1,3,1,0,0,0,0,0,0,0,0
2014-05-01,3,38,2,3,2,0,0,0,0,0,0,0,0
2014-06-01,4,256,2,3,1,0,0,0,0,0,0,0,0
2014-07-01,4,88,2,4,2,0,0,0,0,0,0,0,0
2014-08-01,2,96,1,2,1,0,0,0,0,0,0,0,0
2014-09-01,4,110,1,3,0,0,0,0,0,0,0,0,0
2014-10-01,2,128,0,2,0,0,0,0,0,0,0,0,0
2014-11-01,1,80,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,2,14,1,2,0,0,0,0,0,0,0,0,0
2015-01-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,2,100,0,2,0,0,0,0,0,0,0,0,0
2015-03-01,2,36,1,2,1,0,0,0,0,0,0,0,0
2015-04-01,4,70,2,4,2,0,0,0,0,0,0,0,0
2015-05-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,2,10,1,2,1,0,0,0,0,0,0,0,0
2015-09-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2015-10-01,1,118,0,1,0,0,0,0,0,0,0,0,0
2015-11-01,2,166,0,2,0,0,0,0,0,0,0,0,0
2015-12-01,2,40,1,2,1,0,0,0,0,0,0,0,0
2016-01-01,5,137,3,5,2,0,0,0,0,0,0,0,0
2016-02-01,5,24,3,4,0,0,0,0,0,0,0,0,0
2016-03-01,2,41,1,2,0,0,0,0,0,0,0,0,0
2016-04-01,4,32,2,3,1,0,0,0,0,0,0,0,0
