dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-03-01,2,57,2,2,2,0,0,0,0,0,0,0,0
2009-04-01,1,116,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,2,62,1,2,1,0,0,0,0,0,0,0,0
2009-06-01,2,16,0,2,0,0,0,0,0,0,0,0,0
2009-07-01,1,135,1,1,1,0,0,0,0,0,0,0,0
2009-08-01,1,117,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,1,255,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,1,519,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,2,212,1,2,1,0,0,0,0,0,0,0,0
2009-12-01,2,231,1,2,1,0,0,0,0,0,0,0,0
2010-01-01,1,210,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,1,199,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,2,358,1,2,1,0,0,0,0,0,0,0,0
2010-04-01,1,270,0,1,0,0,0,0,0,0,0,0,0
2010-05-01,1,281,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,2,309,1,2,1,0,0,0,0,0,0,0,0
2010-07-01,1,329,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,1,214,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,1,227,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,1,348,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,879,1,2,1,0,0,0,0,0,0,0,0
2010-12-01,2,327,0,2,0,0,0,0,0,0,0,0,0
2011-01-01,5,607,3,5,2,0,0,0,0,0,0,0,0
2011-02-01,5,236,2,3,0,0,0,0,0,0,0,0,0
2011-03-01,3,239,0,2,0,0,0,0,0,0,0,0,0
2011-04-01,10,347,7,6,3,0,0,0,0,0,0,0,0
2011-05-01,7,312,4,6,3,0,0,0,0,0,0,0,0
