dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2002-01-01,8,795,8,1,1,0,0,0,0,0,0,0,0
2002-02-01,7,202,1,1,0,0,0,0,0,0,0,0,0
2002-03-01,8,265,0,1,0,0,0,0,0,0,0,0,0
2002-04-01,8,86,0,1,0,0,0,0,0,0,0,0,0
2002-05-01,4,20,0,1,0,0,0,0,0,0,0,0,0
2002-06-01,4,26,0,1,0,0,0,0,0,0,0,0,0
2002-07-01,6,131,0,1,0,0,0,0,0,0,0,0,0
2002-08-01,5,125,0,1,0,0,0,0,0,0,0,0,0
2002-09-01,4,54,0,1,0,0,0,0,0,0,0,0,0
2002-10-01,4,47,0,1,0,0,0,0,0,0,0,0,0
2002-11-01,5,31,0,1,0,0,0,0,0,0,0,0,0
2002-12-01,3,50,0,1,0,0,0,0,0,0,0,0,0
2003-01-01,3,57,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,6,84,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,6,85,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,5,26,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,5,72,0,1,0,0,0,0,0,0,0,0,0
2003-06-01,3,32,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,4,41,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,5,48,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,6,89,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,4,120,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,4,68,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,5,42,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,3,16,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,3,13,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,3,26,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,2,2,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,4,12,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,2,13,0,1,0,0,0,0,0,0,0,0,0
2004-12-01,3,22,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,3,39,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,3,14,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,3,29,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,2,19,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,2,13,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,2,14,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,2,20,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,2,25,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,3,32,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,4,41,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,2,24,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,4,36,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,3,44,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,2,29,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,3,27,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,2,18,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,3,52,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,4,45,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,2,33,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,2,26,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,3,53,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,2,38,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,2,42,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,2,44,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,3,14,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,4,18,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,2,17,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,2,6,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,3,5,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,2,2,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,3,13,0,1,0,0,0,0,0,0,0,0,0
2009-04-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,3,15,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,3,12,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,2,9,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,3,15,0,1,0,0,0,0,0,0,0,0,0
