dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-11-01,1,188,1,1,1,0,0,0,15,0,25,0,0
2009-12-01,1,211,0,1,0,0,0,0,9,0,19,0,0
2010-01-01,1,184,0,1,0,0,0,0,21,0,54,0,0
2010-02-01,11,180,10,4,3,0,0,0,52,0,118,0,0
2010-03-01,9,227,2,3,0,0,0,0,92,0,195,0,0
2010-04-01,9,196,2,4,1,0,0,0,59,0,136,0,0
2010-05-01,8,159,0,3,0,0,0,0,19,0,36,0,0
2010-06-01,9,280,2,4,1,0,0,0,8,0,22,0,0
2010-07-01,9,551,0,3,0,0,0,0,92,0,221,0,0
2010-08-01,7,59,0,3,0,0,0,0,66,0,199,0,0
2010-09-01,10,258,3,4,0,0,0,0,31,0,94,0,0
2010-10-01,11,583,1,3,0,0,0,0,68,0,178,0,0
2010-11-01,10,547,2,3,1,0,0,0,192,0,446,0,0
2010-12-01,9,365,1,3,1,0,0,0,272,0,591,0,0
2011-01-01,6,130,0,3,0,0,0,0,113,0,267,0,0
2011-02-01,8,306,0,2,0,0,0,0,116,0,279,0,0
2011-03-01,8,436,1,3,1,0,0,0,226,0,505,0,0
2011-04-01,9,175,1,3,1,0,0,0,167,0,385,0,0
2011-05-01,7,128,0,2,0,0,0,0,106,0,255,0,0
2011-06-01,6,80,0,2,0,0,0,0,96,0,243,0,0
2011-07-01,2,3,0,2,0,0,0,0,61,0,118,0,0
2011-08-01,4,8,3,4,2,0,0,0,49,0,147,0,0
2011-09-01,3,93,1,3,1,0,0,0,43,0,82,0,0
2011-10-01,3,66,2,3,2,0,0,0,50,0,191,0,0
2011-11-01,4,53,2,4,2,0,0,0,65,0,219,0,0
2011-12-01,3,126,0,3,0,0,0,0,54,0,166,0,0
2012-01-01,1,126,0,1,0,0,0,0,80,0,204,0,0
2012-02-01,2,149,0,2,0,0,0,0,102,0,316,0,0
2012-03-01,1,56,0,1,0,0,0,0,97,0,316,0,0
2012-04-01,1,21,0,1,0,0,0,0,51,0,169,0,0
2012-05-01,2,80,0,2,0,0,0,0,72,0,205,0,0
2012-06-01,3,78,1,3,1,0,0,0,62,0,177,0,0
2012-07-01,3,96,2,3,1,0,0,0,113,0,376,0,0
2012-08-01,4,109,3,4,1,0,0,0,109,0,374,0,0
2012-09-01,5,85,3,5,3,0,0,0,82,0,254,0,0
2012-10-01,7,102,3,6,3,0,0,0,127,0,387,0,0
2012-11-01,4,31,1,4,1,0,0,0,105,0,297,0,0
2012-12-01,5,9,0,5,0,0,0,0,67,0,170,0,0
2013-01-01,2,12,0,2,0,0,0,0,41,0,141,0,0
2013-02-01,4,80,0,4,0,0,0,0,71,0,211,0,0
2013-03-01,4,77,0,4,0,0,0,0,56,0,137,0,0
2013-04-01,10,79,4,10,4,0,0,0,116,0,305,0,0
2013-05-01,8,112,1,8,1,0,0,0,111,0,326,0,0
2013-06-01,6,80,1,6,1,0,0,0,70,0,221,0,0
2013-07-01,6,102,1,5,0,0,0,0,112,0,441,0,0
2013-08-01,24,126,15,19,9,0,0,0,103,0,377,0,0
2013-09-01,12,66,4,10,2,0,0,0,107,0,279,0,0
2013-10-01,13,105,5,9,1,0,0,0,85,0,250,0,0
2013-11-01,15,82,5,15,5,0,0,0,69,0,279,0,0
2013-12-01,10,49,2,10,2,0,0,0,66,0,250,0,0
2014-01-01,13,60,4,11,2,0,0,0,79,0,213,0,0
2014-02-01,10,59,0,9,0,0,0,0,60,0,193,0,0
2014-03-01,18,112,7,15,3,0,0,0,63,0,219,0,0
2014-04-01,5,64,0,3,0,0,0,0,71,0,265,0,0
2014-05-01,8,99,1,7,1,0,0,0,78,0,326,0,0
2014-06-01,8,64,1,7,1,0,0,0,43,0,165,0,0
2014-07-01,12,169,2,10,1,0,0,0,65,0,287,0,0
2014-08-01,15,222,2,13,1,0,0,0,66,0,185,0,0
2014-09-01,12,75,2,9,2,0,0,0,69,0,193,0,0
2014-10-01,13,134,3,10,3,0,0,0,61,0,134,0,0
2014-11-01,10,71,3,9,2,0,0,0,51,0,119,0,0
2014-12-01,10,38,3,7,1,0,0,0,31,0,49,0,0
2015-01-01,10,60,1,9,1,0,0,0,50,0,77,0,0
2015-02-01,24,93,6,20,3,0,0,0,54,0,119,0,0
2015-03-01,13,61,1,9,0,0,0,0,73,0,216,0,0
2015-04-01,17,158,8,12,4,2,2,0,88,3821,11739,119,24
2015-05-01,19,101,7,13,4,2,2,0,119,93,626,80,51
2015-06-01,24,166,7,15,3,0,0,0,121,95,658,58,30
2015-07-01,18,302,2,14,1,1,1,0,141,117,826,59,36
2015-08-01,17,205,2,13,0,1,1,0,127,118,944,42,30
2015-09-01,19,197,7,13,2,0,0,0,151,116,779,53,35
2015-10-01,22,114,7,13,1,2,1,1,118,100,600,53,22
2015-11-01,18,87,7,15,4,1,0,0,109,69,529,49,38
2015-12-01,22,165,8,14,2,2,1,1,150,83,662,45,22
2016-01-01,16,93,3,10,0,0,1,0,68,92,607,54,33
2016-02-01,14,129,3,10,2,1,0,1,182,129,845,35,20
2016-03-01,18,127,2,12,1,3,2,1,190,177,1158,62,41
2016-04-01,18,69,5,7,1,2,2,0,158,112,951,51,31
2016-05-01,16,35,3,9,1,0,0,0,85,116,619,37,21
2016-06-01,7,19,0,4,0,1,0,0,79,24,342,44,23
2016-07-01,10,15,2,8,0,0,0,0,46,26,207,34,21
2016-08-01,9,10,5,7,2,0,1,0,38,40,157,43,26
2016-09-01,6,23,1,4,0,2,2,0,79,61,250,32,26
2016-10-01,13,43,3,8,1,0,0,0,187,186,772,41,27
2016-11-01,13,19,6,7,0,0,0,0,87,55,405,34,28
2016-12-01,20,30,8,11,1,0,0,0,43,50,176,47,23
2017-01-01,16,45,2,10,0,0,0,0,54,60,319,26,22
2017-02-01,10,20,1,6,1,0,0,0,39,38,189,37,14
