dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
1999-03-01,1,3,1,1,1,0,0,0,0,0,0,0,0
1999-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-01,1,50,0,1,0,0,0,0,0,0,0,0,0
2000-04-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2000-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-06-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2000-07-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2000-08-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-09-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2000-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-11-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2000-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2001-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-02-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2001-03-01,2,11,1,2,1,0,0,0,0,0,0,0,0
2001-04-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2001-05-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2001-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2001-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2001-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2001-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-11-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2001-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2002-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2002-03-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2002-04-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2002-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2002-06-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2002-07-01,2,11,1,2,1,0,0,0,0,0,0,0,0
2002-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2002-11-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2002-12-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2003-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,2,72,0,2,0,0,0,0,0,0,0,0,0
2003-04-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,1,2,0,1,0,0,0,0,0,0,0,0,0
