dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2000-10-01,3,74,3,3,3,0,0,0,0,0,0,0,0
2000-11-01,4,162,1,3,0,0,0,0,0,0,0,0,0
2000-12-01,5,95,2,3,0,0,0,0,0,0,0,0,0
2001-01-01,5,148,0,3,0,0,0,0,0,0,0,0,0
2001-02-01,5,141,0,3,0,0,0,0,0,0,0,0,0
2001-03-01,5,168,0,3,0,0,0,0,0,0,0,0,0
2001-04-01,5,137,0,3,0,0,0,0,0,0,0,0,0
2001-05-01,5,101,0,3,0,0,0,0,0,0,0,0,0
2001-06-01,5,47,0,3,0,0,0,0,0,0,0,0,0
2001-07-01,9,71,3,4,1,0,0,0,0,0,0,0,0
2001-08-01,6,103,0,3,0,0,0,0,0,0,0,0,0
2001-09-01,5,123,1,3,0,0,0,0,0,0,0,0,0
2001-10-01,4,111,0,3,0,0,0,0,0,0,0,0,0
2001-11-01,4,93,0,3,0,0,0,0,0,0,0,0,0
2001-12-01,7,100,0,3,0,0,0,0,0,0,0,0,0
2002-01-01,7,102,0,3,0,0,0,0,0,0,0,0,0
2002-02-01,7,59,0,3,0,0,0,0,0,0,0,0,0
2002-03-01,4,117,0,3,0,0,0,0,0,0,0,0,0
2002-04-01,5,69,1,3,0,0,0,0,0,0,0,0,0
2002-05-01,4,37,0,3,0,0,0,0,0,0,0,0,0
2002-06-01,5,41,0,3,0,0,0,0,0,0,0,0,0
2002-07-01,5,23,1,3,0,0,0,0,0,0,0,0,0
2002-08-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2002-09-01,4,20,0,3,0,0,0,0,0,0,0,0,0
2002-10-01,3,21,0,2,0,0,0,0,0,0,0,0,0
2002-11-01,3,21,0,2,0,0,0,0,0,0,0,0,0
2002-12-01,3,22,0,3,0,0,0,0,0,0,0,0,0
2003-01-01,4,29,0,2,0,0,0,0,0,0,0,0,0
2003-02-01,4,104,1,3,0,0,0,0,0,0,0,0,0
2003-03-01,3,161,0,3,0,0,0,0,0,0,0,0,0
2003-04-01,3,124,0,3,0,0,0,0,0,0,0,0,0
2003-05-01,3,40,0,3,0,0,0,0,0,0,0,0,0
2003-06-01,3,12,0,2,0,0,0,0,0,0,0,0,0
2003-07-01,8,76,2,3,0,0,0,0,0,0,0,0,0
2003-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,3,52,0,3,0,0,0,0,0,0,0,0,0
2003-10-01,3,90,0,3,0,0,0,0,0,0,0,0,0
2003-11-01,3,69,0,3,0,0,0,0,0,0,0,0,0
2003-12-01,3,123,0,3,0,0,0,0,0,0,0,0,0
2004-01-01,3,110,0,3,0,0,0,0,0,0,0,0,0
2004-02-01,4,54,0,3,0,0,0,0,0,0,0,0,0
2004-03-01,3,63,0,3,0,0,0,0,0,0,0,0,0
2004-04-01,2,135,0,2,0,0,0,0,0,0,0,0,0
2004-05-01,3,96,0,3,0,0,0,0,0,0,0,0,0
2004-06-01,3,52,0,3,0,0,0,0,0,0,0,0,0
2004-07-01,2,13,0,2,0,0,0,0,0,0,0,0,0
2004-08-01,3,84,0,3,0,0,0,0,0,0,0,0,0
2004-09-01,2,144,0,2,0,0,0,0,0,0,0,0,0
2004-10-01,2,129,0,2,0,0,0,0,0,0,0,0,0
2004-11-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2004-12-01,2,20,0,2,0,0,0,0,0,0,0,0,0
2005-01-01,3,48,1,3,1,0,0,0,0,0,0,0,0
2005-02-01,2,61,0,2,0,0,0,0,0,0,0,0,0
2005-03-01,3,16,1,3,0,0,0,0,0,0,0,0,0
2005-04-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,2,38,0,2,0,0,0,0,0,0,0,0,0
2005-06-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2005-07-01,4,17,0,4,0,0,0,0,0,0,0,0,0
2005-08-01,3,15,1,2,0,0,0,0,0,0,0,0,0
2005-09-01,2,22,0,2,0,0,0,0,0,0,0,0,0
2005-10-01,4,39,0,3,0,0,0,0,0,0,0,0,0
2005-11-01,3,44,0,3,0,0,0,0,0,0,0,0,0
2005-12-01,3,37,0,3,0,0,0,0,0,0,0,0,0
