dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-09-01,2,44,2,1,1,0,0,0,0,0,0,0,0
2010-10-01,3,30,1,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,4,1,2,1,0,0,0,0,0,0,0,0
2010-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,2,59,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,2,57,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,2,177,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,4,157,1,3,1,0,0,0,0,0,0,0,0
2011-06-01,2,246,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,2,81,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,2,63,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,2,54,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,2,128,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,2,189,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,2,117,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,3,143,1,2,1,0,0,0,0,0,0,0,0
2012-02-01,2,204,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,2,53,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,2,66,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,2,50,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,2,6,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,39,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,2,39,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,1,89,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,1,101,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,2,134,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,2,169,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,3,128,1,2,0,0,0,0,0,0,0,0,0
2013-04-01,2,172,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,2,244,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,2,217,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,4,307,1,2,0,0,0,0,0,0,0,0,0
2013-08-01,6,311,3,4,2,0,0,0,0,0,0,0,0
2013-09-01,4,241,1,3,1,0,0,0,0,0,0,0,0
2013-10-01,5,102,2,2,0,0,0,0,0,0,0,0,0
2013-11-01,4,161,0,2,0,0,0,0,0,0,0,0,0
2013-12-01,2,84,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,5,90,2,3,1,0,0,0,0,0,0,0,0
2014-02-01,4,143,1,4,1,0,0,0,0,0,0,0,0
2014-03-01,5,100,3,4,2,0,0,0,0,0,0,0,0
2014-04-01,5,83,2,2,0,0,0,0,0,0,0,0,0
2014-05-01,3,91,0,2,0,0,0,0,0,0,0,0,0
2014-06-01,2,65,0,2,0,0,0,0,0,0,0,0,0
2014-07-01,4,88,1,3,0,0,0,0,0,0,0,0,0
2014-08-01,5,143,2,3,1,0,0,0,0,0,0,0,0
2014-09-01,4,77,0,3,0,0,0,0,0,0,0,0,0
2014-10-01,4,90,1,4,1,0,0,0,0,0,0,0,0
2014-11-01,6,116,2,5,2,0,0,0,0,0,0,0,0
2014-12-01,3,156,0,3,0,0,0,0,0,0,0,0,0
2015-01-01,6,126,3,3,0,0,0,0,0,0,0,0,0
2015-02-01,6,136,3,5,2,0,0,0,0,0,0,0,0
2015-03-01,8,75,5,6,4,0,0,0,0,0,0,0,0
2015-04-01,4,55,2,2,0,0,0,0,0,0,0,0,0
2015-05-01,6,102,2,5,2,0,0,0,0,0,0,0,0
2015-06-01,5,65,3,3,1,0,0,0,0,0,0,0,0
2015-07-01,6,86,3,5,2,0,0,0,0,0,0,0,0
2015-08-01,7,46,3,6,2,0,0,0,0,0,0,0,0
2015-09-01,3,25,1,2,0,0,0,0,0,0,0,0,0
2015-10-01,5,62,2,3,1,0,0,0,0,0,0,0,0
2015-11-01,7,32,5,6,4,0,0,0,0,0,0,0,0
2015-12-01,6,34,2,4,1,0,0,0,0,0,0,0,0
2016-01-01,7,48,3,6,2,0,0,0,0,0,0,0,0
2016-02-01,4,51,2,3,1,0,0,0,0,0,0,0,0
2016-03-01,5,46,2,4,1,0,0,0,0,0,0,0,0
2016-04-01,4,37,1,3,0,0,0,0,0,0,0,0,0
2016-05-01,4,23,1,3,0,0,0,0,0,0,0,0,0
2016-06-01,7,29,4,4,1,0,0,0,0,0,0,0,0
2016-07-01,3,20,1,3,1,0,0,0,0,0,0,0,0
2016-08-01,3,23,1,2,0,0,0,0,0,0,0,0,0
2016-09-01,8,36,5,3,0,0,0,0,0,0,0,0,0
2016-10-01,4,22,2,3,1,0,0,0,0,0,0,0,0
2016-11-01,3,13,1,3,1,0,0,0,0,0,0,0,0
2016-12-01,6,44,3,6,2,0,0,0,11,2,94,50,2
2017-01-01,20,570,17,11,7,0,0,0,536,444,3824,297,17
2017-02-01,17,133,7,5,1,0,0,0,397,331,2882,217,16
2017-03-01,20,145,11,4,0,0,0,0,355,305,2720,177,28
2017-04-01,8,80,4,7,3,0,0,0,177,143,1823,127,16
2017-05-01,10,40,6,6,2,0,0,0,124,70,1227,118,10
2017-06-01,5,37,2,3,0,0,0,0,153,145,1337,83,7
2017-07-01,4,10,3,4,2,0,0,0,98,61,776,72,7
2017-08-01,8,44,5,6,1,0,0,0,174,108,1105,82,14
2017-09-01,3,16,1,3,0,0,0,0,102,59,726,63,7
2017-10-01,6,40,4,5,1,0,0,0,104,71,664,102,7
2017-11-01,5,10,0,4,0,0,0,0,69,42,401,67,5
2017-12-01,7,11,4,4,1,0,0,0,78,46,475,80,4
2018-01-01,3,12,1,3,0,0,0,0,82,59,490,83,8
2018-02-01,7,76,2,4,1,0,0,0,128,285,1681,67,14
2018-03-01,7,44,4,5,0,0,0,0,103,180,1575,98,14
2018-04-01,3,14,0,3,0,0,0,0,56,109,998,77,9
2018-05-01,4,22,2,3,0,0,0,0,75,82,622,80,5
2018-06-01,0,0,0,0,0,0,0,0,41,37,328,75,4
2018-07-01,3,7,1,2,0,0,0,0,63,64,372,60,8
2018-08-01,1,23,0,1,0,0,0,0,74,77,706,73,4
2018-09-01,5,17,3,4,1,0,0,0,62,60,531,71,9
2018-10-01,6,19,3,4,1,0,0,0,78,82,575,70,6
2018-11-01,3,17,0,3,0,0,0,0,73,67,507,78,6
2018-12-01,5,25,2,5,2,0,0,0,63,44,352,93,8
2019-01-01,2,6,0,2,0,0,0,0,62,52,445,90,18
2019-02-01,7,18,3,5,1,0,0,0,57,56,307,95,8
2019-03-01,3,6,1,3,1,0,0,0,64,49,311,118,18
2019-04-01,3,3,1,3,0,0,0,0,36,41,214,96,10
2019-05-01,11,13,9,4,0,0,0,0,41,50,304,114,19
2019-06-01,3,13,0,3,0,0,0,0,50,25,306,76,13
2019-07-01,5,43,1,4,0,0,0,0,66,53,448,69,6
2019-08-01,4,20,0,3,0,0,0,0,74,30,418,79,24
2019-09-01,3,34,0,2,0,0,0,0,61,116,845,67,12
2019-10-01,5,80,0,3,0,0,0,0,53,57,362,85,17
2019-11-01,11,37,5,2,0,0,0,0,60,53,419,86,14
2019-12-01,8,92,4,3,1,0,0,0,109,129,751,99,18
2020-01-01,8,71,2,3,0,0,0,0,97,108,616,127,14
2020-02-01,6,47,2,2,0,0,0,0,91,107,782,107,12
2020-03-01,6,33,2,3,0,0,0,0,59,50,328,131,24
2020-04-01,7,79,3,3,0,0,0,0,113,100,632,164,18
2020-05-01,4,81,0,3,0,0,0,0,102,110,582,121,24
2020-06-01,8,56,4,4,2,0,0,0,77,107,595,81,18
2020-07-01,20,155,15,11,6,0,0,0,230,134,816,95,9
2020-08-01,20,134,7,9,1,0,0,0,148,195,561,60,10
