dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-01-01,4,23,4,3,3,0,0,0,0,0,0,0,0
2010-02-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,7,40,6,7,5,0,0,0,0,0,0,0,0
2010-05-01,16,51,13,12,8,0,0,0,0,0,0,0,0
2010-06-01,13,37,5,9,1,0,0,0,0,0,0,0,0
2010-07-01,5,28,1,4,0,0,0,0,0,0,0,0,0
2010-08-01,5,36,0,5,0,0,0,0,0,0,0,0,0
2010-09-01,12,107,5,10,3,0,0,0,0,0,0,0,0
2010-10-01,16,133,8,8,1,0,0,0,0,0,0,0,0
2010-11-01,13,151,4,9,2,0,0,0,0,0,0,0,0
2010-12-01,14,154,1,9,1,0,0,0,0,0,0,0,0
2011-01-01,12,79,3,8,2,0,0,0,0,0,0,0,0
2011-02-01,9,88,1,7,0,0,0,0,0,0,0,0,0
2011-03-01,9,61,1,7,0,0,0,0,0,0,0,0,0
2011-04-01,10,120,1,8,0,0,0,0,0,0,0,0,0
2011-05-01,11,53,1,8,0,0,0,0,0,0,0,0,0
2011-06-01,8,77,1,7,0,0,0,0,0,0,0,0,0
2011-07-01,8,64,1,7,0,0,0,0,0,0,0,0,0
2011-08-01,7,51,1,6,0,0,0,0,0,0,0,0,0
2011-09-01,8,38,0,7,0,0,0,0,0,0,0,0,0
2011-10-01,7,46,0,6,0,0,0,0,0,0,0,0,0
2011-11-01,7,43,0,6,0,0,0,0,0,0,0,0,0
2011-12-01,8,35,0,7,0,0,0,0,0,0,0,0,0
2012-01-01,8,36,0,7,0,0,0,0,0,0,0,0,0
2012-02-01,6,21,0,5,0,0,0,0,0,0,0,0,0
2012-03-01,6,30,0,6,0,0,0,0,0,0,0,0,0
2012-04-01,6,38,0,5,0,0,0,0,0,0,0,0,0
2012-05-01,7,24,0,6,0,0,0,0,0,0,0,0,0
2012-06-01,7,68,0,7,0,0,0,0,0,0,0,0,0
2012-07-01,9,72,2,8,1,0,0,0,0,0,0,0,0
2012-08-01,6,17,0,5,0,0,0,0,0,0,0,0,0
2012-09-01,6,21,1,4,0,0,0,0,0,0,0,0,0
2012-10-01,5,13,0,3,0,0,0,0,0,0,0,0,0
2012-11-01,4,12,0,2,0,0,0,0,0,0,0,0,0
2012-12-01,5,15,0,2,0,0,0,0,0,0,0,0,0
2013-01-01,7,28,1,4,1,0,0,0,0,0,0,0,0
2013-02-01,6,22,0,4,0,0,0,0,0,0,0,0,0
2013-03-01,6,66,0,4,0,0,0,0,0,0,0,0,0
2013-04-01,5,34,0,3,0,0,0,0,0,0,0,0,0
2013-05-01,6,26,0,4,0,0,0,0,0,0,0,0,0
2013-06-01,4,11,0,4,0,0,0,0,0,0,0,0,0
2013-07-01,3,12,0,3,0,0,0,0,0,0,0,0,0
2013-08-01,4,14,1,3,0,0,0,0,0,0,0,0,0
2013-09-01,5,21,0,4,0,0,0,0,0,0,0,0,0
2013-10-01,6,36,3,5,1,0,0,0,0,0,0,0,0
2013-11-01,6,73,0,4,0,0,0,0,0,0,0,0,0
2013-12-01,7,74,0,5,0,0,0,0,0,0,0,0,0
2014-01-01,5,53,0,4,0,0,0,0,0,0,0,0,0
2014-02-01,7,37,0,4,0,0,0,0,0,0,0,0,0
2014-03-01,6,68,0,5,0,0,0,0,0,0,0,0,0
2014-04-01,6,35,0,5,0,0,0,0,0,0,0,0,0
2014-05-01,5,34,0,5,0,0,0,0,0,0,0,0,0
2014-06-01,6,19,0,5,0,0,0,0,0,0,0,0,0
2014-07-01,5,14,0,4,0,0,0,0,0,0,0,0,0
2014-08-01,6,18,0,5,0,0,0,0,0,0,0,0,0
2014-09-01,5,14,0,4,0,0,0,0,0,0,0,0,0
2014-10-01,4,39,0,4,0,0,0,0,0,0,0,0,0
2014-11-01,5,27,0,4,0,0,0,0,0,0,0,0,0
2014-12-01,5,21,0,4,0,0,0,0,0,0,0,0,0
2015-01-01,5,30,0,4,0,0,0,0,0,0,0,0,0
2015-02-01,5,24,0,4,0,0,0,0,0,0,0,0,0
2015-03-01,5,37,0,4,0,0,0,0,0,0,0,0,0
2015-04-01,4,22,0,3,0,0,0,0,0,0,0,0,0
2015-05-01,4,41,0,4,0,0,0,0,0,0,0,0,0
2015-06-01,5,26,0,4,0,0,0,0,0,0,0,0,0
2015-07-01,5,37,0,4,0,0,0,0,0,0,0,0,0
2015-08-01,11,94,6,6,3,13,3,10,2891,2363,62956,33,3
2015-09-01,8,72,2,6,2,1,0,1,33,59,1711,22,4
2015-10-01,7,42,0,3,0,3,0,3,34,21,354,25,3
2015-11-01,10,88,3,6,2,15,3,10,41,36,506,20,1
2015-12-01,7,69,1,5,1,10,3,5,51,49,836,21,2
2016-01-01,10,105,3,5,1,17,1,17,77,68,1261,15,4
2016-02-01,9,92,0,4,0,13,4,12,59,54,966,11,2
2016-03-01,9,80,1,4,0,8,0,7,50,39,687,16,3
2016-04-01,8,50,1,3,0,6,1,4,38,33,601,9,2
2016-05-01,8,70,2,4,1,10,0,9,48,159,1506,20,2
2016-06-01,5,69,0,3,0,6,0,8,39,38,720,15,2
2016-07-01,5,52,0,3,0,8,0,8,29,23,314,10,0
2016-08-01,5,41,0,3,0,3,0,2,18,15,217,19,3
2016-09-01,6,60,0,3,0,8,1,8,34,37,751,11,1
2016-10-01,11,111,2,6,1,13,1,10,48,43,793,10,5
2016-11-01,7,94,0,3,0,5,0,5,27,23,301,13,2
2016-12-01,7,73,0,4,0,4,0,4,52,42,1049,13,0
2017-01-01,11,139,2,7,2,10,0,8,85,61,1347,18,5
2017-02-01,10,126,3,6,2,0,2,0,65,62,1470,13,3
2017-03-01,10,209,1,5,0,0,0,0,73,49,1359,14,6
2017-04-01,11,153,2,6,1,0,0,0,60,72,1344,12,4
2017-05-01,8,77,0,4,0,0,1,0,51,51,1019,27,4
2017-06-01,8,88,1,5,1,0,1,0,43,42,625,13,3
2017-07-01,12,95,1,6,0,0,0,0,50,44,968,9,5
2017-08-01,12,91,1,5,1,0,0,0,54,38,697,8,0
2017-09-01,14,191,3,6,2,0,1,0,71,74,1383,7,6
2017-10-01,10,128,1,4,0,0,0,0,43,39,912,24,5
2017-11-01,12,130,2,6,1,0,0,0,39,54,873,12,2
2017-12-01,14,156,1,6,0,0,0,0,65,51,876,19,2
2018-01-01,11,215,0,5,0,0,0,0,78,72,1812,16,0
2018-02-01,11,192,2,4,0,0,0,0,71,61,1325,11,3
2018-03-01,11,150,0,5,0,0,0,0,62,54,1169,19,2
2018-04-01,10,186,1,6,1,0,0,0,52,37,684,19,7
2018-05-01,9,121,1,4,0,0,0,0,51,34,552,14,2
2018-06-01,11,146,2,4,0,0,0,0,69,64,910,10,4
2018-07-01,12,120,1,5,1,0,0,0,57,48,595,14,3
2018-08-01,11,94,0,4,0,0,0,0,55,62,869,12,3
2018-09-01,13,149,2,5,0,0,0,0,82,76,1380,29,4
2018-10-01,13,145,2,5,1,0,0,0,62,56,909,8,1
2018-11-01,12,262,0,4,0,0,0,0,138,146,2067,20,2
2018-12-01,12,163,0,5,0,0,0,0,83,70,964,38,2
2019-01-01,9,92,1,4,0,0,0,0,31,17,247,25,3
2019-02-01,9,101,0,4,0,0,0,0,37,38,481,31,2
2019-03-01,12,200,1,4,0,0,0,0,58,43,910,26,3
2019-04-01,11,186,1,5,0,0,0,0,58,67,1108,24,3
2019-05-01,10,118,2,5,1,0,0,0,30,26,310,34,7
2019-06-01,10,124,1,5,0,0,0,0,19,17,119,12,2
2019-07-01,9,124,0,4,0,0,0,0,35,33,212,30,4
2019-08-01,11,154,2,6,2,0,0,0,34,23,321,26,2
2019-09-01,13,207,1,4,0,0,0,0,49,45,403,38,6
2019-10-01,10,158,2,4,0,0,0,0,34,24,215,34,3
2019-11-01,7,227,0,5,0,0,0,0,33,35,439,32,2
2019-12-01,10,225,3,5,1,0,0,0,45,37,703,35,4
2020-01-01,9,154,1,5,0,0,0,0,35,28,291,17,2
2020-02-01,12,223,0,5,0,0,0,0,50,51,701,30,3
2020-03-01,5,84,0,3,0,0,0,0,19,10,95,25,4
2020-04-01,7,103,1,4,1,0,0,0,40,19,347,26,4
2020-05-01,11,128,2,6,2,0,0,0,47,26,560,21,0
2020-06-01,13,220,3,7,2,0,0,0,38,33,816,33,5
2020-07-01,11,124,2,5,0,0,0,0,47,35,499,34,3
2020-08-01,6,42,0,4,0,0,0,0,31,24,313,23,2
