dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2007-11-01,2,20,2,2,2,0,0,0,0,0,0,0,0
2007-12-01,2,16,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,2,35,0,2,0,0,0,0,0,0,0,0,0
2008-02-01,1,48,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,1,82,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,4,76,3,3,1,0,0,0,0,0,0,0,0
2008-05-01,4,40,1,3,0,0,0,0,0,0,0,0,0
2008-06-01,1,56,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,3,31,1,2,0,0,0,0,0,0,0,0,0
2008-08-01,2,58,0,2,0,0,0,0,0,0,0,0,0
2008-09-01,3,23,0,2,0,0,0,0,0,0,0,0,0
2008-10-01,2,37,0,2,0,0,0,0,0,0,0,0,0
2008-11-01,4,77,2,2,0,0,0,0,0,0,0,0,0
2008-12-01,2,40,0,2,0,0,0,0,0,0,0,0,0
2009-01-01,3,63,0,2,0,0,0,0,0,0,0,0,0
2009-02-01,4,91,1,3,0,0,0,0,0,0,0,0,0
2009-03-01,2,43,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,3,42,0,2,0,0,0,0,0,0,0,0,0
2009-05-01,4,126,2,2,0,0,0,0,0,0,0,0,0
2009-06-01,3,18,0,2,0,0,0,0,0,0,0,0,0
2009-07-01,4,129,0,3,0,0,0,0,0,0,0,0,0
2009-08-01,3,99,0,2,0,0,0,0,0,0,0,0,0
2009-09-01,3,101,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,3,89,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,4,54,1,3,0,0,0,0,0,0,0,0,0
2009-12-01,2,88,0,2,0,0,0,0,0,0,0,0,0
2010-01-01,3,216,0,3,0,0,0,0,0,0,0,0,0
2010-02-01,5,294,0,3,0,0,0,0,0,0,0,0,0
2010-03-01,3,128,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,3,107,0,3,0,0,0,0,0,0,0,0,0
2010-05-01,4,182,1,3,0,0,0,0,0,0,0,0,0
2010-06-01,4,158,0,3,0,0,0,0,0,0,0,0,0
2010-07-01,2,81,0,2,0,0,0,0,0,0,0,0,0
2010-08-01,2,89,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,2,159,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,1,156,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,156,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,2,62,0,2,0,0,0,0,0,0,0,0,0
2011-01-01,2,57,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,1,59,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,1,44,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,2,60,0,2,0,0,0,0,0,0,0,0,0
2011-05-01,2,46,0,2,0,0,0,0,0,0,0,0,0
2011-06-01,1,81,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,118,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,1,51,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,40,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,42,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,1,47,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,1,117,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,1,130,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,1,65,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,2,59,0,2,0,0,0,0,0,0,0,0,0
2012-05-01,2,62,0,2,0,0,0,0,0,0,0,0,0
2012-06-01,1,69,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,103,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,130,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,2,133,0,2,0,0,0,0,0,0,0,0,0
2012-10-01,1,115,0,1,0,0,0,0,0,0,0,0,0
