dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2006-11-01,3,64,3,2,2,0,0,0,0,0,0,0,0
2006-12-01,2,224,0,2,0,0,0,0,0,0,0,0,0
2007-01-01,2,237,0,2,0,0,0,0,0,0,0,0,0
2007-02-01,2,226,0,2,0,0,0,0,0,0,0,0,0
2007-03-01,2,165,0,2,0,0,0,0,0,0,0,0,0
2007-04-01,2,158,0,2,0,0,0,0,0,0,0,0,0
2007-05-01,2,172,0,2,0,0,0,0,0,0,0,0,0
2007-06-01,2,151,0,2,0,0,0,0,0,0,0,0,0
2007-07-01,2,126,0,2,0,0,0,0,0,0,0,0,0
2007-08-01,2,56,0,2,0,0,0,0,0,0,0,0,0
2007-09-01,2,85,0,2,0,0,0,0,0,0,0,0,0
2007-10-01,2,128,0,2,0,0,0,0,0,0,0,0,0
2007-11-01,2,76,0,2,0,0,0,0,0,0,0,0,0
2007-12-01,2,106,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,2,156,0,2,0,0,0,0,0,0,0,0,0
2008-02-01,1,335,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,2,80,0,2,0,0,0,0,0,0,0,0,0
2008-04-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,2,76,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,2,118,0,2,0,0,0,0,0,0,0,0,0
2008-07-01,2,210,0,2,0,0,0,0,0,0,0,0,0
2008-08-01,2,213,0,2,0,0,0,0,0,0,0,0,0
2008-09-01,2,154,0,2,0,0,0,0,0,0,0,0,0
2008-10-01,2,133,0,2,0,0,0,0,0,0,0,0,0
2008-11-01,2,205,0,2,0,0,0,0,0,0,0,0,0
2008-12-01,4,314,2,4,2,0,0,0,0,0,0,0,0
2009-01-01,4,219,0,4,0,0,0,0,0,0,0,0,0
2009-02-01,3,168,0,3,0,0,0,0,0,0,0,0,0
2009-03-01,3,121,0,3,0,0,0,0,0,0,0,0,0
2009-04-01,3,151,0,3,0,0,0,0,0,0,0,0,0
2009-05-01,2,159,0,2,0,0,0,0,0,0,0,0,0
2009-06-01,5,107,3,3,1,0,0,0,0,0,0,0,0
2009-07-01,6,145,2,4,0,0,0,0,0,0,0,0,0
2009-08-01,5,158,1,3,0,0,0,0,0,0,0,0,0
2009-09-01,6,272,2,5,1,0,0,0,0,0,0,0,0
2009-10-01,4,172,0,3,0,0,0,0,0,0,0,0,0
2009-11-01,5,103,0,5,0,0,0,0,0,0,0,0,0
2009-12-01,3,132,0,3,0,0,0,0,0,0,0,0,0
2010-01-01,4,53,1,3,0,0,0,0,0,0,0,0,0
2010-02-01,4,100,0,3,0,0,0,0,0,0,0,0,0
2010-03-01,2,242,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,6,125,0,4,0,0,0,0,0,0,0,0,0
2010-05-01,5,55,1,3,0,0,0,0,0,0,0,0,0
2010-06-01,4,106,0,4,0,0,0,0,0,0,0,0,0
2010-07-01,3,15,0,3,0,0,0,0,0,0,0,0,0
2010-08-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,2,56,0,2,0,0,0,0,0,0,0,0,0
2010-11-01,4,96,0,4,0,0,0,0,0,0,0,0,0
2010-12-01,2,41,0,2,0,0,0,0,0,0,0,0,0
2011-01-01,2,30,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,3,65,1,3,0,0,0,0,0,0,0,0,0
2011-03-01,2,21,0,2,0,0,0,0,0,0,0,0,0
2011-04-01,2,15,0,2,0,0,0,0,0,0,0,0,0
2011-05-01,2,23,0,2,0,0,0,0,0,0,0,0,0
