dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2005-09-01,1,123,1,1,1,0,0,0,0,0,0,0,0
2005-10-01,1,92,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,1,84,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,169,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,1,64,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,1,61,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,102,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,25,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,2,107,1,1,0,0,0,0,0,0,0,0,0
2007-02-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,2,40,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,10,251,8,5,4,0,0,0,0,0,0,0,0
2007-06-01,6,103,0,4,0,0,0,0,0,0,0,0,0
2007-07-01,3,29,0,2,0,0,0,0,0,0,0,0,0
2007-08-01,2,18,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,3,20,1,3,1,0,0,0,0,0,0,0,0
2007-10-01,5,77,2,3,1,0,0,0,0,0,0,0,0
2007-11-01,4,92,1,3,1,0,0,0,0,0,0,0,0
2007-12-01,2,19,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,2,5,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,2,20,1,2,0,0,0,0,0,0,0,0,0
2008-03-01,6,31,2,5,2,0,0,0,0,0,0,0,0
2008-04-01,3,29,0,3,0,0,0,0,0,0,0,0,0
2008-05-01,3,70,1,2,0,0,0,0,0,0,0,0,0
2008-06-01,7,67,2,6,1,0,0,0,0,0,0,0,0
2008-07-01,3,46,1,3,1,0,0,0,0,0,0,0,0
2008-08-01,4,12,0,4,0,0,0,0,0,0,0,0,0
2008-09-01,4,34,0,4,0,0,0,0,0,0,0,0,0
2008-10-01,2,23,0,2,0,0,0,0,0,0,0,0,0
2008-11-01,5,56,2,5,2,0,0,0,0,0,0,0,0
2008-12-01,4,60,0,4,0,0,0,0,0,0,0,0,0
2009-01-01,2,26,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,6,43,2,6,0,0,0,0,0,0,0,0,0
2009-03-01,2,70,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,4,65,1,2,0,0,0,0,0,0,0,0,0
2009-05-01,4,33,0,3,0,0,0,0,0,0,0,0,0
2009-06-01,4,26,1,3,0,0,0,0,0,0,0,0,0
2009-07-01,3,29,1,3,1,0,0,0,0,0,0,0,0
2009-08-01,3,42,0,2,0,0,0,0,0,0,0,0,0
2009-09-01,4,27,1,3,0,0,0,0,0,0,0,0,0
2009-10-01,4,32,1,3,0,0,0,0,0,0,0,0,0
2009-11-01,3,45,0,2,0,0,0,0,0,0,0,0,0
2009-12-01,3,29,0,2,0,0,0,0,0,0,0,0,0
2010-01-01,4,36,0,3,0,0,0,0,0,0,0,0,0
2010-02-01,2,19,1,2,0,0,0,0,0,0,0,0,0
2010-03-01,5,62,1,4,0,0,0,0,0,0,0,0,0
2010-04-01,3,36,0,2,0,0,0,0,0,0,0,0,0
2010-05-01,3,20,0,3,0,0,0,0,0,0,0,0,0
2010-06-01,4,25,0,3,0,0,0,0,0,0,0,0,0
2010-07-01,3,14,1,3,1,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,7,158,1,5,1,0,0,0,0,0,0,0,0
2010-10-01,4,41,0,3,0,0,0,0,0,0,0,0,0
2010-11-01,6,41,1,4,1,0,0,0,0,0,0,0,0
2010-12-01,3,15,1,2,0,0,0,0,0,0,0,0,0
2011-01-01,3,18,1,1,0,0,0,0,0,0,0,0,0
2011-02-01,4,42,0,2,0,0,0,0,0,0,0,0,0
2011-03-01,5,39,2,4,1,0,0,0,0,0,0,0,0
2011-04-01,9,59,3,7,2,0,0,0,0,0,0,0,0
2011-05-01,5,41,1,4,1,0,0,0,0,0,0,0,0
2011-06-01,5,47,0,5,0,0,0,0,0,0,0,0,0
2011-07-01,4,23,1,4,1,0,0,0,0,0,0,0,0
2011-08-01,5,60,0,4,0,0,0,0,0,0,0,0,0
2011-09-01,9,204,0,6,0,0,0,0,0,0,0,0,0
2011-10-01,8,71,1,5,1,0,0,0,0,0,0,0,0
2011-11-01,6,35,2,5,1,0,0,0,0,0,0,0,0
2011-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,4,54,1,4,0,0,0,0,0,0,0,0,0
2012-02-01,6,59,2,5,1,0,0,0,0,0,0,0,0
2012-03-01,7,95,2,6,1,0,0,0,0,0,0,0,0
2012-04-01,9,123,2,5,1,0,0,0,0,0,0,0,0
2012-05-01,8,77,2,6,0,0,0,0,0,0,0,0,0
2012-06-01,4,50,1,2,0,0,0,0,0,0,0,0,0
2012-07-01,4,34,0,4,0,0,0,0,0,0,0,0,0
2012-08-01,3,12,0,3,0,0,0,0,0,0,0,0,0
2012-09-01,5,72,0,4,0,0,0,0,0,0,0,0,0
2012-10-01,11,262,0,6,0,0,0,0,0,0,0,0,0
2012-11-01,4,63,0,3,0,0,0,0,0,0,0,0,0
2012-12-01,5,6,1,3,0,0,0,0,0,0,0,0,0
2013-01-01,4,6,1,3,0,0,0,0,0,0,0,0,0
2013-02-01,3,33,0,3,0,0,0,0,0,0,0,0,0
2013-03-01,6,55,0,4,0,0,0,0,0,0,0,0,0
2013-04-01,3,9,0,3,0,0,0,0,0,0,0,0,0
2013-05-01,5,46,1,3,0,0,0,0,0,0,0,0,0
2013-06-01,4,27,0,2,0,0,0,0,0,0,0,0,0
2013-07-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2013-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,6,117,1,3,0,0,0,0,0,0,0,0,0
2013-10-01,3,98,0,3,0,0,0,0,0,0,0,0,0
2013-11-01,8,151,1,5,0,0,0,0,0,0,0,0,0
2013-12-01,7,69,2,5,1,0,0,0,0,0,0,0,0
2014-01-01,4,83,0,4,0,0,0,0,0,0,0,0,0
2014-02-01,7,51,3,6,1,0,0,0,0,0,0,0,0
2014-03-01,3,142,0,3,0,0,0,0,0,0,0,0,0
2014-04-01,7,87,2,6,1,0,0,0,0,0,0,0,0
2014-05-01,11,160,3,7,1,0,0,0,0,0,0,0,0
2014-06-01,13,362,3,9,1,0,0,0,0,0,0,0,0
2014-07-01,7,251,2,3,0,0,0,0,0,0,0,0,0
2014-08-01,6,178,0,5,0,0,0,0,0,0,0,0,0
2014-09-01,6,286,2,4,1,0,0,0,0,0,0,0,0
2014-10-01,10,492,1,7,1,0,0,0,0,0,0,0,0
2014-11-01,9,278,3,8,3,0,0,0,0,0,0,0,0
2014-12-01,7,141,0,6,0,0,0,0,0,0,0,0,0
2015-01-01,6,117,1,6,1,0,0,0,0,0,0,0,0
2015-02-01,10,258,2,8,1,0,0,0,0,0,0,0,0
2015-03-01,6,244,0,6,0,0,0,0,0,0,0,0,0
2015-04-01,7,129,0,5,0,0,0,0,0,0,0,0,0
2015-05-01,6,413,0,6,0,0,0,0,0,0,0,0,0
2015-06-01,11,347,1,8,1,0,0,0,0,0,0,0,0
2015-07-01,4,158,0,4,0,0,0,0,0,0,0,0,0
2015-08-01,5,64,0,4,0,0,0,0,1636,1340,13668,15,3
2015-09-01,10,264,1,9,1,2,1,1,36,26,246,18,4
2015-10-01,10,213,2,10,2,5,1,4,37,30,296,17,3
2015-11-01,8,192,1,8,1,1,1,0,16,10,98,18,1
2015-12-01,7,165,1,6,0,3,0,2,39,32,324,11,0
2016-01-01,9,252,1,8,0,2,1,2,46,42,337,15,0
2016-02-01,7,221,0,6,0,2,2,0,72,73,672,6,1
2016-03-01,9,98,0,8,0,2,0,0,39,34,373,10,0
2016-04-01,8,291,0,7,0,0,0,0,33,33,451,18,1
