dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2013-01-01,3,103,3,2,2,0,0,0,0,0,0,0,0
2013-02-01,8,98,5,5,3,0,0,0,0,0,0,0,0
2013-03-01,46,556,41,21,18,0,0,0,0,0,0,0,0
2013-04-01,34,434,13,16,7,0,0,0,0,0,0,0,0
2013-05-01,46,582,25,23,16,0,0,0,0,0,0,0,0
2013-06-01,44,471,23,23,14,0,0,0,0,0,0,0,0
2013-07-01,41,421,16,22,9,0,0,0,0,0,0,0,0
2013-08-01,75,475,46,44,28,0,0,0,0,0,0,0,0
2013-09-01,51,435,26,25,12,0,0,0,0,0,0,0,0
2013-10-01,67,523,35,31,15,0,0,0,0,0,0,0,0
2013-11-01,85,747,51,45,26,0,0,0,0,0,0,0,0
2013-12-01,79,532,43,49,24,0,0,0,0,0,0,0,0
2014-01-01,77,634,45,41,22,0,0,0,0,0,0,0,0
2014-02-01,62,607,27,34,15,0,0,0,0,0,0,0,0
2014-03-01,79,681,46,42,22,0,0,0,0,0,0,0,0
2014-04-01,59,608,29,26,11,0,0,0,0,0,0,0,0
2014-05-01,92,735,51,45,23,0,0,0,0,0,0,0,0
2014-06-01,112,653,65,43,21,0,0,0,0,0,0,0,0
2014-07-01,99,565,55,48,23,0,0,0,0,0,0,0,0
2014-08-01,72,489,38,33,15,0,0,0,0,0,0,0,0
2014-09-01,86,546,55,40,25,0,0,0,0,0,0,0,0
2014-10-01,93,569,37,39,14,0,0,0,0,0,0,0,0
2014-11-01,104,509,52,42,14,0,0,0,0,0,0,0,0
2014-12-01,83,426,29,39,15,0,0,0,0,0,0,0,0
2015-01-01,101,597,43,40,16,0,0,0,0,0,0,0,0
2015-02-01,106,544,47,49,20,0,0,0,0,0,0,0,0
2015-03-01,156,828,85,57,27,0,0,0,0,0,0,0,0
2015-04-01,145,930,66,59,23,0,0,0,0,0,0,0,0
2015-05-01,98,685,34,42,10,0,0,0,0,0,0,0,0
2015-06-01,123,528,51,46,14,0,0,0,0,0,0,0,0
2015-07-01,139,925,62,55,18,0,0,0,0,0,0,0,0
2015-08-01,117,643,38,44,12,0,0,0,0,0,0,0,0
2015-09-01,107,615,39,41,16,0,0,0,0,0,0,0,0
2015-10-01,127,866,53,39,10,0,0,0,0,0,0,0,0
2015-11-01,133,729,54,52,19,0,0,0,0,0,0,0,0
2015-12-01,119,758,40,47,11,0,0,0,0,0,0,0,0
2016-01-01,112,857,34,41,12,0,0,0,0,0,0,0,0
2016-02-01,134,741,60,53,20,0,0,0,0,0,0,0,0
2016-03-01,104,857,28,49,13,0,0,0,0,0,0,0,0
2016-04-01,103,536,34,38,8,0,0,0,0,0,0,0,0
2016-05-01,105,529,34,44,12,0,0,0,0,0,0,0,0
2016-06-01,124,963,47,48,20,0,0,0,0,0,0,0,0
2016-07-01,106,783,41,40,15,0,0,0,0,0,0,0,0
2016-08-01,113,751,38,45,15,0,0,0,0,0,0,0,0
2016-09-01,104,695,30,33,8,0,0,0,0,0,0,0,0
2016-10-01,104,723,32,38,11,0,0,0,0,0,0,0,0
2016-11-01,111,1069,33,36,6,0,0,0,0,0,0,1,0
2016-12-01,98,640,26,36,4,0,0,0,0,0,0,0,0
2017-01-01,91,522,26,36,10,0,0,0,0,0,0,0,0
2017-02-01,90,523,23,35,9,0,0,0,0,0,0,0,0
2017-03-01,111,601,44,41,10,2,0,0,2,0,0,0,0
2017-04-01,84,435,19,32,7,0,2,0,0,2,0,0,0
2017-05-01,84,416,26,28,6,0,0,0,1,1,4,0,0
2017-06-01,65,335,16,26,6,1,1,0,3,3,0,0,0
2017-07-01,48,228,10,20,1,0,0,0,3,3,0,0,0
2017-08-01,56,261,15,24,7,0,0,0,9,8,2,0,0
2017-09-01,53,239,19,23,2,1,1,0,8,6,12,0,0
2017-10-01,60,206,20,24,4,0,0,0,27,22,35,80,1
2017-11-01,58,212,15,22,4,0,0,0,13,10,27,41,2
2017-12-01,41,176,7,15,2,0,0,0,2,2,2,11,0
2018-01-01,34,218,8,17,2,0,0,0,3,1,0,4,0
2018-02-01,38,276,10,16,5,0,0,0,4,0,9,10,1
2018-03-01,42,202,9,19,1,0,0,0,2,2,6,11,1
2018-04-01,37,149,11,18,4,0,0,0,2,0,3,50,3
2018-05-01,34,204,12,15,3,0,0,0,0,1,0,14,1
2018-06-01,40,148,13,21,1,0,0,0,6,2,9,14,1
2018-07-01,36,147,10,14,3,0,0,0,6,2,10,21,3
2018-08-01,38,133,11,15,2,0,0,0,7,3,5,20,2
2018-09-01,40,140,15,18,4,0,0,0,3,2,2,19,1
2018-10-01,33,142,10,17,4,0,0,0,20,16,36,12,1
2018-11-01,28,105,9,17,5,0,0,0,1,1,2,11,4
2018-12-01,32,136,15,16,4,0,0,0,4,1,4,6,0
2019-01-01,27,160,10,16,2,4,1,2,15,19,65,13,6
2019-02-01,23,111,3,11,0,5,0,3,9,4,30,14,3
2019-03-01,29,142,7,16,3,3,2,1,5,4,36,17,0
2019-04-01,32,205,11,16,2,5,0,5,7,9,25,8,1
2019-05-01,23,65,7,10,2,1,0,0,4,5,12,3,4
2019-06-01,14,76,1,7,1,2,0,2,3,2,16,5,2
2019-07-01,21,88,7,9,2,2,0,0,8,6,72,12,2
2019-08-01,28,159,8,15,4,2,0,2,6,10,63,8,0
2019-09-01,17,140,3,8,1,0,0,1,1,3,10,12,0
2019-10-01,10,32,0,6,0,2,0,1,6,2,17,15,3
2019-11-01,8,17,1,4,1,0,0,2,2,4,22,7,2
2019-12-01,4,4,0,4,0,0,0,0,4,0,18,3,0
2020-01-01,8,49,0,6,0,0,0,0,2,0,3,5,1
2020-02-01,6,32,0,4,0,1,0,0,4,1,5,9,5
2020-03-01,1,7,0,1,0,0,0,0,0,0,0,14,1
2020-04-01,3,11,2,3,1,4,1,4,11,9,74,10,3
2020-05-01,4,14,2,3,0,5,2,2,15,13,100,23,5
