dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2000-08-01,1,4,1,1,1,0,0,0,0,0,0,0,0
2000-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2000-10-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2000-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-12-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2001-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2001-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2001-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-07-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2001-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2001-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-11-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2001-12-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2002-01-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2002-02-01,1,98,0,1,0,0,0,0,0,0,0,0,0
2002-03-01,1,91,0,1,0,0,0,0,0,0,0,0,0
2002-04-01,1,70,0,1,0,0,0,0,0,0,0,0,0
2002-05-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2002-06-01,1,51,0,1,0,0,0,0,0,0,0,0,0
2002-07-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2002-08-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2002-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2002-10-01,1,57,0,1,0,0,0,0,0,0,0,0,0
2002-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12-01,1,53,0,1,0,0,0,0,0,0,0,0,0
2003-01-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,1,25,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2003-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,1,40,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
