dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-02-01,1,9,1,1,1,0,0,0,0,0,0,0,0
2012-03-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,19,1,1,0,0,0,0,0,0,0,0,0
2012-10-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,2,6,1,1,0,0,0,0,0,0,0,0,0
2013-02-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,2,7,1,2,1,0,0,0,0,0,0,0,0
2013-05-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,2,17,0,2,0,0,0,0,0,0,0,0,0
2013-07-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-08-01,2,24,0,2,0,0,0,0,0,0,0,0,0
2013-09-01,3,24,1,2,0,0,0,0,0,0,0,0,0
2013-10-01,3,43,1,3,1,0,0,0,0,0,0,0,0
2013-11-01,10,42,8,9,7,0,0,0,0,0,0,0,0
2013-12-01,3,11,0,3,0,0,0,0,0,0,0,0,0
2014-01-01,7,37,4,4,1,0,0,0,0,0,0,0,0
2014-02-01,3,12,1,1,0,0,0,0,0,0,0,0,0
2014-03-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2014-04-01,8,217,0,5,0,0,0,0,0,0,0,0,0
2014-05-01,7,226,3,5,2,0,0,0,0,0,0,0,0
2014-06-01,4,125,0,3,0,0,0,0,0,0,0,0,0
2014-07-01,8,60,4,5,2,0,0,0,0,0,0,0,0
2014-08-01,3,87,1,3,1,0,0,0,0,0,0,0,0
2014-09-01,8,115,4,6,2,0,0,0,0,0,0,0,0
2014-10-01,6,134,3,4,2,0,0,0,0,0,0,0,0
2014-11-01,9,127,4,7,3,0,0,0,0,0,0,0,0
2014-12-01,16,203,10,11,4,0,0,0,0,0,0,0,0
2015-01-01,24,365,16,14,8,0,0,0,0,0,0,0,0
2015-02-01,17,172,9,10,3,0,0,0,0,0,0,0,0
2015-03-01,27,215,14,14,5,0,0,0,0,0,0,0,0
2015-04-01,24,174,14,17,8,0,0,0,0,0,0,0,0
2015-05-01,22,193,15,15,11,0,0,0,0,0,0,0,0
2015-06-01,16,95,6,10,3,0,0,0,0,0,0,3,1
2015-07-01,18,106,9,8,2,0,0,0,0,0,0,3,1
2015-08-01,17,118,7,9,2,0,0,0,1,0,5,16,6
2015-09-01,19,191,10,12,5,0,0,0,13,14,101,24,13
2015-10-01,19,140,7,9,1,2,2,0,19,18,90,43,23
2015-11-01,11,80,1,3,0,0,0,0,18,16,84,43,13
2015-12-01,11,74,1,6,0,2,0,2,41,34,540,46,7
2016-01-01,14,98,4,5,1,0,0,0,62,62,878,47,12
2016-02-01,17,191,7,12,5,1,1,0,79,74,997,43,15
2016-03-01,16,107,6,9,1,1,1,0,79,72,905,45,16
2016-04-01,17,98,7,11,5,0,0,0,61,53,708,44,7
2016-05-01,13,85,1,8,0,0,0,0,55,51,434,40,8
2016-06-01,25,390,11,15,6,1,1,0,215,214,2433,48,14
2016-07-01,31,353,12,16,5,111,11,98,215,214,2870,45,17
2016-08-01,30,419,9,17,6,92,15,69,251,215,2127,43,23
2016-09-01,22,201,5,14,4,35,7,26,132,109,966,42,14
