dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2002-01-01,1,2,1,1,1,0,0,0,0,0,0,0,0
2002-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-01,3,57,3,3,3,0,0,0,0,0,0,0,0
2002-06-01,3,64,1,3,1,0,0,0,0,0,0,0,0
2002-07-01,5,118,2,4,1,0,0,0,0,0,0,0,0
2002-08-01,5,139,1,4,1,0,0,0,0,0,0,0,0
2002-09-01,3,44,0,3,0,0,0,0,0,0,0,0,0
2002-10-01,5,108,2,3,0,0,0,0,0,0,0,0,0
2002-11-01,6,116,1,4,0,0,0,0,0,0,0,0,0
2002-12-01,4,120,0,3,0,0,0,0,0,0,0,0,0
2003-01-01,3,60,0,3,0,0,0,0,0,0,0,0,0
2003-02-01,4,130,0,3,0,0,0,0,0,0,0,0,0
2003-03-01,3,131,0,3,0,0,0,0,0,0,0,0,0
2003-04-01,3,31,1,2,0,0,0,0,0,0,0,0,0
2003-05-01,3,116,0,2,0,0,0,0,0,0,0,0,0
2003-06-01,6,340,3,4,1,0,0,0,0,0,0,0,0
2003-07-01,5,277,1,4,0,0,0,0,0,0,0,0,0
2003-08-01,6,319,1,3,0,0,0,0,0,0,0,0,0
2003-09-01,8,160,2,5,0,0,0,0,0,0,0,0,0
2003-10-01,7,228,1,5,0,0,0,0,0,0,0,0,0
2003-11-01,8,104,2,5,0,0,0,0,0,0,0,0,0
2003-12-01,7,117,0,4,0,0,0,0,0,0,0,0,0
2004-01-01,5,85,1,4,0,0,0,0,0,0,0,0,0
2004-02-01,7,81,1,4,0,0,0,0,0,0,0,0,0
2004-03-01,8,157,1,3,0,0,0,0,0,0,0,0,0
2004-04-01,5,109,0,2,0,0,0,0,0,0,0,0,0
2004-05-01,3,174,0,2,0,0,0,0,0,0,0,0,0
2004-06-01,7,231,3,3,0,0,0,0,0,0,0,0,0
2004-07-01,9,233,1,3,0,0,0,0,0,0,0,0,0
2004-08-01,10,161,1,3,0,0,0,0,0,0,0,0,0
2004-09-01,5,142,0,2,0,0,0,0,0,0,0,0,0
2004-10-01,7,188,0,2,0,0,0,0,0,0,0,0,0
2004-11-01,6,223,1,3,1,0,0,0,0,0,0,0,0
2004-12-01,7,270,1,4,1,0,0,0,0,0,0,0,0
2005-01-01,6,250,0,4,0,0,0,0,0,0,0,0,0
2005-02-01,8,269,1,4,1,0,0,0,0,0,0,0,0
2005-03-01,8,202,2,6,2,0,0,0,0,0,0,0,0
2005-04-01,7,239,0,5,0,0,0,0,0,0,0,0,0
2005-05-01,8,271,0,5,0,0,0,0,0,0,0,0,0
2005-06-01,7,166,0,5,0,0,0,0,0,0,0,0,0
2005-07-01,7,132,0,5,0,0,0,0,0,0,0,0,0
2005-08-01,8,220,0,5,0,0,0,0,0,0,0,0,0
2005-09-01,9,202,1,5,0,0,0,0,0,0,0,0,0
2005-10-01,9,166,1,6,0,0,0,0,0,0,0,0,0
2005-11-01,9,136,2,6,0,0,0,0,0,0,0,0,0
2005-12-01,11,147,0,5,0,0,0,0,0,0,0,0,0
2006-01-01,9,198,1,6,0,0,0,0,0,0,0,0,0
2006-02-01,10,233,1,5,1,0,0,0,0,0,0,0,0
2006-03-01,8,206,0,6,0,0,0,0,0,0,0,0,0
2006-04-01,8,264,0,5,0,0,0,0,0,0,0,0,0
2006-05-01,10,213,1,6,0,0,0,0,0,0,0,0,0
2006-06-01,14,354,2,7,0,0,0,0,0,0,0,0,0
2006-07-01,12,244,0,7,0,0,0,0,0,0,0,0,0
2006-08-01,13,257,2,10,1,0,0,0,0,0,0,0,0
2006-09-01,12,146,0,7,0,0,0,0,0,0,0,0,0
2006-10-01,14,191,3,7,1,0,0,0,0,0,0,0,0
2006-11-01,11,202,0,7,0,0,0,0,0,0,0,0,0
2006-12-01,11,133,0,7,0,0,0,0,0,0,0,0,0
2007-01-01,12,244,0,8,0,0,0,0,0,0,0,0,0
2007-02-01,10,129,0,8,0,0,0,0,0,0,0,0,0
2007-03-01,13,121,1,5,0,0,0,0,0,0,0,0,0
2007-04-01,10,187,0,7,0,0,0,0,0,0,0,0,0
2007-05-01,10,235,0,7,0,0,0,0,0,0,0,0,0
2007-06-01,9,209,0,6,0,0,0,0,0,0,0,0,0
2007-07-01,9,125,0,6,0,0,0,0,0,0,0,0,0
2007-08-01,6,127,0,5,0,0,0,0,0,0,0,0,0
2007-09-01,9,146,1,7,1,0,0,0,0,0,0,0,0
2007-10-01,12,191,1,9,1,0,0,0,0,0,0,0,0
2007-11-01,9,188,1,6,0,0,0,0,0,0,0,0,0
2007-12-01,6,98,0,5,0,0,0,0,0,0,0,0,0
2008-01-01,7,138,1,6,1,0,0,0,0,0,0,0,0
2008-02-01,8,129,1,6,1,0,0,0,0,0,0,0,0
2008-03-01,11,137,0,7,0,0,0,0,0,0,0,0,0
2008-04-01,8,94,0,5,0,0,0,0,0,0,0,0,0
2008-05-01,11,160,1,8,1,0,0,0,0,0,0,0,0
2008-06-01,5,124,0,4,0,0,0,0,0,0,0,0,0
2008-07-01,7,169,0,5,0,0,0,0,0,0,0,0,0
2008-08-01,9,163,0,7,0,0,0,0,0,0,0,0,0
2008-09-01,10,143,0,7,0,0,0,0,0,0,0,0,0
2008-10-01,7,197,0,6,0,0,0,0,0,0,0,0,0
2008-11-01,6,140,0,4,0,0,0,0,0,0,0,0,0
2008-12-01,8,120,0,5,0,0,0,0,0,0,0,0,0
2009-01-01,8,260,1,5,0,0,0,0,0,0,0,0,0
2009-02-01,7,197,0,3,0,0,0,0,0,0,0,0,0
2009-03-01,5,154,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,8,114,1,5,1,0,0,0,0,0,0,0,0
2009-05-01,6,185,0,4,0,0,0,0,0,0,0,0,0
2009-06-01,6,204,0,3,0,0,0,0,0,0,0,0,0
2009-07-01,6,183,0,3,0,0,0,0,0,0,0,0,0
2009-08-01,6,111,0,3,0,0,0,0,0,0,0,0,0
2009-09-01,6,155,0,4,0,0,0,0,0,0,0,0,0
2009-10-01,6,112,0,4,0,0,0,0,0,0,0,0,0
2009-11-01,6,153,0,4,0,0,0,0,0,0,0,0,0
2009-12-01,5,188,0,3,0,0,0,0,0,0,0,0,0
2010-01-01,6,199,0,4,0,0,0,0,0,0,0,0,0
2010-02-01,6,293,1,4,0,0,0,0,0,0,0,0,0
2010-03-01,7,191,0,4,0,0,0,0,0,0,0,0,0
2010-04-01,6,163,0,4,0,0,0,0,0,0,0,0,0
2010-05-01,8,151,0,5,0,0,0,0,0,0,0,0,0
2010-06-01,6,140,1,4,1,0,0,0,0,0,0,0,0
2010-07-01,6,210,0,4,0,0,0,0,0,0,0,0,0
2010-08-01,4,198,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,6,99,1,4,0,0,0,0,0,0,0,0,0
2010-10-01,5,153,0,4,0,0,0,0,0,0,0,0,0
2010-11-01,5,157,0,4,0,0,0,0,0,0,0,0,0
2010-12-01,6,73,0,5,0,0,0,0,0,0,0,0,0
2011-01-01,7,92,0,4,0,0,0,0,0,0,0,0,0
2011-02-01,5,140,1,3,0,0,0,0,0,0,0,0,0
2011-03-01,5,159,0,4,0,0,0,0,0,0,0,0,0
2011-04-01,3,153,0,2,0,0,0,0,0,0,0,0,0
2011-05-01,5,117,1,4,0,0,0,0,0,0,0,0,0
2011-06-01,6,147,0,4,0,0,0,0,0,0,0,0,0
2011-07-01,4,105,0,3,0,0,0,0,0,0,0,0,0
2011-08-01,4,137,0,3,0,0,0,0,0,0,0,0,0
2011-09-01,3,173,0,2,0,0,0,0,0,0,0,0,0
2011-10-01,5,162,0,3,0,0,0,0,0,0,0,0,0
2011-11-01,4,127,0,2,0,0,0,0,0,0,0,0,0
2011-12-01,5,157,1,4,0,0,0,0,0,0,0,0,0
2012-01-01,4,172,1,3,1,0,0,0,0,0,0,0,0
2012-02-01,6,139,1,5,1,0,0,0,0,0,0,0,0
2012-03-01,8,157,1,7,1,0,0,0,0,0,0,0,0
2012-04-01,7,71,1,5,1,0,0,0,0,0,0,0,0
2012-05-01,7,80,0,6,0,0,0,0,0,0,0,0,0
2012-06-01,8,81,1,5,0,0,0,0,0,0,0,0,0
2012-07-01,7,68,0,5,0,0,0,0,0,0,0,0,0
2012-08-01,6,94,0,4,0,0,0,0,0,0,0,0,0
2012-09-01,9,92,1,7,1,0,0,0,0,0,0,0,0
2012-10-01,9,79,2,7,2,0,0,0,0,0,0,0,0
2012-11-01,5,97,0,4,0,0,0,0,0,0,0,0,0
2012-12-01,6,135,0,6,0,0,0,0,0,0,0,0,0
2013-01-01,8,137,2,6,0,0,0,0,0,0,0,0,0
2013-02-01,9,215,1,6,0,0,0,0,0,0,0,0,0
2013-03-01,10,176,0,8,0,0,0,0,0,0,0,0,0
2013-04-01,8,139,1,6,0,0,0,0,0,0,0,0,0
2013-05-01,13,218,0,9,0,0,0,0,0,0,0,0,0
2013-06-01,11,267,1,9,1,0,0,0,0,0,0,0,0
2013-07-01,10,162,1,7,0,0,0,0,0,0,0,0,0
2013-08-01,13,226,4,11,4,0,0,0,0,0,0,0,0
2013-09-01,9,305,2,6,1,0,0,0,0,0,0,0,0
2013-10-01,10,532,1,8,1,0,0,0,0,0,0,0,0
2013-11-01,8,492,0,8,0,0,0,0,0,0,0,0,0
2013-12-01,7,206,0,6,0,0,0,0,0,0,0,0,0
2014-01-01,9,413,1,9,1,0,0,0,0,0,0,0,0
2014-02-01,7,256,0,7,0,0,0,0,0,0,0,0,0
2014-03-01,8,197,0,7,0,0,0,0,0,0,0,0,0
2014-04-01,10,166,2,7,1,0,0,0,0,0,0,0,0
2014-05-01,12,222,0,8,0,0,0,0,0,0,0,0,0
2014-06-01,12,173,1,9,1,0,0,0,0,0,0,0,0
2014-07-01,6,155,0,4,0,0,0,0,0,0,0,0,0
2014-08-01,6,143,0,5,0,0,0,0,0,0,0,0,0
2014-09-01,6,137,0,5,0,0,0,0,0,0,0,0,0
2014-10-01,6,142,1,5,1,0,0,0,0,0,0,0,0
2014-11-01,7,151,0,6,0,0,0,0,0,0,0,0,0
2014-12-01,6,128,0,5,0,0,0,0,0,0,0,0,0
2015-01-01,11,169,3,9,2,0,0,0,0,0,0,0,0
2015-02-01,7,297,0,5,0,3,1,1,1355,1005,6817,17,6
2015-03-01,7,250,0,6,0,1,1,1,3,3,36,18,3
2015-04-01,8,215,1,6,0,1,0,1,2,2,4,9,3
2015-05-01,7,174,0,5,0,0,0,0,2,1,18,7,2
2015-06-01,5,148,0,4,0,2,0,0,2,0,1,6,2
2015-07-01,9,178,2,7,2,6,2,5,11,8,40,8,4
2015-08-01,10,96,2,9,2,4,0,5,11,5,54,15,4
2015-09-01,10,119,0,9,0,2,0,2,8,5,49,10,0
2015-10-01,12,222,2,11,1,12,1,10,29,13,60,9,7
2015-11-01,10,265,1,9,0,10,2,9,19,15,99,8,2
2015-12-01,12,145,3,8,0,9,1,7,17,10,110,12,6
2016-01-01,12,184,3,8,1,8,2,5,26,17,144,12,5
2016-02-01,12,173,4,11,1,7,0,7,15,31,131,9,4
2016-03-01,13,133,2,12,2,8,0,6,17,8,135,9,3
2016-04-01,10,84,3,10,3,9,1,7,19,13,113,11,4
2016-05-01,10,61,2,10,1,7,1,9,16,12,83,13,2
2016-06-01,7,265,1,7,0,5,1,2,14,7,128,7,4
2016-07-01,10,155,0,8,0,14,1,9,32,17,172,22,1
2016-08-01,11,104,1,9,1,18,7,7,35,19,146,14,5
2016-09-01,13,96,0,12,0,24,5,14,32,22,111,21,4
2016-10-01,8,77,1,7,1,17,1,16,27,25,217,21,6
2016-11-01,13,108,3,11,1,20,4,20,33,33,177,9,6
2016-12-01,9,70,1,9,1,7,1,6,18,15,132,13,4
2017-01-01,12,94,3,9,0,15,2,14,33,23,192,16,9
2017-02-01,9,93,3,8,1,16,1,9,23,15,97,18,3
2017-03-01,11,130,1,10,0,24,9,21,37,35,229,17,4
2017-04-01,12,112,1,9,0,33,3,28,56,222,953,12,4
2017-05-01,5,62,1,5,0,19,4,14,36,25,142,5,3
2017-06-01,9,80,0,8,0,19,3,9,29,15,135,13,6
2017-07-01,11,117,0,10,0,26,2,24,42,34,185,17,3
2017-08-01,13,148,0,10,0,55,4,53,85,88,610,22,5
2017-09-01,15,56,1,12,1,36,11,15,65,33,519,23,8
2017-10-01,15,90,2,10,0,39,10,26,55,58,423,24,3
2017-11-01,14,129,2,10,1,29,1,27,61,44,606,31,4
2017-12-01,8,22,1,6,0,5,3,7,17,12,174,23,4
2018-01-01,18,78,2,13,2,31,2,25,50,39,383,21,7
2018-02-01,12,48,0,9,0,22,4,22,51,45,617,22,12
2018-03-01,15,88,2,10,0,32,6,25,55,38,418,19,15
2018-04-01,16,106,1,10,1,30,2,19,55,27,635,15,7
2018-05-01,17,159,2,10,0,32,6,31,51,49,631,23,3
2018-06-01,16,99,1,13,1,23,5,27,37,38,405,25,3
2018-07-01,15,84,2,11,0,30,2,23,44,32,377,20,8
2018-08-01,18,94,3,12,1,40,10,25,53,41,341,23,7
2018-09-01,17,115,1,11,0,33,10,26,49,61,491,16,1
2018-10-01,19,126,2,11,0,37,8,34,62,122,969,12,8
2018-11-01,19,96,4,9,0,43,8,31,72,54,527,23,6
2018-12-01,17,227,3,11,2,64,8,43,85,59,601,21,3
2019-01-01,18,118,3,10,1,30,8,25,50,41,392,17,5
2019-02-01,14,59,0,9,0,26,4,22,44,36,431,17,1
2019-03-01,18,75,2,11,1,26,4,26,39,43,392,25,7
2019-04-01,16,77,0,9,0,22,11,30,34,58,463,27,8
2019-05-01,22,116,3,11,2,41,5,41,56,78,581,14,5
2019-06-01,14,44,1,6,0,15,3,13,33,25,228,18,7
2019-07-01,11,54,0,6,0,24,4,20,38,43,233,27,2
2019-08-01,11,21,1,7,1,12,0,8,25,12,149,18,5
