dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-10-01,1,96,1,1,1,0,0,0,0,0,0,0,0
2010-11-01,1,90,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1,59,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,3,31,2,3,2,0,0,0,0,0,0,0,0
2011-03-01,9,33,8,7,6,0,0,0,0,0,0,0,0
2011-04-01,9,55,5,7,3,0,0,0,0,0,0,0,0
2011-05-01,8,104,2,5,0,0,0,0,0,0,0,0,0
2011-06-01,5,20,4,5,2,0,0,0,0,0,0,0,0
2011-07-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,5,20,3,5,2,0,0,0,0,0,0,0,0
2011-09-01,4,58,0,4,0,0,0,0,0,0,0,0,0
2011-10-01,3,7,0,3,0,0,0,0,0,0,0,0,0
2011-11-01,9,34,5,7,2,0,0,0,0,0,0,0,0
2011-12-01,8,102,2,4,0,0,0,0,0,0,0,0,0
2012-01-01,14,95,7,9,4,0,0,0,0,0,0,0,0
2012-02-01,13,29,6,9,3,0,0,0,0,0,0,0,0
2012-03-01,12,33,4,7,1,0,0,0,0,0,0,0,0
2012-04-01,8,44,1,5,1,0,0,0,0,0,0,0,0
2012-05-01,8,53,1,5,1,0,0,0,0,0,0,0,0
2012-06-01,11,49,4,9,3,0,0,0,0,0,0,0,0
2012-07-01,11,61,2,9,2,0,0,0,0,0,0,0,0
2012-08-01,6,55,1,6,1,0,0,0,0,0,0,0,0
2012-09-01,10,56,3,7,1,0,0,0,0,0,0,0,0
2012-10-01,10,45,5,7,2,0,0,0,0,0,0,0,0
2012-11-01,5,26,0,5,0,0,0,0,0,0,0,0,0
2012-12-01,6,36,2,5,1,0,0,0,0,0,0,0,0
2013-01-01,6,25,2,5,1,0,0,0,0,0,0,0,0
2013-02-01,10,32,4,7,1,0,0,0,0,0,0,0,0
2013-03-01,6,20,2,6,1,0,0,0,0,0,0,0,0
2013-04-01,9,98,3,6,1,0,0,0,0,0,0,0,0
2013-05-01,12,49,5,9,3,0,0,0,0,0,0,0,0
2013-06-01,5,17,2,5,1,0,0,0,0,0,0,0,0
2013-07-01,9,33,3,6,0,0,0,0,0,0,0,0,0
2013-08-01,7,23,2,5,0,0,0,0,0,0,0,0,0
