dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2002-05-01,2,68,2,2,2,0,0,0,0,0,0,0,0
2002-06-01,2,76,0,2,0,0,0,0,0,0,0,0,0
2002-07-01,2,31,0,2,0,0,0,0,0,0,0,0,0
2002-08-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2002-09-01,1,3,1,1,1,0,0,0,0,0,0,0,0
2002-10-01,3,57,0,3,0,0,0,0,0,0,0,0,0
2002-11-01,2,36,0,2,0,0,0,0,0,0,0,0,0
2002-12-01,3,33,0,3,0,0,0,0,0,0,0,0,0
2003-01-01,3,125,0,3,0,0,0,0,0,0,0,0,0
2003-02-01,3,145,0,3,0,0,0,0,0,0,0,0,0
2003-03-01,2,198,0,2,0,0,0,0,0,0,0,0,0
2003-04-01,3,98,0,3,0,0,0,0,0,0,0,0,0
2003-05-01,2,97,0,2,0,0,0,0,0,0,0,0,0
2003-06-01,2,49,0,2,0,0,0,0,0,0,0,0,0
2003-07-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,1,83,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,2,33,1,2,0,0,0,0,0,0,0,0,0
2003-10-01,1,57,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,1,85,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,1,29,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,1,64,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,2,79,1,1,0,0,0,0,0,0,0,0,0
2004-07-01,2,188,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,2,136,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,2,68,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,4,27,1,1,0,0,0,0,0,0,0,0,0
2004-12-01,3,18,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,2,2,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,2,4,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,2,15,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,3,39,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,4,50,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,3,54,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,3,21,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,3,44,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,3,15,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,2,34,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,2,47,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,3,45,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,4,23,1,1,0,0,0,0,0,0,0,0,0
2006-02-01,3,6,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,4,10,1,1,0,0,0,0,0,0,0,0,0
2006-05-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,2,23,0,1,0,0,0,0,0,0,0,0,0
