dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-02-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2009-03-01,3,73,2,3,2,0,0,0,0,0,0,0,0
2009-04-01,2,32,0,2,0,0,0,0,0,0,0,0,0
2009-05-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,2,44,1,2,1,0,0,0,0,0,0,0,0
2009-07-01,2,17,0,2,0,0,0,0,0,0,0,0,0
2009-08-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,2,118,1,2,1,0,0,0,0,0,0,0,0
2010-01-01,2,26,1,2,1,0,0,0,0,0,0,0,0
2010-02-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2010-05-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,1,33,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,1,44,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,48,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,1,50,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,1,48,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,134,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,4,58,3,4,2,0,0,0,0,0,0,0,0
2012-01-01,2,21,0,2,0,0,0,0,0,0,0,0,0
2012-02-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,2,23,0,2,0,0,0,0,0,0,0,0,0
2012-04-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,56,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,2,28,1,2,1,0,0,0,0,0,0,0,0
2012-11-01,2,64,0,2,0,0,0,0,0,0,0,0,0
2012-12-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,2,35,1,2,1,0,0,0,0,0,0,0,0
2013-07-01,1,44,0,1,0,0,0,0,0,0,0,0,0
2013-08-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,1,43,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,1,59,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2014-03-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,2,26,0,2,0,0,0,0,0,0,0,0,0
2014-05-01,1,45,0,1,0,0,0,0,0,0,0,0,0
2014-06-01,1,58,0,1,0,0,0,0,0,0,0,0,0
2014-07-01,1,53,0,1,0,0,0,0,0,0,0,0,0
2014-08-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2014-09-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2015-01-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,3,25,2,2,0,1,0,0,252,238,1326,26,2
2015-04-01,2,80,0,1,0,3,2,2,8,10,36,12,1
2015-05-01,3,54,2,2,1,2,0,1,3,1,4,17,3
2015-06-01,4,51,3,4,2,3,1,3,9,8,35,24,2
2015-07-01,2,21,1,1,0,1,0,1,2,1,3,21,1
2015-08-01,1,3,0,1,0,0,0,0,1,1,2,12,0
2015-09-01,1,3,0,1,0,1,1,0,4,4,12,17,0
2015-10-01,2,5,0,2,0,2,1,1,7,6,21,16,1
2015-11-01,3,8,1,2,0,4,0,2,5,4,11,10,0
2015-12-01,2,8,1,2,1,2,1,2,7,7,35,7,0
2016-01-01,2,6,1,2,1,1,1,1,5,5,14,13,2
2016-02-01,3,25,1,3,1,2,0,2,10,13,27,7,3
2016-03-01,1,20,0,1,0,0,0,0,4,6,16,11,0
2016-04-01,3,13,1,2,0,2,0,2,9,7,40,19,1
2016-05-01,2,32,1,2,1,2,1,1,19,17,89,12,6
2016-06-01,2,40,0,2,0,3,0,3,24,27,92,16,1
2016-07-01,2,4,1,2,1,1,0,1,6,4,10,5,4
2016-08-01,1,2,0,1,0,0,0,0,0,1,2,6,2
2016-09-01,1,6,0,1,0,0,0,0,2,1,4,6,0
2016-10-01,1,3,0,1,0,0,0,0,1,1,6,4,0
2016-11-01,1,2,0,1,0,0,0,0,1,1,4,8,1
2016-12-01,1,3,0,1,0,0,0,0,3,1,8,8,0
2017-01-01,3,35,1,3,1,3,0,3,13,12,77,14,1
2017-02-01,2,7,1,2,1,1,0,1,2,1,1,5,3
2017-03-01,2,17,1,2,1,1,0,1,4,3,59,15,1
