dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-08-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,2,8,2,2,2,0,0,0,0,0,0,0,0
2012-04-01,3,7,2,3,2,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2013-06-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2013-07-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2013-12-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2014-03-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2014-04-01,2,2,1,2,1,0,0,0,0,0,0,0,0
2014-05-01,8,9,5,6,3,0,0,0,0,0,0,0,0
2014-06-01,6,15,4,5,2,0,0,0,0,0,0,0,0
2014-07-01,8,24,2,5,1,0,0,0,0,0,0,0,0
2014-08-01,5,6,5,5,3,0,0,0,0,0,0,0,0
2014-09-01,9,10,5,5,2,0,0,0,0,0,0,0,0
2014-10-01,6,9,4,5,1,0,0,0,0,0,0,0,0
2014-11-01,3,6,2,3,0,0,0,0,0,0,0,0,0
2014-12-01,4,5,2,3,1,0,0,0,0,0,0,0,0
2015-01-01,6,6,3,6,2,0,0,0,0,0,0,0,0
2015-02-01,11,20,7,7,2,0,0,0,0,0,0,0,0
2015-03-01,3,4,2,3,0,0,0,0,0,0,0,0,0
2015-04-01,5,12,2,3,1,0,0,0,0,0,0,0,0
2015-05-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2015-06-01,3,14,1,2,0,0,0,0,2,2,4,6,0
2015-07-01,4,35,1,2,0,0,0,0,4,3,12,0,1
2015-08-01,4,38,0,2,0,0,0,0,4,1,30,2,0
2015-09-01,1,20,0,1,0,0,0,0,1,0,13,4,0
2015-10-01,3,9,2,3,2,0,0,0,2,1,8,23,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,5,1
2015-12-01,1,3,0,1,0,0,0,0,0,0,0,4,0
2016-01-01,3,14,0,2,0,0,0,0,0,0,0,7,0
