dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-03-01,3,24,3,1,1,0,0,0,0,0,0,0,0
2012-04-01,8,83,5,3,2,0,0,0,0,0,0,0,0
2012-05-01,6,61,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,4,32,1,2,1,0,0,0,0,0,0,0,0
2012-07-01,6,61,2,4,2,0,0,0,0,0,0,0,0
2012-08-01,5,64,2,3,0,0,0,0,0,0,0,0,0
2012-09-01,7,29,1,2,0,0,0,0,0,0,0,0,0
2012-10-01,10,29,3,3,0,0,0,0,0,0,0,0,0
2012-11-01,8,54,1,2,0,0,0,0,0,0,0,0,0
2012-12-01,12,53,3,2,0,0,0,0,0,0,0,0,0
2013-01-01,13,60,5,5,3,0,0,0,0,0,0,0,0
2013-02-01,12,92,2,4,0,0,0,0,0,0,0,0,0
2013-03-01,14,89,1,3,0,0,0,0,0,0,0,0,0
2013-04-01,14,99,3,7,2,0,0,0,0,0,0,0,0
2013-05-01,10,61,1,4,0,0,0,0,0,0,0,0,0
2013-06-01,7,53,1,4,1,0,0,0,0,0,0,0,0
2013-07-01,12,88,1,3,0,0,0,0,0,0,0,0,0
2013-08-01,11,103,1,3,1,0,0,0,0,0,0,0,0
2013-09-01,10,76,1,4,1,0,0,0,0,0,0,0,0
2013-10-01,11,63,2,4,2,0,0,0,0,0,0,0,0
2013-11-01,15,90,3,5,1,0,0,0,0,0,0,0,0
2013-12-01,14,82,3,3,0,0,0,0,0,0,0,0,0
2014-01-01,15,118,3,4,0,0,0,0,0,0,0,0,0
2014-02-01,16,120,4,4,0,0,0,0,0,0,0,0,0
2014-03-01,10,14,2,7,1,0,0,0,0,0,0,0,0
2014-04-01,13,39,2,6,1,0,0,0,0,0,0,0,0
2014-05-01,14,31,0,6,0,0,0,0,0,0,0,0,0
2014-06-01,6,21,0,2,0,0,0,0,0,0,0,0,0
2014-07-01,8,18,1,3,0,0,0,0,0,0,0,0,0
2014-08-01,11,22,1,3,0,0,0,0,0,0,0,0,0
