dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2008-12-01,2,10,2,1,1,0,0,0,0,0,0,0,0
2009-01-01,2,15,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,4,52,2,1,0,0,0,0,0,0,0,0,0
2009-03-01,5,54,1,1,0,0,0,0,0,0,0,0,0
2009-04-01,4,43,2,2,1,0,0,0,0,0,0,0,0
2009-05-01,5,46,0,2,0,0,0,0,0,0,0,0,0
2009-06-01,6,94,0,2,0,0,0,0,0,0,0,0,0
2009-07-01,7,95,0,2,0,0,0,0,0,0,0,0,0
2009-08-01,8,63,2,3,1,0,0,0,0,0,0,0,0
2009-09-01,7,67,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,5,39,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,6,111,1,2,0,0,0,0,0,0,0,0,0
2009-12-01,4,107,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,6,68,0,2,0,0,0,0,0,0,0,0,0
2010-02-01,6,113,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,7,134,1,2,0,0,0,0,38,19,165,0,0
2010-04-01,13,137,8,1,0,0,0,0,57,26,217,0,0
2010-05-01,13,106,3,1,0,0,0,0,22,22,97,0,0
2010-06-01,11,96,1,1,0,0,0,0,18,14,71,0,0
2010-07-01,10,178,0,1,0,0,0,0,33,26,99,0,0
2010-08-01,2,7,0,1,0,0,0,0,4,0,21,0,0
2010-09-01,5,51,0,1,0,0,0,0,15,22,77,0,0
2010-10-01,8,150,0,1,0,0,0,0,25,32,104,0,0
2010-11-01,12,222,6,1,0,0,0,0,23,16,96,0,0
2010-12-01,13,112,1,1,0,0,0,0,8,7,20,0,0
2011-01-01,6,79,0,1,0,0,0,0,7,1,12,0,0
2011-02-01,8,71,0,1,0,0,0,0,2,1,6,0,0
2011-03-01,11,354,0,1,0,0,0,0,23,25,129,0,0
2011-04-01,11,178,0,1,0,0,0,0,4,11,38,0,0
2011-05-01,7,48,1,1,0,0,0,0,0,3,6,0,0
2011-06-01,6,92,0,1,0,0,0,0,20,13,73,0,0
2011-07-01,8,220,0,1,0,0,0,0,27,24,114,0,0
2011-08-01,6,155,1,2,1,0,0,0,9,19,52,0,0
2011-09-01,7,236,0,2,0,0,0,0,5,1,10,0,0
2011-10-01,12,133,2,1,0,0,0,0,0,1,1,0,0
2011-11-01,13,303,2,1,0,0,0,0,17,10,58,0,0
