dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2004-04-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2004-05-01,2,12,1,1,0,0,0,0,0,0,0,0,0
2004-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,2,17,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,3,36,1,2,1,0,0,0,0,0,0,0,0
2005-07-01,2,9,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,2,27,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,3,28,1,2,1,0,0,0,0,0,0,0,0
2005-12-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,3,24,1,1,0,0,0,0,0,0,0,0,0
2006-02-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,3,33,0,2,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,2,14,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,2,14,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,2,24,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,2,12,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,3,5,0,2,0,0,0,0,0,0,0,0,0
2007-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,2,18,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,2,8,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2007-11-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,2,36,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,2,16,0,2,0,0,0,0,0,0,0,0,0
2008-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,3,29,0,3,0,0,0,0,0,0,0,0,0
2008-07-01,3,43,0,2,0,0,0,0,0,0,0,0,0
2008-08-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2008-09-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,2,13,0,2,0,0,0,0,0,0,0,0,0
2008-11-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,2,9,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,3,26,0,2,0,0,0,0,0,0,0,0,0
2009-02-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,3,16,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,2,14,1,2,1,0,0,0,0,0,0,0,0
2009-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,2,21,0,1,0,0,0,0,0,0,0,0,0
2009-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,2,23,1,2,1,0,0,0,0,0,0,0,0
2009-12-01,4,85,0,3,0,0,0,0,0,0,0,0,0
2010-01-01,3,44,0,2,0,0,0,0,0,0,0,0,0
2010-02-01,2,15,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,3,41,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,4,39,1,3,1,0,0,0,0,0,0,0,0
2010-05-01,2,17,0,2,0,0,0,0,0,0,0,0,0
2010-06-01,3,25,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,2,26,0,2,0,0,0,0,0,0,0,0,0
2010-08-01,2,20,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,6,26,3,5,3,0,0,0,0,0,0,0,0
2010-10-01,3,125,0,2,0,0,0,0,0,0,0,0,0
2010-11-01,6,123,2,5,2,0,0,0,0,0,0,0,0
2010-12-01,5,94,1,4,1,0,0,0,0,0,0,0,0
2011-01-01,4,106,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,5,120,0,3,0,0,0,0,0,0,0,0,0
2011-03-01,7,118,3,5,3,0,0,0,0,0,0,0,0
2011-04-01,5,65,0,3,0,0,0,0,0,0,0,0,0
2011-05-01,6,81,1,5,1,0,0,0,0,0,0,0,0
2011-06-01,4,38,0,3,0,0,0,0,0,0,0,0,0
2011-07-01,5,17,1,3,0,0,0,0,0,0,0,0,0
2011-08-01,3,22,0,2,0,0,0,0,0,0,0,0,0
2011-09-01,3,9,0,2,0,0,0,0,0,0,0,0,0
2011-10-01,3,18,0,3,0,0,0,0,0,0,0,0,0
2011-11-01,6,30,2,4,2,0,0,0,0,0,0,0,0
2011-12-01,6,51,1,5,1,0,0,0,0,0,0,0,0
2012-01-01,4,22,1,3,1,0,0,0,0,0,0,0,0
2012-02-01,6,104,2,4,1,0,0,0,0,0,0,0,0
2012-03-01,7,155,1,5,1,0,0,0,0,0,0,0,0
2012-04-01,5,75,0,4,0,0,0,0,0,0,0,0,0
2012-05-01,8,71,1,6,1,0,0,0,0,0,0,0,0
2012-06-01,5,33,0,4,0,0,0,0,0,0,0,0,0
