dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-06-01,4,51,4,1,1,0,0,0,0,0,0,0,0
2010-07-01,12,138,8,1,0,0,0,0,0,0,0,0,0
2010-08-01,9,108,1,1,0,0,0,0,0,0,0,0,0
2010-09-01,13,269,3,1,0,0,0,0,0,0,0,0,0
2010-10-01,13,249,1,1,0,0,0,0,0,0,0,0,0
2010-11-01,14,319,3,1,0,0,0,0,0,0,0,0,0
2010-12-01,10,133,1,1,0,0,0,0,0,0,0,0,0
2011-01-01,11,137,1,1,0,0,0,0,0,0,0,0,0
2011-02-01,11,149,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,7,155,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,7,146,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,8,74,1,1,0,0,0,0,0,0,0,0,0
2011-06-01,3,19,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,6,51,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,6,27,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,7,28,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,5,17,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,5,21,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,4,8,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,7,48,2,1,0,0,0,0,0,0,0,0,0
2012-02-01,6,79,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,9,39,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,7,26,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,10,38,1,1,0,0,0,0,0,0,0,0,0
2012-06-01,9,39,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,7,76,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,7,51,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,16,92,7,5,4,0,0,0,0,0,0,0,0
2012-10-01,6,51,1,4,1,0,0,0,0,0,0,0,0
2012-11-01,10,190,4,5,2,0,0,0,0,0,0,0,0
2012-12-01,5,47,0,2,0,0,0,0,0,0,0,0,0
2013-01-01,8,163,3,3,1,0,0,0,0,0,0,0,0
2013-02-01,9,147,3,3,1,0,0,0,0,0,0,0,0
2013-03-01,10,97,2,3,1,0,0,0,0,0,0,0,0
2013-04-01,9,63,3,5,3,0,0,0,0,0,0,0,0
2013-05-01,9,112,3,4,2,0,0,0,0,0,0,0,0
2013-06-01,11,168,3,4,2,0,0,0,0,0,0,0,0
2013-07-01,14,66,5,6,3,0,0,0,0,0,0,0,0
2013-08-01,12,59,4,4,2,0,0,0,0,0,0,0,0
2013-09-01,13,82,6,3,1,0,0,0,0,0,0,0,0
2013-10-01,15,103,5,8,4,0,0,0,0,0,0,0,0
2013-11-01,12,68,3,7,1,0,0,0,0,0,0,0,0
2013-12-01,12,49,3,5,2,0,0,0,0,0,0,0,0
2014-01-01,13,106,2,6,2,0,0,0,0,0,0,0,0
2014-02-01,9,60,3,5,1,0,0,0,0,0,0,0,0
2014-03-01,13,137,5,6,3,0,0,0,0,0,0,0,0
2014-04-01,10,38,3,4,1,0,0,0,0,0,0,0,0
2014-05-01,11,45,5,6,3,0,0,0,0,0,0,0,0
2014-06-01,9,52,4,5,2,0,0,0,0,0,0,0,0
2014-07-01,17,178,8,7,3,0,0,0,0,0,0,0,0
2014-08-01,11,37,2,5,1,0,0,0,0,0,0,0,0
2014-09-01,18,145,8,8,3,0,0,0,0,0,0,0,0
2014-10-01,15,85,5,8,2,0,0,0,0,0,0,0,0
2014-11-01,17,117,6,9,5,0,0,0,0,0,0,0,0
2014-12-01,13,138,6,6,2,0,0,0,0,0,0,0,0
2015-01-01,10,39,3,5,1,0,0,0,0,0,0,0,0
2015-02-01,13,63,7,8,5,0,0,0,0,0,0,0,0
2015-03-01,13,74,4,6,1,0,0,0,0,0,0,0,0
2015-04-01,15,135,8,8,5,0,0,0,0,0,0,0,0
2015-05-01,9,85,2,5,0,0,0,0,0,0,0,0,0
2015-06-01,7,76,2,3,1,0,0,0,0,0,0,0,0
2015-07-01,5,115,2,3,0,0,0,0,0,0,0,0,0
2015-08-01,4,75,0,3,0,0,0,0,0,0,0,0,0
2015-09-01,6,51,1,4,0,0,0,0,0,0,0,0,0
2015-10-01,8,41,3,5,0,0,0,0,0,0,0,0,0
2015-11-01,7,36,3,4,2,0,0,0,0,0,0,0,0
2015-12-01,4,33,0,3,0,0,0,0,0,0,0,0,0
2016-01-01,8,28,3,4,1,0,0,0,0,0,0,0,0
2016-02-01,9,73,2,6,1,0,0,0,0,0,0,0,0
2016-03-01,9,52,2,6,0,0,0,0,0,0,0,0,0
2016-04-01,4,17,0,3,0,0,0,0,0,0,0,0,0
2016-05-01,5,49,0,2,0,0,0,0,0,0,0,0,0
2016-06-01,8,111,1,4,0,0,0,0,0,0,0,0,0
2016-07-01,6,90,1,2,0,0,0,0,0,0,0,0,0
2016-08-01,5,100,0,2,0,0,0,0,0,0,0,0,0
2016-09-01,3,22,0,2,0,0,0,0,0,0,0,0,0
2016-10-01,7,107,1,3,1,23,3,17,32,25,65,57,17
2016-11-01,10,83,3,5,2,12,3,10,17,18,55,17,9
2016-12-01,8,192,0,5,0,47,2,47,61,63,79,10,5
2017-01-01,8,149,2,6,0,42,3,39,79,73,196,19,4
2017-02-01,8,140,2,4,0,29,0,27,86,70,206,28,11
2017-03-01,11,77,4,6,3,25,3,24,41,48,135,28,17
2017-04-01,16,109,6,8,1,34,4,30,50,46,101,22,10
2017-05-01,13,155,6,7,2,26,2,18,38,28,104,30,13
2017-06-01,16,182,6,9,3,32,5,29,45,44,121,45,13
2017-07-01,13,104,4,6,0,25,6,22,53,54,161,39,14
2017-08-01,15,92,3,7,1,28,5,23,47,41,152,44,15
2017-09-01,11,88,1,8,1,20,3,15,36,23,63,25,6
2017-10-01,14,106,2,9,0,33,10,23,42,48,128,28,5
2017-11-01,14,85,4,5,0,41,6,31,54,50,93,44,13
2017-12-01,9,115,2,7,1,33,9,21,47,39,100,36,10
