dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-04-01,1,3,1,1,1,0,0,0,0,0,0,0,0
2003-05-01,4,57,3,2,1,0,0,0,0,0,0,0,0
2003-06-01,6,122,2,3,1,0,0,0,0,0,0,0,0
2003-07-01,6,59,1,3,0,0,0,0,0,0,0,0,0
2003-08-01,5,58,0,3,0,0,0,0,0,0,0,0,0
2003-09-01,4,87,0,3,0,0,0,0,0,0,0,0,0
2003-10-01,4,82,1,3,0,0,0,0,0,0,0,0,0
2003-11-01,2,62,0,2,0,0,0,0,0,0,0,0,0
2003-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,4,14,1,2,0,0,0,0,0,0,0,0,0
2004-02-01,5,64,0,3,0,0,0,0,0,0,0,0,0
2004-03-01,4,92,0,3,0,0,0,0,0,0,0,0,0
2004-04-01,4,100,0,3,0,0,0,0,0,0,0,0,0
2004-05-01,4,10,0,3,0,0,0,0,0,0,0,0,0
2004-06-01,4,102,0,3,0,0,0,0,0,0,0,0,0
2004-07-01,4,160,0,3,0,0,0,0,0,0,0,0,0
2004-08-01,3,22,0,2,0,0,0,0,0,0,0,0,0
2004-09-01,4,15,0,3,0,0,0,0,0,0,0,0,0
2004-10-01,4,70,0,3,0,0,0,0,0,0,0,0,0
2004-11-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2004-12-01,2,44,0,2,0,0,0,0,0,0,0,0,0
2005-01-01,2,96,0,2,0,0,0,0,0,0,0,0,0
2005-02-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,2,6,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,3,40,1,3,0,0,0,0,0,0,0,0,0
2005-06-01,3,12,0,2,0,0,0,0,0,0,0,0,0
2005-07-01,1,2,0,1,0,0,0,0,0,0,0,0,0
