dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2002-12-01,1,17,1,1,1,0,0,0,0,0,0,0,0
2003-01-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,2,68,1,1,0,0,0,0,0,0,0,0,0
2003-06-01,2,49,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,2,19,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,2,36,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,2,15,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,4,31,2,1,0,0,0,0,0,0,0,0,0
2004-01-01,4,23,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,3,17,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,2,18,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,3,19,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,2,41,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,3,21,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,3,42,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,3,51,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,2,60,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,3,102,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,4,75,1,1,0,0,0,0,0,0,0,0,0
2004-12-01,4,86,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,4,47,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,4,54,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,5,37,1,1,0,0,0,0,0,0,0,0,0
2005-04-01,4,95,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,3,41,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,2,26,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,3,22,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,4,47,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,5,30,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,2,47,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,2,35,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,2,17,1,2,1,0,0,0,0,0,0,0,0
2006-03-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,2,4,1,2,1,0,0,0,0,0,0,0,0
2006-05-01,2,55,0,2,0,0,0,0,0,0,0,0,0
2006-06-01,2,24,0,2,0,0,0,0,0,0,0,0,0
2006-07-01,2,31,0,2,0,0,0,0,0,0,0,0,0
2006-08-01,2,16,0,2,0,0,0,0,0,0,0,0,0
2006-09-01,3,14,1,3,1,0,0,0,0,0,0,0,0
2006-10-01,2,10,0,2,0,0,0,0,0,0,0,0,0
2006-11-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,2,7,0,2,0,0,0,0,0,0,0,0,0
2007-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,3,16,0,3,0,0,0,0,0,0,0,0,0
2007-03-01,2,10,0,2,0,0,0,0,0,0,0,0,0
2007-04-01,4,27,2,4,2,0,0,0,0,0,0,0,0
2007-05-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2007-06-01,3,8,1,3,1,0,0,0,0,0,0,0,0
2007-07-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2007-08-01,4,26,2,4,1,0,0,0,0,0,0,0,0
2007-09-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2007-10-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2007-11-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2007-12-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,2,8,0,2,0,0,0,0,0,0,0,0,0
2008-02-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2008-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2008-05-01,3,7,2,3,2,0,0,0,0,0,0,0,0
2008-06-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2008-07-01,3,14,0,3,0,0,0,0,0,0,0,0,0
2008-08-01,8,38,5,7,4,0,0,0,0,0,0,0,0
2008-09-01,5,14,1,5,1,0,0,0,0,0,0,0,0
2008-10-01,2,3,1,2,1,0,0,0,0,0,0,0,0
2008-11-01,4,8,1,4,1,0,0,0,0,0,0,0,0
2008-12-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2009-01-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2009-02-01,5,11,2,5,2,0,0,0,0,0,0,0,0
2009-03-01,2,2,1,2,1,0,0,0,0,0,0,0,0
2009-04-01,3,7,2,2,1,0,0,0,0,0,0,0,0
2009-05-01,5,20,2,4,2,0,0,0,0,0,0,0,0
2009-06-01,14,35,10,13,7,0,0,0,0,0,0,0,0
2009-07-01,10,32,3,10,3,0,0,0,0,0,0,0,0
2009-08-01,7,24,3,7,3,0,0,0,0,0,0,0,0
2009-09-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2009-12-01,7,35,4,7,4,0,0,0,0,0,0,0,0
2010-01-01,7,26,3,7,3,0,0,0,0,0,0,0,0
2010-02-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,5,10,2,5,2,0,0,0,0,0,0,0,0
2010-04-01,4,12,0,3,0,0,0,0,0,0,0,0,0
2010-05-01,5,5,3,5,3,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,3,5,1,3,0,0,0,0,0,0,0,0,0
2010-08-01,5,15,2,4,0,0,0,0,0,0,0,0,0
2010-09-01,3,7,1,3,1,0,0,0,0,0,0,0,0
2010-10-01,2,2,1,1,0,0,0,0,0,0,0,0,0
2010-11-01,3,23,0,3,0,0,0,0,0,0,0,0,0
2010-12-01,2,7,0,2,0,0,0,0,0,0,0,0,0
2011-01-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,2,3,1,2,1,0,0,0,0,0,0,0,0
2011-03-01,7,24,2,7,1,0,0,0,0,0,0,0,0
2011-04-01,3,12,1,3,1,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2011-07-01,6,28,1,6,0,0,0,0,0,0,0,0,0
2011-08-01,3,40,1,3,0,0,0,0,0,0,0,0,0
2011-09-01,15,84,7,12,4,0,0,0,0,0,0,0,0
2011-10-01,7,60,4,7,4,0,0,0,0,0,0,0,0
2011-11-01,4,25,3,4,3,0,0,0,0,0,0,0,0
2011-12-01,11,65,4,10,3,0,0,0,0,0,0,0,0
2012-01-01,5,56,3,5,2,0,0,0,0,0,0,0,0
2012-02-01,7,44,3,6,1,0,0,0,0,0,0,0,0
2012-03-01,7,26,2,6,0,0,0,0,0,0,0,0,0
2012-04-01,7,33,2,7,2,0,0,0,0,0,0,0,0
2012-05-01,8,53,3,7,1,0,0,0,0,0,0,0,0
2012-06-01,5,13,0,5,0,0,0,0,0,0,0,0,0
2012-07-01,3,11,0,3,0,0,0,0,0,0,0,0,0
2012-08-01,4,8,1,4,1,0,0,0,0,0,0,0,0
2012-09-01,7,10,4,5,2,0,0,0,0,0,0,0,0
2012-10-01,6,12,2,6,1,0,0,0,0,0,0,0,0
2012-11-01,7,30,4,5,2,0,0,0,0,0,0,0,0
2012-12-01,11,31,5,7,1,0,0,0,0,0,0,0,0
2013-01-01,7,34,1,6,1,0,0,0,0,0,0,0,0
2013-02-01,5,11,1,4,0,0,0,0,0,0,0,0,0
2013-03-01,5,13,1,4,0,0,0,0,0,0,0,0,0
2013-04-01,4,5,2,4,2,0,0,0,0,0,0,0,0
2013-05-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,5,17,0,4,0,0,0,0,0,0,0,0,0
2013-08-01,4,27,0,4,0,0,0,0,0,0,0,0,0
2013-09-01,4,11,3,4,2,0,0,0,0,0,0,0,0
2013-10-01,5,6,3,5,2,0,0,0,0,0,0,0,0
2013-11-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,2,4,1,1,0,0,0,0,0,0,0,0,0
2014-02-01,1,2,1,1,0,0,0,0,0,0,0,0,0
2014-03-01,2,3,1,2,0,0,0,0,0,0,0,0,0
2014-04-01,7,14,1,6,1,0,0,0,0,0,0,0,0
2014-05-01,4,9,2,4,2,0,0,0,0,0,0,0,0
2014-06-01,4,28,0,3,0,0,0,0,0,0,0,0,0
2014-07-01,4,13,0,4,0,0,0,0,0,0,0,0,0
2014-08-01,2,3,1,2,0,0,0,0,0,0,0,0,0
2014-09-01,3,12,1,3,0,0,0,0,0,0,0,0,0
2014-10-01,6,17,1,4,1,0,0,0,0,0,0,0,0
2014-11-01,3,7,1,3,1,0,0,0,0,0,0,0,0
2014-12-01,3,4,0,3,0,0,0,0,0,0,0,0,0
2015-01-01,4,13,1,3,0,0,0,0,0,0,0,0,0
2015-02-01,2,9,1,2,1,0,0,0,0,0,0,0,0
2015-03-01,4,39,0,4,0,0,0,0,0,0,0,0,0
2015-04-01,3,26,0,3,0,0,0,0,0,0,0,0,0
2015-05-01,8,270,3,7,2,0,0,0,0,0,0,0,0
2015-06-01,7,50,2,6,2,0,0,0,0,0,0,0,0
2015-07-01,7,41,4,5,1,0,0,0,0,0,0,0,0
2015-08-01,11,30,5,5,0,0,0,0,0,0,0,0,0
2015-09-01,11,76,2,5,0,0,0,0,0,0,0,0,0
2015-10-01,10,111,0,6,0,0,0,0,0,0,0,0,0
2015-11-01,9,87,2,6,2,0,0,0,0,0,0,0,0
2015-12-01,5,30,0,3,0,0,0,0,0,0,0,0,0
2016-01-01,10,57,2,7,1,0,0,0,0,0,0,0,0
2016-02-01,13,111,4,8,1,0,0,0,0,0,0,0,0
2016-03-01,9,85,3,4,2,0,0,0,0,0,0,0,0
2016-04-01,15,115,2,9,1,0,0,0,0,0,0,0,0
2016-05-01,16,109,6,11,4,0,0,0,0,0,0,0,0
2016-06-01,16,152,3,8,0,0,0,0,0,0,0,0,0
2016-07-01,13,153,2,6,0,0,0,0,0,0,0,0,0
2016-08-01,16,196,2,8,1,0,0,0,0,0,0,0,0
2016-09-01,18,338,4,13,4,0,0,0,0,0,0,0,0
2016-10-01,13,195,1,4,0,0,0,0,0,0,0,0,0
2016-11-01,16,314,4,8,2,0,0,0,0,0,0,0,0
2016-12-01,19,217,2,9,1,13,3,3,35,14,81,5,5
2017-01-01,22,381,4,12,3,56,11,48,107,109,690,8,7
2017-02-01,21,267,4,12,2,48,12,33,89,84,560,6,1
2017-03-01,18,266,1,9,0,52,15,39,80,81,500,18,2
2017-04-01,24,349,5,14,3,39,8,29,119,90,741,101,19
2017-05-01,28,586,2,15,2,99,24,74,216,200,1134,38,9
2017-06-01,26,433,6,14,2,75,12,64,127,116,859,25,10
2017-07-01,29,367,5,14,3,72,9,59,109,98,804,24,10
2017-08-01,35,523,7,20,5,137,14,123,203,216,1507,35,13
2017-09-01,25,286,4,11,0,103,6,85,189,149,1266,17,9
2017-10-01,21,334,4,11,2,82,7,82,117,126,1092,22,10
2017-11-01,26,207,6,15,3,60,6,55,112,92,916,27,13
2017-12-01,18,188,1,10,1,47,11,37,78,65,717,25,7
2018-01-01,21,286,3,12,1,83,11,72,115,106,1131,29,6
2018-02-01,25,290,1,12,1,66,9,61,109,94,1258,38,7
2018-03-01,28,461,5,14,1,126,11,103,202,172,2423,19,16
2018-04-01,30,327,6,16,3,100,11,90,137,123,1567,30,16
2018-05-01,30,376,8,15,3,107,12,98,194,182,1710,27,14
2018-06-01,28,582,5,18,3,184,8,180,253,246,2316,35,9
2018-07-01,30,293,10,13,2,111,13,92,167,138,1498,33,16
2018-08-01,36,477,4,17,0,149,20,126,198,175,2474,36,19
2018-09-01,30,268,5,16,3,112,14,86,153,126,1745,43,19
2018-10-01,33,345,8,17,5,97,8,90,161,134,1690,26,19
2018-11-01,36,331,8,20,2,93,5,84,134,109,1203,38,9
2018-12-01,26,285,2,15,1,88,8,81,144,132,1260,29,10
2019-01-01,25,351,4,13,2,99,16,93,168,171,1613,27,9
2019-02-01,36,407,6,19,4,102,9,79,172,178,1743,33,18
2019-03-01,34,377,3,18,2,89,8,81,162,137,1307,39,16
2019-04-01,29,291,3,16,2,113,22,92,180,246,2138,32,14
2019-05-01,36,447,3,15,1,154,28,126,203,191,2549,38,17
2019-06-01,35,370,4,16,2,121,15,110,188,183,2010,43,11
2019-07-01,29,227,4,16,2,79,7,71,136,129,1483,60,16
2019-08-01,35,281,4,16,0,94,6,73,152,121,1674,35,19
2019-09-01,40,309,8,19,2,110,11,116,174,177,2018,36,21
2019-10-01,34,350,7,13,0,112,18,88,174,181,2369,21,16
2019-11-01,37,277,5,15,1,108,9,80,185,155,1689,38,17
2019-12-01,31,227,3,11,0,87,17,80,156,142,1741,22,10
2020-01-01,23,234,0,12,0,94,12,91,146,179,1854,48,14
2020-02-01,32,257,4,12,0,94,5,77,133,114,1771,48,19
2020-03-01,39,476,6,16,2,187,13,158,242,202,2673,31,18
2020-04-01,38,402,3,14,2,152,19,136,205,222,3056,30,14
2020-05-01,41,291,5,19,2,110,14,82,164,138,1858,40,12
2020-06-01,39,221,7,18,4,100,22,87,167,151,1987,35,18
2020-07-01,38,257,6,21,4,127,18,100,177,159,2456,39,13
2020-08-01,37,261,8,21,3,130,16,110,190,172,2134,50,21
