dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-06-01,1,12,1,1,1,0,0,0,0,0,0,0,0
2010-07-01,3,39,2,1,0,0,0,0,0,0,0,0,0
2010-08-01,2,49,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,2,36,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,38,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,2,45,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,2,63,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,3,50,1,2,1,0,0,0,0,0,0,0,0
2011-03-01,3,26,0,2,0,0,0,0,0,0,0,0,0
2011-04-01,2,61,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,2,47,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,3,79,1,2,1,0,0,0,0,0,0,0,0
2011-09-01,5,84,2,2,0,0,0,0,0,0,0,0,0
2011-10-01,1,47,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,60,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,2,42,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,2,53,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,3,83,0,2,0,0,0,0,0,0,0,0,0
2012-03-01,2,30,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,3,29,0,2,0,0,0,0,0,0,0,0,0
2012-05-01,3,47,1,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,56,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,2,55,1,2,1,0,0,0,0,0,0,0,0
2012-08-01,1,89,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,29,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,3,62,0,3,0,0,0,0,0,0,0,0,0
2012-11-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2013-12-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,2,44,0,2,0,0,0,0,0,0,0,0,0
2014-03-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,1,47,0,1,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2014-07-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2014-08-01,4,21,1,3,1,0,0,0,0,0,0,0,0
2014-09-01,2,39,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,3,28,0,2,0,0,0,0,0,0,0,0,0
2014-12-01,2,29,0,2,0,0,0,0,0,0,0,0,0
2015-01-01,2,28,0,2,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,2,20,0,2,0,0,0,0,1152,838,8436,0,0
2015-07-01,2,13,1,1,0,0,0,0,8,23,100,6,3
2015-08-01,1,2,0,1,0,0,0,0,8,3,24,5,0
2015-09-01,0,0,0,0,0,1,0,0,12,4,78,8,1
2015-10-01,0,0,0,0,0,1,0,0,14,4,35,5,2
2015-11-01,0,0,0,0,0,0,0,0,8,3,24,8,2
