dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2004-01-01,2,2,2,2,2,0,0,0,0,0,0,0,0
2004-02-01,3,61,2,2,1,0,0,0,0,0,0,0,0
2004-03-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2004-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,2,46,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,2,29,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,3,308,0,2,0,0,0,0,0,0,0,0,0
2004-08-01,3,51,0,2,0,0,0,0,0,0,0,0,0
2004-09-01,3,240,0,2,0,0,0,0,0,0,0,0,0
2004-10-01,3,24,0,2,0,0,0,0,0,0,0,0,0
2004-11-01,3,83,0,2,0,0,0,0,0,0,0,0,0
2004-12-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2005-01-01,2,42,0,2,0,0,0,0,0,0,0,0,0
2005-02-01,3,136,0,2,0,0,0,0,0,0,0,0,0
2005-03-01,3,272,0,2,0,0,0,0,0,0,0,0,0
2005-04-01,3,92,0,2,0,0,0,0,0,0,0,0,0
2005-05-01,2,99,0,2,0,0,0,0,0,0,0,0,0
2005-06-01,2,56,0,2,0,0,0,0,0,0,0,0,0
2005-07-01,3,124,0,2,0,0,0,0,0,0,0,0,0
2005-08-01,2,99,0,2,0,0,0,0,0,0,0,0,0
2005-09-01,3,76,0,2,0,0,0,0,0,0,0,0,0
2005-10-01,2,177,0,2,0,0,0,0,0,0,0,0,0
2005-11-01,2,57,0,2,0,0,0,0,0,0,0,0,0
2005-12-01,2,178,0,2,0,0,0,0,0,0,0,0,0
2006-01-01,2,234,0,2,0,0,0,0,0,0,0,0,0
2006-02-01,2,284,0,2,0,0,0,0,0,0,0,0,0
2006-03-01,2,111,0,2,0,0,0,0,0,0,0,0,0
2006-04-01,3,366,1,2,0,0,0,0,0,0,0,0,0
2006-05-01,2,142,1,2,1,0,0,0,0,0,0,0,0
2006-06-01,2,90,0,2,0,0,0,0,0,0,0,0,0
2006-07-01,2,56,0,2,0,0,0,0,0,0,0,0,0
2006-08-01,2,139,0,2,0,0,0,0,0,0,0,0,0
2006-09-01,2,81,0,2,0,0,0,0,0,0,0,0,0
2006-10-01,2,126,0,2,0,0,0,0,0,0,0,0,0
2006-11-01,2,106,0,2,0,0,0,0,0,0,0,0,0
2006-12-01,3,52,1,3,1,0,0,0,0,0,0,0,0
2007-01-01,3,104,0,3,0,0,0,0,0,0,0,0,0
2007-02-01,4,129,1,4,1,0,0,0,0,0,0,0,0
