dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
1996-07-01,2,116,2,2,2,0,0,0,0,0,0,0,0
1996-08-01,2,95,0,2,0,0,0,0,0,0,0,0,0
1996-09-01,2,63,1,2,1,0,0,0,0,0,0,0,0
1996-10-01,4,215,2,4,2,0,0,0,0,0,0,0,0
1996-11-01,4,292,0,4,0,0,0,0,0,0,0,0,0
1996-12-01,4,95,0,4,0,0,0,0,0,0,0,0,0
1997-01-01,4,204,0,4,0,0,0,0,0,0,0,0,0
1997-02-01,3,85,0,3,0,0,0,0,0,0,0,0,0
1997-03-01,3,116,0,3,0,0,0,0,0,0,0,0,0
1997-04-01,4,190,2,4,2,0,0,0,0,0,0,0,0
1997-05-01,5,113,0,5,0,0,0,0,0,0,0,0,0
1997-06-01,5,125,0,5,0,0,0,0,0,0,0,0,0
1997-07-01,4,74,0,4,0,0,0,0,0,0,0,0,0
1997-08-01,3,115,0,3,0,0,0,0,0,0,0,0,0
1997-09-01,5,276,0,5,0,0,0,0,0,0,0,0,0
1997-10-01,4,131,0,4,0,0,0,0,0,0,0,0,0
1997-11-01,4,124,0,4,0,0,0,0,0,0,0,0,0
1997-12-01,4,145,0,4,0,0,0,0,0,0,0,0,0
1998-01-01,5,164,1,5,1,0,0,0,0,0,0,0,0
1998-02-01,5,238,0,5,0,0,0,0,0,0,0,0,0
1998-03-01,3,112,0,3,0,0,0,0,0,0,0,0,0
1998-04-01,5,133,0,5,0,0,0,0,0,0,0,0,0
1998-05-01,3,88,0,3,0,0,0,0,0,0,0,0,0
1998-06-01,4,100,1,4,1,0,0,0,0,0,0,0,0
1998-07-01,5,126,0,5,0,0,0,0,0,0,0,0,0
1998-08-01,4,194,0,4,0,0,0,0,0,0,0,0,0
1998-09-01,5,145,0,5,0,0,0,0,0,0,0,0,0
1998-10-01,4,304,1,4,1,0,0,0,0,0,0,0,0
1998-11-01,7,48,1,7,1,0,0,0,0,0,0,0,0
1998-12-01,7,91,0,7,0,0,0,0,0,0,0,0,0
1999-01-01,7,104,0,7,0,0,0,0,0,0,0,0,0
1999-02-01,6,171,0,6,0,0,0,0,0,0,0,0,0
1999-03-01,7,137,2,6,0,0,0,0,0,0,0,0,0
1999-04-01,9,109,1,8,1,0,0,0,0,0,0,0,0
1999-05-01,10,215,0,9,0,0,0,0,0,0,0,0,0
1999-06-01,9,153,0,8,0,0,0,0,0,0,0,0,0
1999-07-01,6,203,0,5,0,0,0,0,0,0,0,0,0
1999-08-01,7,88,0,6,0,0,0,0,0,0,0,0,0
1999-09-01,11,163,1,10,1,0,0,0,0,0,0,0,0
1999-10-01,9,166,0,8,0,0,0,0,0,0,0,0,0
1999-11-01,6,129,0,5,0,0,0,0,0,0,0,0,0
1999-12-01,7,150,0,6,0,0,0,0,0,0,0,0,0
2000-01-01,9,239,1,8,1,0,0,0,0,0,0,0,0
2000-02-01,9,203,0,8,0,0,0,0,0,0,0,0,0
2000-03-01,9,265,0,8,0,0,0,0,0,0,0,0,0
2000-04-01,11,213,0,10,0,0,0,0,0,0,0,0,0
2000-05-01,9,185,0,8,0,0,0,0,0,0,0,0,0
2000-06-01,6,188,0,6,0,0,0,0,0,0,0,0,0
2000-07-01,10,225,1,10,1,0,0,0,0,0,0,0,0
2000-08-01,8,101,0,8,0,0,0,0,0,0,0,0,0
2000-09-01,10,108,0,9,0,0,0,0,0,0,0,0,0
2000-10-01,11,306,1,10,1,0,0,0,0,0,0,0,0
2000-11-01,11,267,0,10,0,0,0,0,0,0,0,0,0
2000-12-01,11,234,0,10,0,0,0,0,0,0,0,0,0
2001-01-01,12,358,0,10,0,0,0,0,0,0,0,0,0
2001-02-01,11,314,0,10,0,0,0,0,0,0,0,0,0
2001-03-01,12,224,1,11,1,0,0,0,0,0,0,0,0
2001-04-01,11,117,0,10,0,0,0,0,0,0,0,0,0
2001-05-01,10,315,0,10,0,0,0,0,0,0,0,0,0
2001-06-01,7,189,0,7,0,0,0,0,0,0,0,0,0
