dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-02-01,2,106,2,1,1,0,0,0,0,0,0,0,0
2009-03-01,4,155,2,3,2,0,0,0,17,0,59,0,0
2009-04-01,2,44,0,1,0,0,0,0,12,0,23,0,0
2009-05-01,4,87,2,2,1,0,0,0,21,1,28,0,0
2009-06-01,2,98,1,2,1,0,0,0,14,0,23,0,0
2009-07-01,2,31,1,2,1,0,0,0,11,0,15,0,0
2009-08-01,2,80,1,2,1,0,0,0,19,1,57,0,0
2009-09-01,2,71,0,2,0,0,0,0,22,87,150,0,0
2009-10-01,1,33,0,1,0,0,0,0,9,12,41,0,0
2009-11-01,1,79,0,1,0,0,0,0,26,19,61,0,0
2009-12-01,1,48,0,1,0,0,0,0,13,11,43,0,0
2010-01-01,4,42,2,4,1,0,0,0,9,7,26,0,0
2010-02-01,1,17,0,1,0,0,0,0,12,5,24,0,0
2010-03-01,4,192,2,4,1,0,0,0,17,30,132,0,0
2010-04-01,4,55,2,4,1,0,0,0,13,4,34,0,0
2010-05-01,1,36,0,1,0,0,0,0,8,7,38,0,0
2010-06-01,2,75,1,2,0,0,0,0,11,10,43,0,0
2010-07-01,4,61,1,4,1,0,0,0,13,7,57,0,0
2010-08-01,5,49,2,5,2,0,0,0,8,2,30,0,0
2010-09-01,3,39,0,3,0,0,0,0,4,7,50,0,0
2010-10-01,4,17,1,4,1,0,0,0,2,3,17,0,0
2010-11-01,5,149,0,3,0,0,0,0,7,8,34,0,0
2010-12-01,3,34,0,3,0,0,0,0,9,4,37,0,0
2011-01-01,4,131,1,3,0,0,0,0,30,25,100,0,0
2011-02-01,3,53,0,3,0,0,0,0,15,15,80,0,0
2011-03-01,4,107,1,3,0,0,0,0,40,29,158,0,0
2011-04-01,4,40,1,3,0,0,0,0,13,10,56,0,0
2011-05-01,2,81,0,2,0,0,0,0,15,18,75,0,0
2011-06-01,1,26,0,1,0,0,0,0,9,2,36,0,0
2011-07-01,4,169,1,3,0,0,0,0,13,7,53,0,0
2011-08-01,9,333,6,7,4,0,0,0,54,77,328,0,0
2011-09-01,4,122,2,4,2,0,0,0,16,20,67,0,0
2011-10-01,7,222,3,5,2,0,0,0,18,16,106,0,0
2011-11-01,5,166,1,5,1,0,0,0,27,26,178,0,0
2011-12-01,5,91,3,2,0,0,0,0,32,23,149,0,0
2012-01-01,4,122,2,2,0,0,0,0,25,32,183,0,0
2012-02-01,6,45,3,2,0,0,0,0,22,13,80,0,0
2012-03-01,4,23,2,2,0,0,0,0,21,14,94,0,0
2012-04-01,4,42,1,3,0,0,0,0,14,22,94,0,0
2012-05-01,7,65,4,4,2,0,0,0,22,10,94,0,0
2012-06-01,3,48,0,3,0,0,0,0,24,20,98,0,0
2012-07-01,5,42,2,5,2,0,0,0,19,10,91,0,0
2012-08-01,11,118,7,8,4,0,0,0,26,25,182,0,0
2012-09-01,15,141,11,10,6,0,0,0,39,59,346,0,0
2012-10-01,5,55,1,4,0,0,0,0,30,24,207,0,0
2012-11-01,7,27,3,6,2,0,0,0,19,14,89,0,0
2012-12-01,9,85,3,9,3,0,0,0,26,34,262,0,0
2013-01-01,12,53,7,10,4,0,0,0,31,28,211,0,0
2013-02-01,5,22,3,3,0,0,0,0,29,27,175,0,0
2013-03-01,8,39,6,8,3,0,0,0,25,23,127,0,0
2013-04-01,7,31,4,5,2,0,0,0,17,32,141,0,0
2013-05-01,6,14,3,6,3,0,0,0,12,11,65,0,0
2013-06-01,4,33,2,4,2,0,0,0,9,11,61,0,0
2013-07-01,3,8,2,3,0,0,0,0,24,19,190,0,0
2013-08-01,7,26,2,4,0,0,0,0,15,11,108,0,0
2013-09-01,7,21,2,7,2,0,0,0,20,25,168,0,0
2013-10-01,5,21,2,5,1,0,0,0,16,12,102,0,0
2013-11-01,7,22,3,6,2,0,0,0,18,14,94,0,0
2013-12-01,4,47,2,4,2,0,0,0,16,24,193,0,0
2014-01-01,8,69,4,5,1,0,0,0,26,21,185,0,0
2014-02-01,7,22,3,7,2,0,0,0,25,17,150,0,0
2014-03-01,7,24,2,7,2,0,0,0,15,15,156,0,0
2014-04-01,6,33,2,6,1,0,0,0,31,33,302,0,0
2014-05-01,4,25,1,4,0,0,0,0,10,12,72,0,0
2014-06-01,6,80,3,5,1,0,0,0,55,47,592,0,0
2014-07-01,2,31,0,2,0,0,0,0,27,32,266,0,0
2014-08-01,3,11,1,3,1,0,0,0,23,26,200,0,0
2014-09-01,3,4,0,2,0,0,0,0,14,14,65,0,0
2014-10-01,3,13,0,3,0,0,0,0,13,11,93,0,0
2014-11-01,5,8,2,5,2,0,0,0,15,14,127,0,0
2014-12-01,3,7,1,3,1,0,0,0,24,19,193,0,0
2015-01-01,5,10,3,5,3,0,0,0,16,13,94,0,0
2015-02-01,6,39,3,5,1,2,0,1,58,41,547,126,13
2015-03-01,12,213,7,10,5,0,0,1,121,150,1206,111,13
2015-04-01,10,105,4,7,1,0,0,0,72,65,655,59,9
2015-05-01,6,39,1,6,1,0,0,0,40,54,773,54,6
2015-06-01,6,32,0,6,0,0,0,0,39,32,536,60,2
2015-07-01,9,37,4,7,1,0,0,0,53,40,542,62,6
2015-08-01,7,53,2,7,2,0,0,0,59,58,776,65,7
2015-09-01,7,82,2,6,1,0,0,0,87,102,1173,52,8
2015-10-01,8,100,4,7,1,1,0,1,79,82,941,77,9
