dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-02-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2012-03-01,2,33,1,2,1,0,0,0,0,0,0,0,0
2012-04-01,3,12,1,3,1,0,0,0,0,0,0,0,0
2012-05-01,4,105,1,4,1,0,0,0,0,0,0,0,0
2012-06-01,5,118,2,5,2,0,0,0,0,0,0,0,0
2012-07-01,4,86,1,3,0,0,0,0,0,0,0,0,0
2012-08-01,6,230,1,4,0,0,0,0,0,0,0,0,0
2012-09-01,6,135,2,5,1,0,0,0,0,0,0,0,0
2012-10-01,2,13,0,2,0,0,0,0,0,0,0,0,0
2012-11-01,3,20,0,3,0,0,0,0,0,0,0,0,0
2012-12-01,5,47,2,5,2,0,0,0,0,0,0,0,0
2013-01-01,5,105,1,5,1,0,0,0,0,0,0,0,0
2013-02-01,5,43,1,5,1,0,0,0,0,0,0,0,0
2013-03-01,6,257,1,5,0,0,0,0,0,0,0,0,0
2013-04-01,6,92,1,5,1,0,0,0,0,0,0,0,0
2013-05-01,6,135,0,5,0,0,0,0,0,0,0,0,0
2013-06-01,6,68,1,6,1,0,0,0,0,0,0,0,0
2013-07-01,5,65,0,5,0,0,0,0,0,0,0,0,0
2013-08-01,6,86,1,6,1,0,0,0,0,0,0,0,0
2013-09-01,4,149,0,4,0,0,0,0,0,0,0,0,0
2013-10-01,10,260,5,9,4,0,0,0,0,0,0,0,0
2013-11-01,4,224,0,4,0,0,0,0,0,0,0,0,0
2013-12-01,8,107,4,6,2,0,0,0,0,0,0,0,0
2014-01-01,2,54,0,2,0,0,0,0,0,0,0,0,0
2014-02-01,3,96,0,3,0,0,0,0,0,0,0,0,0
2014-03-01,8,16,5,8,4,0,0,0,0,0,0,0,0
2014-04-01,7,128,1,7,1,0,0,0,0,0,0,0,0
2014-05-01,6,242,0,6,0,0,0,0,0,0,0,0,0
2014-06-01,8,157,3,7,1,0,0,0,0,0,0,0,0
2014-07-01,6,255,2,6,1,0,0,0,0,0,0,0,0
2014-08-01,4,130,0,4,0,0,0,0,0,0,0,0,0
2014-09-01,5,89,1,5,1,0,0,0,0,0,0,0,0
2014-10-01,4,109,0,4,0,0,0,0,0,0,0,0,0
2014-11-01,6,113,0,6,0,0,0,0,0,0,0,0,0
2014-12-01,5,80,1,5,1,0,0,0,0,0,0,0,0
2015-01-01,5,64,2,5,1,0,0,0,0,0,0,0,0
2015-02-01,3,8,1,2,0,0,0,0,0,0,0,0,0
2015-03-01,5,38,1,3,0,0,0,0,0,0,0,0,0
2015-04-01,4,168,0,3,0,0,0,0,0,0,0,0,0
2015-05-01,9,154,3,5,1,0,0,0,0,0,0,0,0
2015-06-01,3,10,0,3,0,0,0,0,0,0,0,0,0
2015-07-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2015-08-01,2,8,1,2,0,0,0,0,0,0,0,0,0
2015-09-01,8,112,2,8,2,0,0,0,0,0,0,0,0
2015-10-01,3,7,0,3,0,0,0,0,0,0,0,0,0
2015-11-01,7,12,5,5,3,0,0,0,0,0,0,0,0
2015-12-01,6,43,1,4,0,0,0,0,0,0,0,0,0
2016-01-01,6,14,3,4,1,0,0,0,0,0,0,0,0
2016-02-01,4,10,1,3,0,0,0,0,0,0,0,0,0
2016-03-01,2,8,1,2,0,0,0,0,0,0,0,0,0
2016-04-01,3,4,2,3,1,0,0,0,0,0,0,0,0
2016-05-01,3,5,2,3,2,0,0,0,0,0,0,0,0
2016-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,1,1,1,1,0,0,0,0,0,0,0,0,0
