dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-10-01,1,21,1,1,1,0,0,0,0,0,0,0,0
2003-11-01,2,18,1,2,1,0,0,0,0,0,0,0,0
2003-12-01,3,42,1,3,1,0,0,0,0,0,0,0,0
2004-01-01,3,103,0,3,0,0,0,0,0,0,0,0,0
2004-02-01,2,46,0,2,0,0,0,0,0,0,0,0,0
2004-03-01,2,38,0,2,0,0,0,0,0,0,0,0,0
2004-04-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2004-06-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,2,13,0,2,0,0,0,0,0,0,0,0,0
2004-09-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,2,17,1,2,1,0,0,0,0,0,0,0,0
2004-11-01,2,7,0,2,0,0,0,0,0,0,0,0,0
2004-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,2,23,0,2,0,0,0,0,0,0,0,0,0
2005-08-01,4,45,2,4,2,0,0,0,0,0,0,0,0
2005-09-01,2,20,0,2,0,0,0,0,0,0,0,0,0
2005-10-01,3,29,0,3,0,0,0,0,0,0,0,0,0
2005-11-01,2,26,0,2,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,2,41,0,2,0,0,0,0,0,0,0,0,0
2007-01-01,2,33,0,2,0,0,0,0,0,0,0,0,0
2007-02-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,2,70,0,2,0,0,0,0,0,0,0,0,0
2007-04-01,2,127,0,2,0,0,0,0,0,0,0,0,0
2007-05-01,1,118,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,2,45,1,2,0,0,0,0,0,0,0,0,0
2007-07-01,2,47,0,2,0,0,0,0,0,0,0,0,0
2007-08-01,1,97,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,2,90,0,2,0,0,0,0,0,0,0,0,0
2007-10-01,1,96,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,74,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,2,81,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,1,89,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,2,60,0,2,0,0,0,0,0,0,0,0,0
2008-03-01,1,85,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,2,103,1,2,0,0,0,0,0,0,0,0,0
2008-05-01,2,117,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,4,102,2,4,1,0,0,0,0,0,0,0,0
2008-07-01,3,106,0,3,0,0,0,0,0,0,0,0,0
2008-08-01,2,64,0,2,0,0,0,0,0,0,0,0,0
2008-09-01,3,93,0,3,0,0,0,0,0,0,0,0,0
2008-10-01,3,132,0,3,0,0,0,0,0,0,0,0,0
2008-11-01,3,116,0,3,0,0,0,0,0,0,0,0,0
2008-12-01,2,112,0,2,0,0,0,0,0,0,0,0,0
2009-01-01,2,102,0,2,0,0,0,0,0,0,0,0,0
2009-02-01,1,59,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,2,51,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,3,84,0,3,0,0,0,0,0,0,0,0,0
2009-05-01,4,162,0,4,0,0,0,0,0,0,0,0,0
2009-06-01,4,101,1,3,0,0,0,0,0,0,0,0,0
2009-07-01,4,50,0,3,0,0,0,0,0,0,0,0,0
2009-08-01,2,50,0,2,0,0,0,0,0,0,0,0,0
2009-09-01,3,74,1,3,1,0,0,0,0,0,0,0,0
2009-10-01,2,50,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,3,91,0,3,0,0,0,0,0,0,0,0,0
2009-12-01,1,56,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,1,70,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,2,86,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,1,94,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2010-05-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,2,29,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,1,64,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,1,67,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,2,63,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,1,105,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,1,112,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,72,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,43,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,1,52,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,53,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,71,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,1,45,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,1,60,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,1,78,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,1,63,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,1,48,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,72,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,1,41,0,1,0,0,0,0,0,0,0,0,0
