dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2005-10-01,1,21,1,1,1,0,0,0,0,0,0,0,0
2005-11-01,1,180,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,268,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,1,305,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,2,125,1,1,0,0,0,0,0,0,0,0,0
2006-03-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,2,55,1,1,0,0,0,0,0,0,0,0,0
2006-07-01,2,2,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,2,12,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,3,48,2,1,0,0,0,0,0,0,0,0,0
2006-11-01,2,60,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,2,43,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,2,35,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,2,60,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,25,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,2,25,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,2,24,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,5,54,1,2,1,0,0,0,0,0,0,0,0
2007-11-01,4,65,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,5,110,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,2,123,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,5,201,1,1,0,0,0,0,0,0,0,0,0
2008-03-01,3,100,1,1,0,0,0,0,0,0,0,0,0
2008-04-01,3,116,0,2,0,0,0,0,0,0,0,0,0
2008-05-01,2,103,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,1,97,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,3,108,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,95,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,2,101,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,5,205,1,2,0,0,0,0,0,0,0,0,0
2008-11-01,3,31,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,2,94,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,3,62,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,2,11,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,2,48,0,1,0,0,0,0,0,0,0,0,0
2009-04-01,3,62,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,2,98,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,4,98,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,5,82,2,1,0,0,0,0,0,0,0,0,0
2009-08-01,3,32,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,3,43,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,4,73,1,1,0,0,0,0,0,0,0,0,0
2009-11-01,5,173,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,3,73,0,1,0,0,0,0,0,0,0,0,0
