dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
1970-01-01,1,1,1,1,1,0,0,0,0,0,0,0,0
1970-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
