dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-11-01,6,136,6,3,3,0,0,0,0,0,0,0,0
2009-12-01,4,71,1,2,0,0,0,0,0,0,0,0,0
2010-01-01,2,8,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,3,57,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,4,31,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,3,27,0,2,0,0,0,0,0,0,0,0,0
2010-05-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,1,43,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,31,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,3,22,1,3,1,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,3,103,1,3,1,0,0,0,0,0,0,0,0
2011-08-01,1,87,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,87,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,1,79,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,2,21,1,2,0,0,0,0,0,0,0,0,0
2011-12-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,1,134,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,2,81,1,2,0,0,0,0,0,0,0,0,0
2012-04-01,2,64,1,2,0,0,0,0,0,0,0,0,0
2012-05-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2012-06-01,2,23,0,2,0,0,0,0,0,0,0,0,0
2012-07-01,3,88,0,3,0,0,0,0,0,0,0,0,0
2012-08-01,2,22,0,2,0,0,0,0,0,0,0,0,0
2012-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,3,55,1,2,0,0,0,0,0,0,0,0,0
2012-11-01,3,63,0,2,0,0,0,0,0,0,0,0,0
2012-12-01,2,48,0,2,0,0,0,0,0,0,0,0,0
2013-01-01,3,104,1,2,0,0,0,0,0,0,0,0,0
2013-02-01,3,47,0,3,0,0,0,0,0,0,0,0,0
2013-03-01,2,104,0,2,0,0,0,0,0,0,0,0,0
2013-04-01,2,110,0,2,0,0,0,0,0,0,0,0,0
2013-05-01,2,31,0,2,0,0,0,0,0,0,0,0,0
2013-06-01,3,110,1,2,0,0,0,0,0,0,0,0,0
2013-07-01,3,96,0,2,0,0,0,0,0,0,0,0,0
2013-08-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2013-09-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,2,95,0,2,0,0,0,0,0,0,0,0,0
2013-12-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,2,25,0,2,0,0,0,0,0,0,0,0,0
2014-02-01,2,10,0,2,0,0,0,0,0,0,0,0,0
2014-03-01,2,44,0,2,0,0,0,0,0,0,0,0,0
2014-04-01,2,57,0,2,0,0,0,0,0,0,0,0,0
2014-05-01,2,13,0,2,0,0,0,0,0,0,0,0,0
2014-06-01,2,120,0,2,0,0,0,0,0,0,0,0,0
2014-07-01,2,195,0,2,0,0,0,0,0,0,0,0,0
2014-08-01,2,83,0,2,0,0,0,0,0,0,0,0,0
2014-09-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2015-01-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,2,19,0,2,0,0,0,0,0,0,0,0,0
2015-03-01,2,88,0,2,0,0,0,0,360,316,2977,14,4
