dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2007-08-01,1,19,1,1,1,0,0,0,0,0,0,0,0
2007-09-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,2,34,1,1,0,0,0,0,0,0,0,0,0
2008-05-01,2,20,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,2,53,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,2,37,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,2,28,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,2,16,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,2,9,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,2,27,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,3,23,1,1,0,0,0,0,0,0,0,0,0
2009-03-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2009-04-01,5,28,3,3,2,0,0,0,0,0,0,0,0
2009-05-01,3,11,0,2,0,0,0,0,0,0,0,0,0
2009-06-01,2,15,0,2,0,0,0,0,0,0,0,0,0
2009-07-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2009-08-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,2,17,1,2,1,0,0,0,0,0,0,0,0
2009-10-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,2,10,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-05-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,28,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2012-02-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2013-08-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2014-03-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2014-05-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2014-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2014-07-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2014-08-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2014-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,2,26,1,2,1,0,0,0,0,0,0,0,0
2015-01-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,2,4,1,2,1,0,0,0,0,0,0,1,0
2015-04-01,8,29,6,7,5,9,0,1,12,1,41,13,8
2015-05-01,16,137,13,12,8,72,31,31,137,74,991,451,53
2015-06-01,20,115,11,13,3,59,31,26,220,119,1347,794,80
2015-07-01,23,71,13,13,6,58,45,0,246,94,1198,183,73
2015-08-01,19,78,5,12,2,49,41,1,211,99,1118,91,32
2015-09-01,9,29,4,7,3,26,21,0,152,58,713,99,32
2015-10-01,8,43,2,5,1,22,37,2,95,84,548,111,34
2015-11-01,17,38,10,8,3,39,28,0,133,52,488,124,46
2015-12-01,9,18,4,5,1,21,17,0,95,43,563,101,36
2016-01-01,7,21,2,6,2,23,31,0,127,60,442,114,36
2016-02-01,13,33,5,7,0,29,13,0,128,32,523,100,29
2016-03-01,13,25,3,9,0,23,28,1,139,50,490,120,40
2016-04-01,9,10,6,5,1,16,0,0,112,9,279,92,46
2016-05-01,10,18,7,6,1,19,24,0,100,42,368,103,49
2016-06-01,13,28,9,9,4,23,13,0,118,90,598,91,42
2016-07-01,8,27,2,7,1,27,40,0,106,95,524,91,43
2016-08-01,8,25,4,7,2,21,24,1,100,80,473,97,33
2016-09-01,12,47,4,7,1,48,34,0,139,71,545,72,20
2016-10-01,14,45,6,8,1,41,54,3,135,110,932,111,29
2016-11-01,14,32,2,8,1,35,36,0,121,70,584,101,56
2016-12-01,8,11,2,6,1,38,20,0,105,44,398,111,37
2017-01-01,13,31,3,5,0,25,25,0,118,64,433,104,33
2017-02-01,16,51,7,8,2,37,63,0,117,126,664,100,39
2017-03-01,14,34,6,11,4,30,27,1,148,62,486,183,36
2017-04-01,8,17,2,4,0,19,13,1,104,30,399,119,27
2017-05-01,12,30,3,6,1,23,31,1,108,63,486,112,25
2017-06-01,14,30,7,9,3,36,23,0,127,44,431,126,37
2017-07-01,13,32,2,7,0,33,43,0,116,73,475,102,30
2017-08-01,10,34,1,4,0,29,34,1,108,95,615,114,34
2017-09-01,12,25,4,6,2,25,11,0,101,28,332,110,42
