dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2006-08-01,1,5,1,1,1,0,0,0,0,0,0,0,0
2006-09-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,81,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,54,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,1,54,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,1,73,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,79,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,110,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,180,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,95,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,147,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,64,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,58,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,73,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,57,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,144,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,2,106,1,2,1,0,0,0,0,0,0,0,0
2008-02-01,2,126,0,2,0,0,0,0,0,0,0,0,0
2008-03-01,2,120,0,2,0,0,0,0,0,0,0,0,0
2008-04-01,2,120,0,2,0,0,0,0,0,0,0,0,0
2008-05-01,3,142,1,3,1,0,0,0,0,0,0,0,0
2008-06-01,3,107,0,3,0,0,0,0,0,0,0,0,0
2008-07-01,3,157,0,3,0,0,0,0,0,0,0,0,0
2008-08-01,3,92,0,3,0,0,0,0,0,0,0,0,0
2008-09-01,3,93,0,3,0,0,0,0,0,0,0,0,0
2008-10-01,5,105,2,4,1,0,0,0,0,0,0,0,0
2008-11-01,5,145,2,5,2,0,0,0,0,0,0,0,0
2008-12-01,7,122,3,7,3,0,0,0,0,0,0,0,0
2009-01-01,5,144,0,5,0,0,0,0,0,0,0,0,0
2009-02-01,5,210,0,5,0,0,0,0,0,0,0,0,0
2009-03-01,5,198,0,5,0,0,0,0,0,0,0,0,0
2009-04-01,5,114,0,5,0,0,0,0,0,0,0,0,0
2009-05-01,6,132,2,6,2,0,0,0,0,0,0,0,0
