dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
1995-05-01,2,20,2,2,2,0,0,0,0,0,0,0,0
1995-06-01,1,27,0,1,0,0,0,0,0,0,0,0,0
1995-07-01,1,131,0,1,0,0,0,0,0,0,0,0,0
1995-08-01,1,58,0,1,0,0,0,0,0,0,0,0,0
1995-09-01,2,65,1,2,1,0,0,0,0,0,0,0,0
1995-10-01,2,80,0,2,0,0,0,0,0,0,0,0,0
1995-11-01,3,132,1,2,0,0,0,0,0,0,0,0,0
1995-12-01,2,85,0,1,0,0,0,0,0,0,0,0,0
1996-01-01,1,32,0,1,0,0,0,0,0,0,0,0,0
1996-02-01,1,63,0,1,0,0,0,0,0,0,0,0,0
1996-03-01,2,37,0,2,0,0,0,0,0,0,0,0,0
1996-04-01,3,81,1,2,1,0,0,0,0,0,0,0,0
1996-05-01,5,93,1,3,0,0,0,0,0,0,0,0,0
1996-06-01,5,62,1,3,0,0,0,0,0,0,0,0,0
1996-07-01,3,33,0,2,0,0,0,0,0,0,0,0,0
1996-08-01,3,6,1,3,1,0,0,0,0,0,0,0,0
1996-09-01,3,98,0,3,0,0,0,0,0,0,0,0,0
1996-10-01,3,105,0,3,0,0,0,0,0,0,0,0,0
1996-11-01,5,79,0,4,0,0,0,0,0,0,0,0,0
1996-12-01,2,19,0,2,0,0,0,0,0,0,0,0,0
1997-01-01,2,20,0,2,0,0,0,0,0,0,0,0,0
1997-02-01,5,61,0,3,0,0,0,0,0,0,0,0,0
1997-03-01,6,182,0,3,0,0,0,0,0,0,0,0,0
1997-04-01,4,36,0,4,0,0,0,0,0,0,0,0,0
1997-05-01,4,63,0,3,0,0,0,0,0,0,0,0,0
1997-06-01,4,59,0,3,0,0,0,0,0,0,0,0,0
1997-07-01,4,54,0,3,0,0,0,0,0,0,0,0,0
1997-08-01,1,8,0,1,0,0,0,0,0,0,0,0,0
1997-09-01,5,21,0,4,0,0,0,0,0,0,0,0,0
1997-10-01,4,38,0,3,0,0,0,0,0,0,0,0,0
1997-11-01,5,76,0,3,0,0,0,0,0,0,0,0,0
1997-12-01,4,47,0,3,0,0,0,0,0,0,0,0,0
1998-01-01,3,7,0,2,0,0,0,0,0,0,0,0,0
1998-02-01,3,15,0,2,0,0,0,0,0,0,0,0,0
1998-03-01,3,6,0,3,0,0,0,0,0,0,0,0,0
1998-04-01,3,58,0,2,0,0,0,0,0,0,0,0,0
1998-05-01,3,24,0,2,0,0,0,0,0,0,0,0,0
1998-06-01,5,34,1,4,1,0,0,0,0,0,0,0,0
1998-07-01,3,20,0,3,0,0,0,0,0,0,0,0,0
1998-08-01,4,80,0,3,0,0,0,0,0,0,0,0,0
1998-09-01,2,15,0,2,0,0,0,0,0,0,0,0,0
1998-10-01,3,38,0,3,0,0,0,0,0,0,0,0,0
1998-11-01,6,76,0,3,0,0,0,0,0,0,0,0,0
1998-12-01,6,43,1,3,0,0,0,0,0,0,0,0,0
1999-01-01,2,17,0,1,0,0,0,0,0,0,0,0,0
1999-02-01,8,57,2,5,0,0,0,0,0,0,0,0,0
1999-03-01,3,41,0,2,0,0,0,0,0,0,0,0,0
1999-04-01,2,3,0,2,0,0,0,0,0,0,0,0,0
1999-05-01,1,18,0,1,0,0,0,0,0,0,0,0,0
1999-06-01,2,4,0,2,0,0,0,0,0,0,0,0,0
1999-07-01,2,7,0,2,0,0,0,0,0,0,0,0,0
1999-08-01,3,12,0,2,0,0,0,0,0,0,0,0,0
1999-09-01,3,16,0,3,0,0,0,0,0,0,0,0,0
1999-10-01,4,43,1,2,0,0,0,0,0,0,0,0,0
1999-11-01,5,139,0,3,0,0,0,0,0,0,0,0,0
1999-12-01,5,85,0,2,0,0,0,0,0,0,0,0,0
2000-01-01,4,46,0,2,0,0,0,0,0,0,0,0,0
2000-02-01,4,132,0,2,0,0,0,0,0,0,0,0,0
2000-03-01,5,121,0,3,0,0,0,0,0,0,0,0,0
2000-04-01,4,144,0,2,0,0,0,0,0,0,0,0,0
2000-05-01,5,40,0,2,0,0,0,0,0,0,0,0,0
2000-06-01,4,43,0,3,0,0,0,0,0,0,0,0,0
2000-07-01,3,43,0,2,0,0,0,0,0,0,0,0,0
2000-08-01,4,26,0,2,0,0,0,0,0,0,0,0,0
2000-09-01,3,15,0,2,0,0,0,0,0,0,0,0,0
2000-10-01,4,15,0,2,0,0,0,0,0,0,0,0,0
2000-11-01,4,25,0,2,0,0,0,0,0,0,0,0,0
2000-12-01,4,10,0,2,0,0,0,0,0,0,0,0,0
2001-01-01,4,15,0,2,0,0,0,0,0,0,0,0,0
2001-02-01,6,77,0,3,0,0,0,0,0,0,0,0,0
2001-03-01,7,37,0,3,0,0,0,0,0,0,0,0,0
2001-04-01,3,15,0,2,0,0,0,0,0,0,0,0,0
2001-05-01,5,9,0,3,0,0,0,0,0,0,0,0,0
2001-06-01,7,42,0,3,0,0,0,0,0,0,0,0,0
2001-07-01,3,54,0,2,0,0,0,0,0,0,0,0,0
2001-08-01,5,56,0,2,0,0,0,0,0,0,0,0,0
2001-09-01,4,129,0,2,0,0,0,0,0,0,0,0,0
2001-10-01,8,147,1,3,0,0,0,0,0,0,0,0,0
2001-11-01,8,81,0,3,0,0,0,0,0,0,0,0,0
2001-12-01,8,134,0,2,0,0,0,0,0,0,0,0,0
2002-01-01,7,108,0,2,0,0,0,0,0,0,0,0,0
2002-02-01,6,92,0,3,0,0,0,0,0,0,0,0,0
2002-03-01,6,81,0,3,0,0,0,0,0,0,0,0,0
2002-04-01,6,136,0,3,0,0,0,0,0,0,0,0,0
2002-05-01,8,100,1,3,0,0,0,0,0,0,0,0,0
2002-06-01,7,112,0,3,0,0,0,0,0,0,0,0,0
2002-07-01,7,103,1,4,1,0,0,0,0,0,0,0,0
2002-08-01,5,49,0,2,0,0,0,0,0,0,0,0,0
2002-09-01,7,40,0,3,0,0,0,0,0,0,0,0,0
2002-10-01,7,75,0,2,0,0,0,0,0,0,0,0,0
2002-11-01,8,80,0,2,0,0,0,0,0,0,0,0,0
2002-12-01,8,51,0,3,0,0,0,0,0,0,0,0,0
2003-01-01,4,29,0,2,0,0,0,0,0,0,0,0,0
2003-02-01,6,23,0,2,0,0,0,0,0,0,0,0,0
2003-03-01,7,73,0,4,0,0,0,0,0,0,0,0,0
2003-04-01,5,50,0,2,0,0,0,0,0,0,0,0,0
2003-05-01,7,59,0,3,0,0,0,0,0,0,0,0,0
2003-06-01,4,52,0,2,0,0,0,0,0,0,0,0,0
2003-07-01,9,129,0,4,0,0,0,0,0,0,0,0,0
2003-08-01,7,60,0,4,0,0,0,0,0,0,0,0,0
2003-09-01,8,44,0,3,0,0,0,0,0,0,0,0,0
2003-10-01,9,38,1,3,0,0,0,0,0,0,0,0,0
2003-11-01,7,53,0,3,0,0,0,0,0,0,0,0,0
2003-12-01,6,38,0,2,0,0,0,0,0,0,0,0,0
2004-01-01,7,43,0,3,0,0,0,0,0,0,0,0,0
2004-02-01,6,32,0,2,0,0,0,0,0,0,0,0,0
2004-03-01,5,27,0,2,0,0,0,0,0,0,0,0,0
2004-04-01,8,91,0,2,0,0,0,0,0,0,0,0,0
2004-05-01,7,62,0,3,0,0,0,0,0,0,0,0,0
2004-06-01,7,65,0,3,0,0,0,0,0,0,0,0,0
2004-07-01,5,22,0,3,0,0,0,0,0,0,0,0,0
2004-08-01,5,29,0,3,0,0,0,0,0,0,0,0,0
2004-09-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2004-10-01,3,20,0,2,0,0,0,0,0,0,0,0,0
2004-11-01,7,53,0,3,0,0,0,0,0,0,0,0,0
2004-12-01,4,13,0,2,0,0,0,0,0,0,0,0,0
2005-01-01,3,13,0,3,0,0,0,0,0,0,0,0,0
2005-02-01,5,14,0,3,0,0,0,0,0,0,0,0,0
2005-03-01,4,18,0,2,0,0,0,0,0,0,0,0,0
2005-04-01,4,11,0,3,0,0,0,0,0,0,0,0,0
2005-05-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2005-06-01,4,21,0,3,0,0,0,0,0,0,0,0,0
2005-07-01,4,39,0,2,0,0,0,0,0,0,0,0,0
2005-08-01,3,17,0,2,0,0,0,0,0,0,0,0,0
2005-09-01,5,31,0,2,0,0,0,0,0,0,0,0,0
2005-10-01,5,51,0,3,0,0,0,0,0,0,0,0,0
2005-11-01,4,7,0,2,0,0,0,0,0,0,0,0,0
2005-12-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,5,25,1,4,1,0,0,0,0,0,0,0,0
2006-02-01,3,6,0,2,0,0,0,0,0,0,0,0,0
2006-03-01,3,6,0,2,0,0,0,0,0,0,0,0,0
2006-04-01,4,12,0,2,0,0,0,0,0,0,0,0,0
2006-05-01,3,29,0,2,0,0,0,0,0,0,0,0,0
2006-06-01,3,24,0,3,0,0,0,0,0,0,0,0,0
2006-07-01,3,78,0,2,0,0,0,0,0,0,0,0,0
2006-08-01,4,12,0,3,0,0,0,0,0,0,0,0,0
2006-09-01,6,57,0,3,0,0,0,0,0,0,0,0,0
2006-10-01,4,46,0,3,0,0,0,0,0,0,0,0,0
2006-11-01,4,32,0,3,0,0,0,0,0,0,0,0,0
2006-12-01,5,11,0,3,0,0,0,0,0,0,0,0,0
2007-01-01,6,19,0,2,0,0,0,0,0,0,0,0,0
2007-02-01,8,86,1,4,1,0,0,0,0,0,0,0,0
2007-03-01,5,21,0,3,0,0,0,0,0,0,0,0,0
2007-04-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2007-05-01,3,10,0,2,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,4,21,0,2,0,0,0,0,0,0,0,0,0
2007-11-01,6,184,0,4,0,0,0,0,0,0,0,0,0
2007-12-01,2,21,0,2,0,0,0,0,0,0,0,0,0
2008-01-01,4,22,0,3,0,0,0,0,0,0,0,0,0
2008-02-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,3,13,0,2,0,0,0,0,0,0,0,0,0
2008-04-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,3,4,0,3,0,0,0,0,0,0,0,0,0
2008-07-01,8,64,0,5,0,0,0,0,0,0,0,0,0
2008-08-01,6,31,0,5,0,0,0,0,0,0,0,0,0
2008-09-01,6,55,0,4,0,0,0,0,0,0,0,0,0
2008-10-01,6,56,0,3,0,0,0,0,0,0,0,0,0
2008-11-01,4,8,0,3,0,0,0,0,0,0,0,0,0
2008-12-01,3,6,0,3,0,0,0,0,0,0,0,0,0
2009-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,6,26,0,3,0,0,0,0,0,0,0,0,0
2009-04-01,3,9,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,4,6,0,3,0,0,0,0,0,0,0,0,0
2009-06-01,2,2,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,3,9,0,2,0,0,0,0,0,0,0,0,0
2009-08-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,2,14,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,4,8,0,3,0,0,0,0,0,0,0,0,0
2009-11-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2009-12-01,4,26,0,2,0,0,0,0,0,0,0,0,0
2010-01-01,5,62,1,3,0,0,0,0,0,0,0,0,0
2010-02-01,3,15,0,3,0,0,0,0,0,0,0,0,0
2010-03-01,6,19,0,3,0,0,0,0,0,0,0,0,0
2010-04-01,12,100,1,6,1,0,0,0,0,0,0,0,0
2010-05-01,8,132,0,4,0,0,0,0,0,0,0,0,0
2010-06-01,7,16,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,3,3,0,3,0,0,0,0,0,0,0,0,0
2010-08-01,3,6,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,2,18,1,2,0,0,0,0,0,0,0,0,0
2010-10-01,4,49,1,3,1,0,0,0,0,0,0,0,0
2010-11-01,4,61,0,4,0,0,0,0,0,0,0,0,0
2010-12-01,3,19,0,3,0,0,0,0,0,0,0,0,0
2011-01-01,4,10,0,3,0,0,0,0,0,0,0,0,0
2011-02-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2011-03-01,4,28,0,2,0,0,0,0,0,0,0,0,0
2011-04-01,2,5,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2011-06-01,6,24,0,2,0,0,0,0,0,0,0,0,0
2011-07-01,4,36,0,2,0,0,0,0,0,0,0,0,0
2011-08-01,3,9,0,2,0,0,0,0,0,0,0,0,0
2011-09-01,4,18,0,2,0,0,0,0,0,0,0,0,0
2011-10-01,3,19,0,2,0,0,0,0,0,0,0,0,0
2011-11-01,2,7,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,7,103,3,6,2,0,0,0,0,0,0,0,0
2012-01-01,8,102,0,5,0,0,0,0,0,0,0,0,0
2012-02-01,8,77,1,5,1,0,0,0,0,0,0,0,0
2012-03-01,9,58,0,5,0,0,0,0,0,0,0,0,0
2012-04-01,10,60,0,6,0,0,0,0,0,0,0,0,0
2012-05-01,12,60,1,7,0,0,0,0,0,0,0,0,0
2012-06-01,7,54,0,5,0,0,0,0,0,0,0,0,0
2012-07-01,12,76,0,6,0,0,0,0,0,0,0,0,0
2012-08-01,7,60,0,3,0,0,0,0,0,0,0,0,0
2012-09-01,9,47,0,4,0,0,0,0,0,0,0,0,0
2012-10-01,8,54,1,5,0,0,0,0,0,0,0,0,0
2012-11-01,9,43,0,5,0,0,0,0,0,0,0,0,0
2012-12-01,6,65,0,4,0,0,0,0,0,0,0,0,0
2013-01-01,8,86,0,5,0,0,0,0,0,0,0,0,0
2013-02-01,8,42,0,4,0,0,0,0,0,0,0,0,0
2013-03-01,7,130,0,5,0,0,0,0,0,0,0,0,0
2013-04-01,8,148,0,4,0,0,0,0,0,0,0,0,0
2013-05-01,10,78,0,6,0,0,0,0,0,0,0,0,0
2013-06-01,10,101,0,5,0,0,0,0,0,0,0,0,0
2013-07-01,10,60,0,5,0,0,0,0,0,0,0,0,0
2013-08-01,8,49,0,4,0,0,0,0,0,0,0,0,0
2013-09-01,8,125,0,4,0,0,0,0,0,0,0,0,0
2013-10-01,3,46,0,3,0,0,0,0,0,0,0,0,0
2013-11-01,9,60,1,7,1,0,0,0,0,0,0,0,0
2013-12-01,7,28,0,5,0,0,0,0,0,0,0,0,0
2014-01-01,6,28,0,5,0,0,0,0,0,0,0,0,0
2014-02-01,7,14,1,6,1,0,0,0,0,0,0,0,0
2014-03-01,9,80,0,7,0,0,0,0,0,0,0,0,0
2014-04-01,14,169,4,9,2,0,0,0,0,0,0,0,0
2014-05-01,12,236,1,7,0,0,0,0,0,0,0,0,0
2014-06-01,8,59,1,6,1,0,0,0,0,0,0,0,0
2014-07-01,8,48,0,7,0,0,0,0,0,0,0,0,0
2014-08-01,8,143,0,6,0,0,0,0,0,0,0,0,0
2014-09-01,9,241,1,8,1,0,0,0,0,0,0,0,0
2014-10-01,7,158,1,5,0,0,0,0,0,0,0,0,0
2014-11-01,6,50,0,4,0,0,0,0,0,0,0,0,0
2014-12-01,4,138,0,3,0,0,0,0,0,0,0,0,0
2015-01-01,7,46,1,6,1,0,0,0,0,0,0,0,0
2015-02-01,7,65,2,5,0,0,0,0,0,0,0,0,0
2015-03-01,9,119,2,7,0,0,0,0,0,0,0,0,0
2015-04-01,14,115,5,8,1,1,0,1,2,2,4,6,1
2015-05-01,12,94,2,8,0,2,0,0,5,1,16,14,2
2015-06-01,13,101,2,11,1,4,0,5,6,8,16,1,0
2015-07-01,10,135,1,8,1,3,1,2,8,6,25,1,0
2015-08-01,11,132,3,8,1,3,0,3,5,5,8,2,0
2015-09-01,11,65,1,8,1,0,0,0,3,1,7,2,0
2015-10-01,19,165,3,12,2,3,0,1,3,1,32,1,1
2015-11-01,32,233,13,18,7,0,0,0,0,0,0,1,0
2015-12-01,35,363,9,18,3,0,1,0,2,1,8,0,0
2016-01-01,28,311,3,18,2,0,0,1,0,1,4,1,0
2016-02-01,25,192,5,17,4,0,0,0,0,0,0,2,0
2016-03-01,24,215,3,16,1,0,0,0,0,0,0,2,0
2016-04-01,30,168,7,17,2,2,0,0,12,1,79,2,0
2016-05-01,26,105,6,16,3,3,2,0,5,2,8,6,1
2016-06-01,26,133,4,17,2,2,1,4,4,5,17,10,0
2016-07-01,30,229,7,22,6,0,0,0,1,0,4,4,1
2016-08-01,26,185,4,15,2,1,0,0,6,2,26,8,1
2016-09-01,24,138,2,13,0,1,0,1,3,1,30,4,0
2016-10-01,27,143,7,15,4,0,0,0,1,0,4,4,2
2016-11-01,37,201,11,23,5,4,0,5,11,13,61,2,0
2016-12-01,32,212,5,21,3,4,0,4,6,8,30,10,0
2017-01-01,25,170,1,13,0,3,0,4,25,7,193,14,0
2017-02-01,32,226,7,16,1,0,0,0,0,0,0,6,0
2017-03-01,27,305,2,17,1,4,0,3,7,5,22,14,1
2017-04-01,20,88,4,10,2,2,1,1,6,7,31,13,0
2017-05-01,27,131,0,17,0,7,0,5,14,12,77,7,2
2017-06-01,17,94,2,9,0,0,0,1,1,3,9,4,1
2017-07-01,30,141,6,15,2,5,0,3,8,6,38,15,1
2017-08-01,27,221,4,15,1,16,1,15,18,26,79,11,0
2017-09-01,29,236,6,15,2,0,0,0,0,0,0,6,1
2017-10-01,26,221,4,14,3,0,0,0,0,0,0,10,0
2017-11-01,19,81,2,12,2,1,0,0,1,0,2,6,1
