dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2008-05-01,2,44,2,2,2,0,0,0,0,0,0,0,0
2008-06-01,3,53,1,3,1,0,0,0,0,0,0,0,0
2008-07-01,3,33,1,3,1,0,0,0,0,0,0,0,0
2008-08-01,5,77,1,5,1,0,0,0,0,0,0,0,0
2008-09-01,6,61,1,6,1,0,0,0,0,0,0,0,0
2008-10-01,4,68,1,4,0,0,0,0,0,0,0,0,0
2008-11-01,6,59,1,5,0,0,0,0,0,0,0,0,0
2008-12-01,5,42,0,4,0,0,0,0,0,0,0,0,0
2009-01-01,3,69,0,3,0,0,0,0,0,0,0,0,0
2009-02-01,5,34,1,5,1,0,0,0,0,0,0,0,0
2009-03-01,6,125,0,5,0,0,0,0,0,0,0,0,0
2009-04-01,5,94,0,5,0,0,0,0,0,0,0,0,0
2009-05-01,4,85,0,4,0,0,0,0,0,0,0,0,0
2009-06-01,3,80,0,3,0,0,0,0,0,0,0,0,0
2009-07-01,5,96,1,5,1,0,0,0,0,0,0,0,0
2009-08-01,5,92,0,5,0,0,0,0,0,0,0,0,0
2009-09-01,5,54,0,5,0,0,0,0,0,0,0,0,0
2009-10-01,6,99,1,6,1,0,0,0,0,0,0,0,0
2009-11-01,8,122,1,7,0,0,0,0,0,0,0,0,0
2009-12-01,8,161,0,8,0,0,0,0,0,0,0,0,0
2010-01-01,7,138,0,7,0,0,0,0,0,0,0,0,0
2010-02-01,6,168,0,6,0,0,0,0,0,0,0,0,0
2010-03-01,7,134,2,7,1,0,0,0,0,0,0,0,0
2010-04-01,7,150,2,7,2,0,0,0,0,0,0,0,0
2010-05-01,9,51,3,8,2,0,0,0,0,0,0,0,0
2010-06-01,7,48,0,6,0,0,0,0,0,0,0,0,0
2010-07-01,5,36,0,5,0,0,0,0,0,0,0,0,0
2010-08-01,10,56,3,9,2,0,0,0,0,0,0,0,0
2010-09-01,6,84,0,6,0,0,0,0,0,0,0,0,0
2010-10-01,7,105,1,7,0,0,0,0,0,0,0,0,0
2010-11-01,7,64,0,7,0,0,0,0,0,0,0,0,0
2010-12-01,4,21,0,4,0,0,0,0,0,0,0,0,0
2011-01-01,7,47,1,7,1,0,0,0,0,0,0,0,0
2011-02-01,6,25,1,6,0,0,0,0,0,0,0,0,0
2011-03-01,5,54,0,5,0,0,0,0,0,0,0,0,0
2011-04-01,9,54,2,9,1,0,0,0,0,0,0,0,0
2011-05-01,8,89,3,7,1,0,0,0,0,0,0,0,0
2011-06-01,8,50,1,6,1,0,0,0,0,0,0,0,0
2011-07-01,10,91,3,9,3,0,0,0,0,0,0,0,0
2011-08-01,7,95,1,6,1,0,0,0,0,0,0,0,0
2011-09-01,4,35,0,4,0,0,0,0,0,0,0,0,0
2011-10-01,8,91,1,8,1,0,0,0,0,0,0,0,0
2011-11-01,6,40,1,6,1,0,0,0,0,0,0,0,0
2011-12-01,9,28,1,9,1,0,0,0,0,0,0,0,0
2012-01-01,8,79,2,8,1,0,0,0,0,0,0,0,0
2012-02-01,4,45,1,4,1,0,0,0,0,0,0,0,0
2012-03-01,11,67,2,9,0,0,0,0,0,0,0,0,0
2012-04-01,3,25,0,3,0,0,0,0,0,0,0,0,0
2012-05-01,5,39,0,4,0,0,0,0,0,0,0,0,0
2012-06-01,4,46,1,4,1,0,0,0,0,0,0,0,0
2012-07-01,5,91,0,5,0,0,0,0,0,0,0,0,0
2012-08-01,11,130,2,11,2,0,0,0,0,0,0,0,0
2012-09-01,12,77,4,9,1,0,0,0,0,0,0,0,0
2012-10-01,10,84,2,9,1,0,0,0,0,0,0,0,0
2012-11-01,10,89,1,9,1,0,0,0,0,0,0,0,0
2012-12-01,10,81,3,9,3,0,0,0,0,0,0,0,0
2013-01-01,15,111,6,11,4,0,0,0,0,0,0,0,0
2013-02-01,13,172,4,10,3,0,0,0,0,0,0,0,0
