dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-01-01,1,8,1,1,1,0,0,0,0,0,0,0,0
2010-02-01,2,48,1,2,1,0,0,0,0,0,0,0,0
2010-03-01,3,34,1,3,1,0,0,0,0,0,0,0,0
2010-04-01,4,62,1,4,1,0,0,0,0,0,0,0,0
2010-05-01,3,22,1,3,0,0,0,0,0,0,0,0,0
2010-06-01,2,8,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,3,58,1,2,0,0,0,0,0,0,0,0,0
2010-08-01,2,12,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,2,28,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,3,48,1,2,0,0,0,0,0,0,0,0,0
2011-01-01,4,44,1,2,0,0,0,0,0,0,0,0,0
2011-02-01,3,44,0,2,0,0,0,0,0,0,0,0,0
2011-03-01,3,32,0,2,0,0,0,0,0,0,0,0,0
2011-04-01,1,2,1,1,0,0,0,0,0,0,0,0,0
2011-05-01,2,16,0,2,0,0,0,0,0,0,0,0,0
2011-06-01,4,18,1,2,0,0,0,0,0,0,0,0,0
2011-07-01,3,42,1,2,0,0,0,0,0,0,0,0,0
2011-08-01,3,40,0,2,0,0,0,0,0,0,0,0,0
2011-09-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,4,64,0,1,0,0,0,0,0,0,0,0,0
2011-11-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,2,12,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,3,24,0,2,0,0,0,0,0,0,0,0,0
2012-02-01,6,150,0,2,0,0,0,0,0,0,0,0,0
2012-03-01,3,66,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,1,8,1,1,1,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,3,26,0,2,0,0,0,0,0,0,0,0,0
2012-10-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,3,32,0,2,0,0,0,0,0,0,0,0,0
2012-12-01,3,58,0,2,0,0,0,0,0,0,0,0,0
2013-01-01,3,66,0,2,0,0,0,0,0,0,0,0,0
2013-02-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2013-03-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2013-04-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,2,34,1,2,1,0,0,0,0,0,0,0,0
2014-03-01,2,32,0,2,0,0,0,0,0,0,0,0,0
2014-04-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2014-05-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,2,60,1,2,0,0,0,0,0,0,0,0,0
2014-08-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2014-09-01,2,34,0,2,0,0,0,0,0,0,0,0,0
2014-10-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2014-11-01,3,34,0,2,0,0,0,0,0,0,0,0,0
2014-12-01,3,44,0,2,0,0,0,0,0,0,0,0,0
2015-01-01,2,62,0,2,0,0,0,0,0,0,0,0,0
2015-02-01,3,44,0,3,0,0,0,0,0,0,0,0,0
2015-03-01,6,74,3,5,2,9,2,4,496,421,3612,18,5
2015-04-01,9,96,6,7,3,23,10,4,40,24,172,16,11
2015-05-01,12,300,6,9,4,25,13,19,49,59,335,10,9
2015-06-01,6,124,2,6,2,10,1,8,30,23,145,9,6
2015-07-01,9,78,4,7,2,9,1,7,24,31,167,11,6
2015-08-01,8,100,5,8,3,10,1,6,16,11,118,15,6
2015-09-01,4,54,2,4,2,3,1,5,7,13,59,12,4
2015-10-01,7,82,6,6,4,7,3,5,21,21,106,7,14
2015-11-01,7,80,2,5,1,8,1,7,20,20,171,16,8
2015-12-01,11,94,8,7,3,11,0,7,19,15,96,14,8
2016-01-01,13,110,8,13,8,21,6,10,36,21,181,15,19
2016-02-01,8,200,5,8,3,16,6,17,27,38,202,17,9
2016-03-01,9,44,7,7,5,14,0,0,26,4,124,14,16
2016-04-01,15,192,10,11,7,34,12,30,65,63,309,7,12
2016-05-01,5,48,2,4,1,11,3,6,23,18,172,16,7
2016-06-01,9,118,5,7,2,10,7,11,20,38,161,17,12
2016-07-01,9,62,4,7,3,16,2,7,33,18,173,10,8
2016-08-01,9,103,5,8,4,12,16,11,32,57,390,15,8
2016-09-01,4,35,2,3,1,4,0,2,12,10,145,18,4
2016-10-01,11,66,7,8,4,13,1,12,22,28,183,20,16
2016-11-01,13,56,7,9,1,14,1,11,33,26,174,21,14
2016-12-01,7,26,3,6,1,7,1,4,22,15,186,13,8
2017-01-01,16,85,11,11,5,22,0,21,39,35,254,19,13
2017-02-01,20,66,12,14,9,25,5,19,40,40,205,14,14
2017-03-01,13,62,7,9,3,21,5,16,40,37,190,13,11
2017-04-01,10,40,5,6,2,7,2,5,19,19,149,15,9
2017-05-01,9,74,4,7,3,11,8,6,21,35,205,21,18
