dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-11-01,4,15,4,3,3,0,0,0,0,0,0,0,0
2003-12-01,3,43,1,3,0,0,0,0,0,0,0,0,0
2004-01-01,3,70,1,2,0,0,0,0,0,0,0,0,0
2004-02-01,4,28,1,2,0,0,0,0,0,0,0,0,0
2004-03-01,3,49,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,2,18,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,7,64,3,2,0,0,0,0,0,0,0,0,0
2004-07-01,7,168,0,2,0,0,0,0,0,0,0,0,0
2004-08-01,7,268,0,2,0,0,0,0,0,0,0,0,0
2004-09-01,8,273,2,2,0,0,0,0,0,0,0,0,0
2004-10-01,8,209,1,2,0,0,0,0,0,0,0,0,0
2004-11-01,7,130,2,3,0,0,0,0,0,0,0,0,0
2004-12-01,5,177,2,2,0,0,0,0,0,0,0,0,0
2005-01-01,7,123,1,2,0,0,0,0,0,0,0,0,0
2005-02-01,7,144,0,2,0,0,0,0,0,0,0,0,0
2005-03-01,5,132,0,2,0,0,0,0,0,0,0,0,0
2005-04-01,5,113,0,2,0,0,0,0,0,0,0,0,0
2005-05-01,8,239,3,2,0,0,0,0,0,0,0,0,0
2005-06-01,10,367,2,2,0,0,0,0,0,0,0,0,0
2005-07-01,8,439,0,2,0,0,0,0,0,0,0,0,0
2005-08-01,9,176,0,3,0,0,0,0,0,0,0,0,0
2005-09-01,8,122,1,3,1,0,0,0,0,0,0,0,0
2005-10-01,8,125,0,3,0,0,0,0,0,0,0,0,0
2005-11-01,6,81,0,3,0,0,0,0,0,0,0,0,0
2005-12-01,7,136,0,3,0,0,0,0,0,0,0,0,0
2006-01-01,8,193,1,3,0,0,0,0,0,0,0,0,0
2006-02-01,9,187,2,4,0,0,0,0,0,0,0,0,0
2006-03-01,7,115,2,3,0,0,0,0,0,0,0,0,0
2006-04-01,8,224,0,3,0,0,0,0,0,0,0,0,0
2006-05-01,7,123,0,3,0,0,0,0,0,0,0,0,0
2006-06-01,9,92,1,3,0,0,0,0,0,0,0,0,0
2006-07-01,10,109,1,2,0,0,0,0,0,0,0,0,0
2006-08-01,9,106,0,3,0,0,0,0,0,0,0,0,0
2006-09-01,9,88,1,2,0,0,0,0,0,0,0,0,0
2006-10-01,10,99,0,3,0,0,0,0,0,0,0,0,0
2006-11-01,11,92,3,3,0,0,0,0,0,0,0,0,0
2006-12-01,11,124,1,3,0,0,0,0,0,0,0,0,0
2007-01-01,12,143,1,3,0,0,0,0,0,0,0,0,0
2007-02-01,12,80,1,3,0,0,0,0,0,0,0,0,0
2007-03-01,10,93,1,3,0,0,0,0,0,0,0,0,0
2007-04-01,5,19,1,1,0,0,0,0,0,0,0,0,0
2007-05-01,5,54,0,3,0,0,0,0,0,0,0,0,0
2007-06-01,11,90,0,3,0,0,0,0,0,0,0,0,0
2007-07-01,10,111,0,3,0,0,0,0,0,0,0,0,0
2007-08-01,7,71,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,9,58,0,3,0,0,0,0,0,0,0,0,0
2007-10-01,8,45,0,3,0,0,0,0,0,0,0,0,0
2007-11-01,9,49,1,3,0,0,0,0,0,0,0,0,0
2007-12-01,10,59,0,3,0,0,0,0,0,0,0,0,0
2008-01-01,10,28,2,3,0,0,0,0,0,0,0,0,0
2008-02-01,3,35,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,10,66,2,2,0,0,0,0,0,0,0,0,0
2008-04-01,4,56,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,6,37,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,9,67,1,2,0,0,0,0,0,0,0,0,0
2008-07-01,4,7,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,7,33,0,2,0,0,0,0,0,0,0,0,0
2008-09-01,9,77,1,2,0,0,0,0,0,0,0,0,0
2008-10-01,7,34,0,2,0,0,0,0,0,0,0,0,0
2008-11-01,5,19,0,2,0,0,0,0,0,0,0,0,0
2008-12-01,8,26,0,2,0,0,0,0,0,0,0,0,0
2009-01-01,6,17,0,2,0,0,0,0,0,0,0,0,0
2009-02-01,4,14,0,2,0,0,0,0,0,0,0,0,0
2009-03-01,3,8,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,5,10,0,2,0,0,0,0,0,0,0,0,0
2009-05-01,3,10,1,1,0,0,0,0,0,0,0,0,0
2009-06-01,6,51,0,2,0,0,0,0,0,0,0,0,0
2009-07-01,6,74,1,2,0,0,0,0,0,0,0,0,0
2009-08-01,6,69,0,2,0,0,0,0,0,0,0,0,0
2009-09-01,5,21,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,4,17,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,2,36,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,5,77,1,3,1,0,0,0,0,0,0,0,0
2010-01-01,5,87,1,2,0,0,0,0,0,0,0,0,0
2010-02-01,4,27,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,5,64,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,4,31,1,1,0,0,0,0,0,0,0,0,0
2010-05-01,6,94,0,2,0,0,0,0,0,0,0,0,0
2010-06-01,6,52,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,6,33,0,2,0,0,0,0,0,0,0,0,0
2010-08-01,6,31,0,2,0,0,0,0,0,0,0,0,0
2010-09-01,6,40,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,6,46,1,3,1,0,0,0,0,0,0,0,0
2010-11-01,4,33,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,4,29,0,3,0,0,0,0,0,0,0,0,0
2011-01-01,5,30,0,3,0,0,0,0,0,0,0,0,0
2011-02-01,5,32,1,3,0,0,0,0,0,0,0,0,0
2011-03-01,4,28,1,3,0,0,0,0,0,0,0,0,0
2011-04-01,5,19,0,3,0,0,0,0,0,0,0,0,0
2011-05-01,3,33,0,3,0,0,0,0,0,0,0,0,0
2011-06-01,2,44,0,2,0,0,0,0,0,0,0,0,0
2011-07-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,4,15,1,3,0,0,0,0,0,0,0,0,0
2011-09-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2011-10-01,5,19,1,4,0,0,0,0,0,0,0,0,0
2011-11-01,5,23,2,3,0,0,0,0,0,0,0,0,0
2011-12-01,5,39,1,2,0,0,0,0,0,0,0,0,0
2012-01-01,6,15,1,3,1,0,0,0,0,0,0,0,0
2012-02-01,7,19,1,4,0,0,0,0,0,0,0,0,0
2012-03-01,8,28,1,5,0,0,0,0,0,0,0,0,0
2012-04-01,6,33,0,4,0,0,0,0,0,0,0,0,0
2012-05-01,5,17,1,3,0,0,0,0,0,0,0,0,0
2012-06-01,5,11,0,4,0,0,0,0,0,0,0,0,0
2012-07-01,4,43,0,3,0,0,0,0,0,0,0,0,0
2012-08-01,10,46,3,3,0,0,0,0,0,0,0,0,0
2012-09-01,13,59,4,4,0,0,0,0,0,0,0,0,0
2012-10-01,12,89,2,4,0,0,0,0,0,0,0,0,0
