dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2007-01-01,1,140,1,1,1,0,0,0,0,0,0,0,0
2007-02-01,1,354,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,45,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,1,67,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,1,164,0,1,0,0,0,0,0,0,0,0,0
2009-04-01,3,135,2,3,2,0,0,0,0,0,0,0,0
2009-05-01,2,73,1,2,1,0,0,0,0,0,0,0,0
2009-06-01,2,50,1,2,1,0,0,0,0,0,0,0,0
2009-07-01,1,56,0,1,0,0,0,0,0,0,0,0,0
2009-08-01,3,112,2,3,2,0,0,0,0,0,0,0,0
2009-09-01,5,60,1,5,1,0,0,0,0,0,0,0,0
2009-10-01,3,54,0,3,0,0,0,0,0,0,0,0,0
2009-11-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,3,59,1,3,1,0,0,0,0,0,0,0,0
2010-01-01,2,66,0,2,0,0,0,0,0,0,0,0,0
2010-02-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,4,48,1,4,1,0,0,0,0,0,0,0,0
2010-05-01,1,68,0,1,0,0,0,0,0,0,0,0,0
