dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2004-10-01,1,154,1,1,1,0,0,0,0,0,0,0,0
2004-11-01,1,200,0,1,0,0,0,0,0,0,0,0,0
2004-12-01,2,121,1,1,0,0,0,0,0,0,0,0,0
2005-01-01,2,104,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,2,76,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,2,173,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,2,271,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,2,66,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,2,107,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,2,167,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,5,231,3,2,1,0,0,0,0,0,0,0,0
2005-09-01,5,165,1,2,0,0,0,0,0,0,0,0,0
2005-10-01,4,183,0,2,0,0,0,0,0,0,0,0,0
2005-11-01,3,305,0,2,0,0,0,0,0,0,0,0,0
2005-12-01,6,271,1,2,0,0,0,0,0,0,0,0,0
2006-01-01,5,149,2,3,1,0,0,0,0,0,0,0,0
2006-02-01,5,124,0,2,0,0,0,0,0,0,0,0,0
2006-03-01,4,163,1,3,1,0,0,0,0,0,0,0,0
2006-04-01,5,128,0,2,0,0,0,0,0,0,0,0,0
2006-05-01,4,173,1,2,1,0,0,0,0,0,0,0,0
2006-06-01,6,139,0,3,0,0,0,0,0,0,0,0,0
2006-07-01,5,142,0,2,0,0,0,0,0,0,0,0,0
2006-08-01,6,77,1,3,0,0,0,0,0,0,0,0,0
2006-09-01,3,75,0,2,0,0,0,0,0,0,0,0,0
2006-10-01,6,55,1,2,0,0,0,0,0,0,0,0,0
2006-11-01,4,14,0,2,0,0,0,0,0,0,0,0,0
2006-12-01,3,15,0,2,0,0,0,0,0,0,0,0,0
2007-01-01,6,22,0,2,0,0,0,0,0,0,0,0,0
2007-02-01,3,4,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,4,49,0,2,0,0,0,0,0,0,0,0,0
2007-05-01,2,26,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,2,15,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,3,24,0,2,0,0,0,0,0,0,0,0,0
2007-09-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,2,17,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,3,14,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,5,10,1,3,1,0,0,0,0,0,0,0,0
2008-05-01,3,4,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,2,8,1,2,1,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,2,46,0,2,0,0,0,0,0,0,0,0,0
2008-10-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2009-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,3,34,1,3,0,0,0,0,0,0,0,0,0
2009-07-01,2,17,0,2,0,0,0,0,0,0,0,0,0
2009-08-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,2,21,1,2,0,0,0,0,0,0,0,0,0
2009-10-01,2,19,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2009-12-01,2,28,0,2,0,0,0,0,0,0,0,0,0
