dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-02-01,1,2,1,1,1,0,0,0,0,0,0,0,0
2012-03-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,4,12,3,4,3,0,0,0,0,0,0,0,2
2012-05-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2012-06-01,2,2,2,2,1,0,0,0,0,0,0,0,0
2012-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,2,18,1,2,0,0,0,0,0,0,0,0,2
2012-11-01,2,5,0,2,0,0,0,0,0,0,0,0,1
2012-12-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2013-01-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2013-02-01,2,4,0,2,0,0,0,0,0,0,0,0,3
2013-03-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,2,7,1,2,0,0,0,0,0,0,0,0,0
2013-05-01,2,11,0,2,0,0,0,0,0,0,0,0,1
2013-06-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,3,11,2,2,0,0,0,0,0,0,0,0,2
2013-08-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,4,17,3,3,1,0,0,0,0,0,0,0,3
2013-10-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,4,14,1,3,1,0,0,0,0,0,0,0,0
2013-12-01,3,13,1,2,0,0,0,0,0,0,0,0,1
2014-01-01,2,9,0,2,0,0,0,0,0,0,0,0,1
2014-02-01,4,11,3,3,1,0,0,0,0,0,0,0,2
2014-03-01,3,10,1,3,1,0,0,0,0,0,0,0,0
2014-04-01,5,14,3,4,2,0,0,0,0,0,0,0,1
2014-05-01,7,31,3,6,3,0,0,0,0,0,0,0,5
2014-06-01,4,15,1,3,1,0,0,0,0,0,0,0,3
2014-07-01,4,15,2,3,1,0,0,0,0,0,0,0,2
2014-08-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-09-01,2,10,0,2,0,0,0,0,0,0,0,0,0
2014-10-01,4,7,1,2,0,0,0,0,0,0,0,0,2
2014-11-01,4,11,2,3,2,0,0,0,0,0,0,0,2
2014-12-01,7,29,3,3,1,0,0,0,0,0,0,0,3
2015-01-01,11,21,7,8,5,0,0,0,0,0,0,0,5
2015-02-01,6,10,4,5,3,0,0,0,0,0,0,0,5
2015-03-01,5,14,2,2,0,0,0,0,0,0,0,0,3
2015-04-01,5,7,2,3,1,0,0,0,0,0,0,0,5
2015-05-01,5,14,2,2,1,0,0,0,0,0,0,0,2
2015-06-01,6,10,5,2,1,0,0,0,0,0,0,0,7
2015-07-01,5,9,4,3,2,0,0,0,0,0,0,0,3
2015-08-01,1,3,0,1,0,0,0,0,0,0,0,0,3
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-10-01,3,4,2,2,1,0,0,0,0,0,0,0,1
2015-11-01,3,3,2,2,1,0,0,0,0,0,0,0,1
2015-12-01,4,7,3,3,2,0,0,0,0,0,0,0,2
2016-01-01,4,10,0,2,0,0,0,0,0,0,0,0,1
2016-02-01,1,1,0,1,0,0,0,0,0,0,0,0,2
2016-03-01,7,75,6,4,2,0,0,0,0,0,0,0,2
2016-04-01,3,67,1,2,1,0,0,0,0,0,0,0,3
2016-05-01,2,20,1,2,1,0,0,0,0,0,0,0,5
2016-06-01,7,12,4,6,2,4,0,2,5,2,56,0,6
2016-07-01,6,30,2,4,1,12,2,12,22,18,285,0,8
2016-08-01,5,26,1,3,0,10,0,9,19,13,137,0,2
2016-09-01,6,26,2,5,1,9,0,8,24,16,213,13,2
2016-10-01,16,127,10,11,6,54,2,50,105,75,778,19,16
2016-11-01,21,224,14,13,8,90,7,83,130,142,1688,8,10
2016-12-01,11,112,3,7,0,42,3,40,68,65,742,16,6
2017-01-01,14,110,6,10,4,39,0,38,88,61,962,71,8
2017-02-01,15,145,5,11,3,51,4,48,84,76,1325,42,7
2017-03-01,14,71,5,12,2,31,1,27,58,45,726,46,7
2017-04-01,8,85,3,5,0,33,4,31,68,69,717,26,6
2017-05-01,10,70,4,7,2,33,5,31,54,58,576,29,3
2017-06-01,11,72,6,8,4,26,2,23,55,36,481,30,9
2017-07-01,12,130,5,7,2,51,2,47,91,87,1031,54,6
2017-08-01,15,118,8,8,4,33,2,34,67,59,750,31,6
2017-09-01,15,127,12,12,8,41,1,36,111,73,1057,40,16
2017-10-01,11,114,5,7,1,45,4,42,79,75,864,34,4
2017-11-01,8,38,2,5,0,16,0,16,38,33,319,29,2
2017-12-01,8,28,1,4,0,14,0,12,36,22,272,37,4
2018-01-01,12,46,5,9,2,22,2,22,41,41,551,34,4
2018-02-01,5,14,1,4,0,7,1,6,21,19,191,37,5
