dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-03-01,1,12,1,1,1,0,0,0,0,0,0,0,0
2003-04-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2003-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,25,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,1,18,1,1,1,0,0,0,0,0,0,0,0
2007-02-01,2,28,1,2,1,0,0,0,0,0,0,0,0
2007-03-01,1,65,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,51,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,51,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,2,7,1,2,1,0,0,0,0,0,0,0,0
2009-02-01,2,25,1,2,1,0,0,0,0,0,0,0,0
2009-03-01,2,31,0,2,0,0,0,0,0,0,0,0,0
2009-04-01,3,28,1,3,1,0,0,0,0,0,0,0,0
2009-05-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,2,14,1,2,1,0,0,0,0,0,0,0,0
2009-08-01,2,10,1,2,1,0,0,0,0,0,0,0,0
2009-09-01,2,15,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,2,33,0,2,0,0,0,0,0,0,0,0,0
2009-11-01,3,21,1,3,1,0,0,0,0,0,0,0,0
2009-12-01,3,25,1,3,1,0,0,0,0,0,0,0,0
2010-01-01,3,8,1,3,1,0,0,0,0,0,0,0,0
2010-02-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2010-03-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2010-04-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2010-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2010-07-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2010-08-01,3,10,1,3,0,0,0,0,0,0,0,0,0
2010-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,2,4,2,2,1,0,0,0,0,0,0,0,0
2010-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2011-02-01,2,34,0,2,0,0,0,0,0,0,0,0,0
2011-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2011-05-01,2,5,0,2,0,0,0,0,0,0,0,0,0
2011-06-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2011-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2011-10-01,2,3,1,2,1,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,2,4,1,2,1,0,0,0,0,0,0,0,0
2013-07-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2013-08-01,5,13,3,5,3,0,0,0,0,0,0,0,0
2013-09-01,3,8,1,3,1,0,0,0,0,0,0,0,0
2013-10-01,3,5,0,3,0,0,0,0,0,0,0,0,0
2013-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2013-12-01,5,6,3,4,2,0,0,0,0,0,0,0,0
2014-01-01,5,9,0,5,0,0,0,0,0,0,0,0,0
2014-02-01,5,15,1,5,1,0,0,0,0,0,0,0,0
2014-03-01,2,2,1,2,1,0,0,0,0,0,0,0,0
2014-04-01,2,2,1,2,0,0,0,0,0,0,0,0,0
2014-05-01,7,8,3,7,3,0,0,0,0,0,0,0,0
2014-06-01,4,8,2,4,1,0,0,0,0,0,0,0,0
2014-07-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2014-08-01,6,15,3,6,3,0,0,0,0,0,0,0,0
2014-09-01,5,6,0,5,0,0,0,0,0,0,0,0,0
2014-10-01,3,4,1,3,0,0,0,0,0,0,0,0,0
2014-11-01,3,4,2,3,1,0,0,0,0,0,0,0,0
2014-12-01,6,44,0,6,0,0,0,0,0,0,0,0,0
2015-01-01,3,14,1,3,1,0,0,0,0,0,0,0,0
2015-02-01,5,22,0,5,0,0,0,0,0,0,0,0,0
2015-03-01,6,14,1,6,1,0,0,0,0,0,0,0,0
2015-04-01,5,7,1,5,1,0,0,0,0,0,0,0,0
2015-05-01,4,7,1,4,1,0,0,0,0,0,0,0,0
2015-06-01,5,5,3,5,1,0,0,0,0,0,0,0,0
2015-07-01,3,5,2,3,1,0,0,0,0,0,0,0,0
2015-08-01,4,8,0,4,0,0,0,0,0,0,0,0,0
2015-09-01,4,7,1,4,0,0,0,0,0,0,0,0,0
2015-10-01,5,24,2,5,1,0,0,0,0,0,0,3,0
2015-11-01,2,3,0,2,0,0,0,0,0,0,0,0,0
2015-12-01,4,14,0,4,0,0,0,0,0,0,0,0,1
2016-01-01,8,132,3,7,2,35,1,31,40,36,149,212,18
2016-02-01,10,78,3,8,1,24,2,22,34,29,160,32,9
2016-03-01,9,47,4,8,2,21,2,20,41,36,176,52,19
2016-04-01,6,25,2,6,2,18,3,9,24,17,152,36,17
2016-05-01,11,36,7,6,1,30,13,16,45,41,151,57,19
2016-06-01,8,16,4,8,3,14,3,8,21,15,59,54,17
2016-07-01,11,29,7,7,2,29,7,18,39,30,152,36,12
2016-08-01,14,29,6,11,5,24,3,12,42,29,229,65,15
2016-09-01,8,17,2,7,0,6,1,10,10,17,46,51,9
2016-10-01,10,13,5,8,1,15,3,8,25,13,149,51,10
2016-11-01,10,29,1,9,1,21,8,14,42,40,207,57,15
2016-12-01,13,78,7,10,3,43,7,36,66,69,514,55,20
2017-01-01,19,122,9,12,3,55,6,46,66,68,526,64,16
2017-02-01,12,58,1,9,1,28,4,24,38,37,295,56,14
2017-03-01,17,75,5,11,0,38,12,28,56,54,442,80,20
2017-04-01,14,68,4,12,3,34,4,28,45,45,255,75,13
2017-05-01,8,46,3,8,1,19,3,11,31,19,304,80,16
2017-06-01,9,44,2,7,0,28,4,21,37,50,406,53,9
2017-07-01,13,36,3,8,2,16,2,15,41,32,235,62,15
2017-08-01,9,77,3,9,2,27,3,25,50,66,500,63,21
2017-09-01,10,120,3,9,3,39,6,41,61,70,495,83,15
2017-10-01,10,126,5,9,1,59,6,50,76,73,489,120,28
2017-11-01,10,42,4,9,3,24,2,17,39,31,226,160,25
2017-12-01,10,71,5,8,3,28,9,21,48,45,401,101,14
2018-01-01,12,170,4,10,1,64,7,60,95,100,575,146,26
2018-02-01,12,88,6,10,2,48,8,40,83,78,629,109,26
2018-03-01,13,101,4,13,3,66,15,47,108,105,1118,160,34
2018-04-01,13,104,6,12,4,45,11,50,78,86,610,127,23
2018-05-01,13,117,4,12,3,54,5,44,71,79,553,127,20
2018-06-01,7,70,3,7,2,32,3,31,52,47,340,105,21
2018-07-01,12,60,4,11,3,23,4,15,35,28,204,101,23
2018-08-01,10,55,6,10,4,22,4,18,36,31,258,111,22
2018-09-01,11,52,1,10,0,26,1,24,45,48,390,96,18
2018-10-01,14,79,9,11,4,23,1,30,51,54,377,129,24
2018-11-01,11,40,5,10,2,25,4,18,48,42,306,137,28
2018-12-01,11,54,7,10,4,28,4,24,44,41,285,124,24
2019-01-01,11,106,4,10,1,35,8,21,60,54,432,110,22
2019-02-01,13,104,4,9,2,39,3,41,54,66,534,132,24
2019-03-01,17,87,6,12,3,50,5,37,83,81,581,100,27
2019-04-01,12,54,7,8,1,24,3,21,45,37,364,121,25
2019-05-01,11,66,5,9,2,27,3,28,48,56,346,106,32
2019-06-01,9,82,2,7,0,40,9,35,58,80,563,155,25
2019-07-01,18,86,11,12,3,52,11,43,78,78,623,106,33
2019-08-01,10,31,3,7,0,23,1,12,44,30,239,105,29
2019-09-01,14,42,5,13,2,19,2,20,28,35,212,111,34
2019-10-01,20,76,12,14,3,46,5,40,57,59,270,125,25
2019-11-01,7,20,2,7,1,16,1,11,33,19,191,122,31
2019-12-01,14,42,7,12,3,31,11,22,44,45,282,115,31
2020-01-01,12,63,6,9,2,33,3,21,59,40,335,113,26
