dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
1998-12-01,1,3,1,1,1,0,0,0,0,0,0,0,0
1999-01-01,2,5,1,2,1,0,0,0,0,0,0,0,0
1999-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-03-01,1,7,0,1,0,0,0,0,0,0,0,0,0
1999-04-01,1,4,0,1,0,0,0,0,0,0,0,0,0
1999-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0
1999-06-01,1,4,0,1,0,0,0,0,0,0,0,0,0
1999-07-01,1,4,0,1,0,0,0,0,0,0,0,0,0
1999-08-01,1,18,0,1,0,0,0,0,0,0,0,0,0
1999-09-01,1,37,0,1,0,0,0,0,0,0,0,0,0
1999-10-01,1,14,0,1,0,0,0,0,0,0,0,0,0
1999-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-12-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2000-01-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2000-02-01,2,34,0,2,0,0,0,0,0,0,0,0,0
2000-03-01,2,92,0,2,0,0,0,0,0,0,0,0,0
2000-04-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2000-05-01,2,90,1,2,1,0,0,0,0,0,0,0,0
2000-06-01,2,98,1,2,1,0,0,0,0,0,0,0,0
2000-07-01,3,22,1,3,1,0,0,0,0,0,0,0,0
2000-08-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2000-09-01,2,89,1,2,1,0,0,0,0,0,0,0,0
2000-10-01,2,20,0,2,0,0,0,0,0,0,0,0,0
2000-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-12-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2001-01-01,5,14,3,5,3,0,0,0,0,0,0,0,0
2001-02-01,6,12,1,6,1,0,0,0,0,0,0,0,0
2001-03-01,4,16,1,4,1,0,0,0,0,0,0,0,0
2001-04-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2001-05-01,3,3,0,3,0,0,0,0,0,0,0,0,0
