dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2008-06-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2008-07-01,1,43,1,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,2,176,1,1,0,0,0,0,0,0,0,0,0
2008-10-01,5,112,3,1,0,0,0,0,0,0,0,0,0
2008-11-01,3,58,1,1,0,0,0,0,0,0,0,0,0
2008-12-01,5,40,2,1,0,0,0,0,0,0,0,0,0
2009-01-01,8,172,3,1,0,0,0,0,0,0,0,0,0
2009-02-01,6,136,2,1,0,0,0,0,0,0,0,0,0
2009-03-01,9,340,2,1,0,0,0,0,0,0,0,0,0
2009-04-01,11,271,3,1,0,0,0,0,0,0,0,0,0
2009-05-01,12,223,1,1,0,0,0,0,0,0,0,0,0
2009-06-01,9,240,1,1,0,0,0,0,0,0,0,0,0
2009-07-01,10,205,2,1,0,0,0,0,0,0,0,0,0
2009-08-01,10,207,1,1,0,0,0,0,0,0,0,0,0
2009-09-01,9,199,1,1,0,0,0,0,0,0,0,0,0
2009-10-01,10,296,1,1,0,0,0,0,0,0,0,0,0
2009-11-01,7,243,1,1,0,0,0,0,0,0,0,0,0
2009-12-01,9,153,1,1,0,0,0,0,0,0,0,0,0
2010-01-01,7,45,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,10,90,2,1,0,0,0,0,0,0,0,0,0
2010-03-01,10,133,1,1,0,0,0,0,0,0,0,0,0
2010-04-01,8,71,2,1,0,0,0,0,0,0,0,0,0
2010-05-01,5,12,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,2,10,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,6,124,1,1,0,0,0,0,0,0,0,0,0
2010-09-01,11,219,2,1,0,0,0,0,0,0,0,0,0
2010-10-01,12,355,3,1,0,0,0,0,0,0,0,0,0
2010-11-01,14,475,1,1,0,0,0,0,0,0,0,0,0
2010-12-01,11,310,1,1,0,0,0,0,0,0,0,0,0
2011-01-01,17,436,6,1,0,0,0,0,0,0,0,0,0
2011-02-01,17,648,4,1,0,0,0,0,0,0,0,0,0
2011-03-01,15,399,2,1,0,0,0,0,0,0,0,0,0
2011-04-01,13,131,2,1,0,0,0,0,0,0,0,0,0
2011-05-01,7,114,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,10,312,3,1,0,0,0,0,0,0,0,0,0
2011-07-01,13,205,1,1,0,0,0,0,0,0,0,0,0
2011-08-01,13,191,2,1,0,0,0,0,0,0,0,0,0
2011-09-01,11,249,1,1,0,0,0,0,0,0,0,0,0
2011-10-01,12,332,1,1,0,0,0,0,0,0,0,0,0
2011-11-01,11,242,1,1,0,0,0,0,0,0,0,0,0
2011-12-01,9,141,1,1,0,0,0,0,0,0,0,0,0
2012-01-01,9,170,1,1,0,0,0,0,0,0,0,0,0
2012-02-01,6,32,0,1,0,0,0,0,0,0,0,0,0
2012-03-01,10,222,1,1,0,0,0,0,0,0,0,0,0
2012-04-01,10,551,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,10,382,0,1,0,0,0,0,0,0,0,0,0
2012-06-01,12,337,2,1,0,0,0,0,0,0,0,0,0
2012-07-01,9,584,0,1,0,0,0,0,0,0,0,0,0
2012-08-01,17,771,5,1,0,0,0,0,0,0,0,0,0
2012-09-01,19,291,3,1,0,0,0,0,0,0,0,0,0
2012-10-01,22,144,3,1,0,0,0,0,0,0,0,0,0
2012-11-01,17,240,1,1,0,0,0,0,0,0,0,0,0
2012-12-01,20,400,1,1,0,0,0,0,0,0,0,0,0
2013-01-01,20,205,2,1,0,0,0,0,0,0,0,0,0
2013-02-01,17,225,1,1,0,0,0,0,0,0,0,0,0
2013-03-01,20,366,2,1,0,0,0,0,0,0,0,0,0
2013-04-01,16,188,2,1,0,0,0,0,0,0,0,0,0
2013-05-01,13,229,2,1,0,0,0,0,0,0,0,0,0
2013-06-01,19,223,1,1,0,0,0,0,0,0,0,0,0
2013-07-01,16,221,1,1,0,0,0,0,0,0,0,0,0
2013-08-01,19,350,2,1,0,0,0,0,0,0,0,0,0
2013-09-01,18,334,3,1,0,0,0,0,0,0,0,0,0
2013-10-01,16,137,2,1,0,0,0,0,0,0,0,0,0
2013-11-01,7,59,1,1,0,0,0,0,0,0,0,0,0
2013-12-01,6,54,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,13,154,9,5,4,0,0,0,0,0,0,0,0
2014-02-01,10,175,4,6,3,0,0,0,0,0,0,0,0
2014-03-01,6,139,2,1,0,0,0,0,0,0,0,0,0
2014-04-01,11,487,4,3,2,0,0,0,0,0,0,0,0
2014-05-01,11,348,3,3,1,0,0,0,0,0,0,0,0
2014-06-01,12,584,3,2,0,0,0,0,0,0,0,0,0
2014-07-01,19,850,8,6,4,0,0,0,0,0,0,0,0
2014-08-01,21,728,6,7,3,0,0,0,0,0,0,0,0
2014-09-01,25,1042,6,7,2,0,0,0,0,0,0,0,0
2014-10-01,31,884,7,8,3,0,0,0,0,0,0,0,0
2014-11-01,23,441,3,4,1,0,0,0,0,0,0,0,0
2014-12-01,20,384,1,1,0,0,0,0,0,0,0,0,0
2015-01-01,23,492,6,7,4,0,0,0,0,0,0,0,0
2015-02-01,17,399,1,1,0,0,0,0,0,0,0,0,0
2015-03-01,16,282,2,3,0,0,0,0,0,0,0,2,0
2015-04-01,12,317,0,2,0,0,0,0,0,0,0,2,0
2015-05-01,12,347,1,2,1,0,0,0,0,0,0,0,0
2015-06-01,11,454,1,2,0,0,0,0,0,0,0,0,0
2015-07-01,12,138,0,2,0,0,0,0,0,0,0,0,0
2015-08-01,10,67,1,4,1,1,0,1,2619,2583,20416,12,2
2015-09-01,13,104,2,6,2,1,0,1,13,23,166,8,3
2015-10-01,6,98,1,2,0,0,0,0,13,11,127,6,2
2015-11-01,12,245,4,6,2,4,1,3,15,10,85,4,3
2015-12-01,11,357,1,6,1,0,0,0,9,7,57,2,1
2016-01-01,7,51,0,4,0,5,2,3,14,24,128,7,2
2016-02-01,13,306,3,6,2,2,1,1,9,8,39,5,1
2016-03-01,12,255,1,5,1,1,0,1,6,2,14,3,1
2016-04-01,11,330,1,5,1,0,0,0,7,3,43,6,0
2016-05-01,13,474,1,7,0,1,1,0,4,2,5,5,0
2016-06-01,17,419,3,8,1,2,2,0,10,8,16,8,4
2016-07-01,21,784,2,7,0,0,0,0,28,30,119,18,11
2016-08-01,26,866,7,10,2,0,0,0,49,48,323,29,7
2016-09-01,24,442,6,9,2,0,0,0,138,109,862,35,14
2016-10-01,21,455,9,10,4,0,0,0,143,130,684,38,18
2016-11-01,21,324,6,8,2,0,0,0,129,100,484,27,12
2016-12-01,27,404,8,9,1,0,0,0,96,103,391,20,14
2017-01-01,38,786,11,9,0,0,0,0,185,223,829,31,19
2017-02-01,27,254,7,9,2,0,0,0,113,76,291,15,16
2017-03-01,25,372,2,8,0,0,0,0,54,63,255,13,5
2017-04-01,29,379,4,10,2,0,0,0,79,60,184,17,9
2017-05-01,31,451,6,11,3,1,1,0,52,51,100,10,6
2017-06-01,38,701,7,14,1,0,0,0,78,83,140,18,10
2017-07-01,24,284,2,8,1,0,0,0,66,102,335,19,9
2017-08-01,25,220,4,10,2,0,0,0,32,28,57,8,4
2017-09-01,25,139,4,11,3,0,0,0,102,90,209,7,2
2017-10-01,28,246,1,11,0,0,0,0,49,51,98,7,5
2017-11-01,35,418,6,13,1,0,0,0,60,63,154,12,9
2017-12-01,21,193,1,9,1,0,0,0,42,33,69,14,8
2018-01-01,25,213,3,10,1,0,0,0,42,53,140,14,5
2018-02-01,23,521,1,8,0,0,0,0,27,19,72,18,8
2018-03-01,13,182,0,7,0,0,0,0,15,16,55,7,1
2018-04-01,19,206,0,8,0,0,0,0,10,27,80,10,7
2018-05-01,18,248,0,10,0,0,0,0,11,8,33,9,0
2018-06-01,26,445,3,13,2,0,0,0,19,14,78,9,4
2018-07-01,41,940,13,15,3,0,0,0,55,84,220,18,17
2018-08-01,44,824,8,15,2,0,0,0,105,81,164,54,17
2018-09-01,44,360,5,14,1,0,0,0,62,68,147,47,13
2018-10-01,27,296,1,9,1,0,0,0,26,29,57,23,3
2018-11-01,21,221,0,8,0,0,0,0,14,14,49,10,3
2018-12-01,26,297,2,10,1,0,0,0,60,57,210,15,7
2019-01-01,31,255,8,13,3,0,0,0,58,59,171,26,14
2019-02-01,16,122,0,5,0,0,0,0,28,21,41,13,10
2019-03-01,28,142,5,8,0,0,0,0,36,31,89,7,9
2019-04-01,13,134,1,6,0,0,0,0,8,6,24,8,5
2019-05-01,13,69,2,6,0,0,0,0,10,12,28,6,2
2019-06-01,29,337,4,10,0,0,0,0,28,29,18,8,5
2019-07-01,33,475,5,13,2,0,0,0,75,70,90,13,7
2019-08-01,31,207,5,10,2,0,0,0,30,33,43,12,5
2019-09-01,21,58,5,9,2,0,0,0,25,26,73,7,4
2019-10-01,14,35,2,9,1,0,0,0,8,7,20,10,7
2019-11-01,11,63,0,4,0,0,0,0,10,9,39,4,6
2019-12-01,12,46,1,6,0,0,0,0,8,4,8,6,3
