dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2008-02-01,2,10,2,2,2,0,0,0,0,0,0,0,0
2008-03-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,1,52,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,6,57,5,6,5,0,0,0,0,0,0,0,0
2008-06-01,3,70,1,3,1,0,0,0,0,0,0,0,0
2008-07-01,8,119,5,7,4,0,0,0,0,0,0,0,0
2008-08-01,6,73,4,6,3,0,0,0,0,0,0,0,0
2008-09-01,8,165,5,5,2,0,0,0,0,0,0,0,0
2008-10-01,5,73,1,3,0,0,0,0,0,0,0,0,0
2008-11-01,6,89,1,3,1,0,0,0,0,0,0,0,0
2008-12-01,7,113,4,5,3,0,0,0,0,0,0,0,0
2009-01-01,7,106,4,6,4,0,0,0,0,0,0,0,0
2009-02-01,11,197,9,8,5,0,0,0,0,0,0,0,0
2009-03-01,13,269,5,11,4,0,0,0,0,0,0,0,0
2009-04-01,17,191,8,11,4,0,0,0,0,0,0,0,0
2009-05-01,17,117,12,13,8,0,0,0,0,0,0,0,0
2009-06-01,14,96,8,10,5,0,0,0,0,0,0,0,0
2009-07-01,12,108,6,8,4,0,0,0,0,0,0,0,0
2009-08-01,14,92,7,7,4,0,0,0,0,0,0,0,0
2009-09-01,12,91,0,7,0,0,0,0,0,0,0,0,0
2009-10-01,13,66,6,6,2,0,0,0,0,0,0,0,0
2009-11-01,15,74,9,10,6,0,0,0,0,0,0,0,0
2009-12-01,12,94,4,5,2,0,0,0,0,0,0,0,0
2010-01-01,11,82,4,7,3,0,0,0,0,0,0,0,0
2010-02-01,14,162,5,8,3,0,0,0,0,0,0,0,0
2010-03-01,15,172,9,9,5,0,0,0,0,0,0,0,0
2010-04-01,11,56,3,5,2,0,0,0,0,0,0,0,0
2010-05-01,8,54,2,3,1,0,0,0,0,0,0,0,0
2010-06-01,14,143,7,7,4,0,0,0,0,0,0,0,0
2010-07-01,8,98,2,5,2,0,0,0,0,0,0,0,0
2010-08-01,8,200,2,4,1,0,0,0,0,0,0,0,0
2010-09-01,8,131,4,4,2,0,0,0,0,0,0,0,0
2010-10-01,12,112,6,7,4,0,0,0,0,0,0,0,0
2010-11-01,12,97,7,4,2,0,0,0,0,0,0,0,0
2010-12-01,11,95,2,4,0,0,0,0,0,0,0,0,0
2011-01-01,14,251,6,5,3,0,0,0,0,0,0,0,0
2011-02-01,16,171,10,7,4,0,0,0,0,0,0,0,0
2011-03-01,18,109,6,7,3,0,0,0,0,0,0,0,0
2011-04-01,12,58,2,5,1,0,0,0,0,0,0,0,0
2011-05-01,15,70,4,6,1,0,0,0,0,0,0,0,0
2011-06-01,14,77,3,7,1,0,0,0,0,0,0,0,0
2011-07-01,14,62,6,6,4,0,0,0,0,0,0,0,0
2011-08-01,15,91,6,9,4,0,0,0,0,0,0,0,0
2011-09-01,16,119,5,5,0,0,0,0,0,0,0,0,0
2011-10-01,19,578,7,6,2,0,0,0,0,0,0,0,0
2011-11-01,25,501,8,10,4,0,0,0,0,0,0,0,0
2011-12-01,28,295,14,13,9,0,0,0,0,0,0,0,0
2012-01-01,39,240,19,16,9,0,0,0,0,0,0,0,0
2012-02-01,30,221,11,13,6,0,0,0,0,0,0,0,0
2012-03-01,30,288,14,6,3,0,0,0,0,0,0,0,0
2012-04-01,41,344,25,19,14,0,0,0,0,0,0,0,0
2012-05-01,39,298,16,13,6,0,0,0,0,0,0,0,0
2012-06-01,30,290,7,11,1,0,0,0,0,0,0,0,0
2012-07-01,21,138,3,8,1,0,0,0,0,0,0,0,0
2012-08-01,26,188,12,11,6,0,0,0,0,0,0,0,0
2012-09-01,37,222,13,13,6,0,0,0,0,0,0,0,0
2012-10-01,25,337,6,11,4,0,0,0,0,0,0,0,0
2012-11-01,24,206,9,9,4,0,0,0,0,0,0,0,0
2012-12-01,29,155,7,7,1,0,0,0,0,0,0,0,0
2013-01-01,38,200,15,13,5,0,0,0,0,0,0,0,0
2013-02-01,27,233,7,10,2,0,0,0,0,0,0,0,0
2013-03-01,40,480,19,18,11,0,0,0,0,0,0,0,0
2013-04-01,42,415,16,17,7,0,0,0,0,0,0,0,0
2013-05-01,35,226,16,19,11,0,0,0,0,0,0,0,0
2013-06-01,41,281,18,19,6,0,0,0,0,0,0,0,0
2013-07-01,44,395,22,17,8,0,0,0,0,0,0,0,0
2013-08-01,38,438,13,19,8,0,0,0,0,0,0,0,0
2013-09-01,35,292,18,18,9,0,0,0,0,0,0,0,0
2013-10-01,47,291,22,21,7,0,0,0,0,0,0,0,0
2013-11-01,28,182,9,11,3,0,0,0,0,0,0,0,0
2013-12-01,36,161,14,15,4,0,0,0,0,0,0,0,0
2014-01-01,31,201,6,11,2,0,0,0,0,0,0,0,0
