dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2007-07-01,1,8,1,1,1,0,0,0,0,0,0,0,0
2007-08-01,4,128,3,2,1,0,0,0,0,0,0,0,0
2007-09-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,2,131,1,2,1,0,0,0,0,0,0,0,0
2008-04-01,2,52,0,2,0,0,0,0,0,0,0,0,0
2008-05-01,2,71,0,2,0,0,0,0,0,0,0,0,0
2008-06-01,2,65,0,2,0,0,0,0,0,0,0,0,0
2008-07-01,2,24,0,2,0,0,0,0,0,0,0,0,0
2008-08-01,1,52,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,2,64,0,2,0,0,0,0,0,0,0,0,0
2008-10-01,2,43,1,1,0,0,0,0,0,0,0,0,0
2008-11-01,8,140,6,8,6,0,0,0,0,0,0,0,0
2008-12-01,4,112,0,3,0,0,0,0,0,0,0,0,0
2009-01-01,6,97,2,5,0,0,0,0,0,0,0,0,0
2009-02-01,2,156,0,2,0,0,0,0,0,0,0,0,0
2009-03-01,5,93,2,4,0,0,0,0,0,0,0,0,0
2009-04-01,4,67,2,4,1,0,0,0,0,0,0,0,0
2009-05-01,5,72,1,5,1,0,0,0,0,0,0,0,0
2009-06-01,5,69,2,5,1,0,0,0,0,0,0,0,0
2009-07-01,3,47,1,3,0,0,0,0,0,0,0,0,0
2009-08-01,2,41,1,2,0,0,0,0,0,0,0,0,0
2009-09-01,2,71,0,2,0,0,0,0,0,0,0,0,0
2009-10-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,1,29,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,4,40,3,4,2,0,0,0,0,0,0,0,0
2010-01-01,4,189,1,4,1,0,0,0,0,0,0,0,0
2010-02-01,3,75,1,3,0,0,0,0,0,0,0,0,0
2010-03-01,5,54,3,5,1,0,0,0,0,0,0,0,0
2010-04-01,7,74,2,6,1,0,0,0,0,0,0,0,0
2010-05-01,9,183,6,8,4,0,0,0,0,0,0,0,0
2010-06-01,9,156,4,8,2,0,0,0,0,0,0,0,0
2010-07-01,6,150,1,6,1,0,0,0,0,0,0,0,0
2010-08-01,9,274,4,8,3,0,0,0,0,0,0,0,0
2010-09-01,5,22,2,4,0,0,0,0,0,0,0,0,0
2010-10-01,6,44,3,6,3,0,0,0,0,0,0,0,0
2010-11-01,6,51,2,4,0,0,0,0,0,0,0,0,0
2010-12-01,5,12,2,5,0,0,0,0,0,0,0,0,0
2011-01-01,8,209,4,7,3,0,0,0,0,0,0,0,0
2011-02-01,3,6,0,3,0,0,0,0,0,0,0,0,0
2011-03-01,3,16,1,3,1,0,0,0,0,0,0,0,0
2011-04-01,3,7,2,3,2,0,0,0,0,0,0,0,0
2011-05-01,5,29,3,5,3,0,0,0,0,0,0,0,0
2011-06-01,6,18,1,4,0,0,0,0,0,0,0,0,0
2011-07-01,8,27,5,6,2,0,0,0,0,0,0,0,0
2011-08-01,7,13,2,6,1,0,0,0,0,0,0,0,0
2011-09-01,10,129,6,5,0,0,0,0,0,0,0,0,0
2011-10-01,5,41,2,4,0,0,0,0,0,0,0,0,0
2011-11-01,4,28,3,4,2,0,0,0,0,0,0,0,0
2011-12-01,3,4,3,3,1,0,0,0,0,0,0,0,0
2012-01-01,4,38,1,4,1,0,0,0,0,0,0,0,0
2012-02-01,6,23,3,6,2,0,0,0,0,0,0,0,0
2012-03-01,7,40,5,6,2,0,0,0,0,0,0,0,0
2012-04-01,3,4,1,3,1,0,0,0,0,0,0,0,0
2012-05-01,5,22,3,4,2,0,0,0,0,0,0,0,0
2012-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2012-07-01,4,5,0,3,0,0,0,0,0,0,0,0,0
2012-08-01,3,7,2,3,2,0,0,0,0,0,0,0,0
2012-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,6,58,2,3,0,0,0,0,0,0,0,0,0
2012-11-01,6,39,1,4,0,0,0,0,0,0,0,0,0
2012-12-01,11,66,5,8,3,0,0,0,0,0,0,0,0
2013-01-01,8,94,2,6,2,0,0,0,0,0,0,0,0
2013-02-01,10,76,3,6,1,0,0,0,0,0,0,0,0
2013-03-01,6,70,2,3,0,0,0,0,0,0,0,0,0
2013-04-01,11,46,5,7,3,0,0,0,0,0,0,0,0
2013-05-01,5,6,2,3,1,0,0,0,0,0,0,0,0
2013-06-01,5,38,1,5,1,0,0,0,0,0,0,0,0
2013-07-01,4,18,0,3,0,0,0,0,0,0,0,0,0
2013-08-01,8,16,6,4,2,0,0,0,0,0,0,0,0
2013-09-01,9,74,5,5,3,0,0,0,0,0,0,0,0
2013-10-01,11,39,6,5,2,0,0,0,0,0,0,0,0
2013-11-01,7,20,4,6,2,0,0,0,0,0,0,0,0
2013-12-01,5,29,0,3,0,0,0,0,0,0,0,0,0
2014-01-01,11,198,6,9,4,0,0,0,0,0,0,0,0
2014-02-01,7,12,4,6,3,0,0,0,0,0,0,0,0
2014-03-01,6,60,1,4,0,0,0,0,0,0,0,0,0
2014-04-01,7,25,3,6,2,0,0,0,0,0,0,0,0
2014-05-01,3,25,2,1,0,0,0,0,0,0,0,0,0
2014-06-01,5,25,2,3,1,0,0,0,0,0,0,0,0
2014-07-01,10,36,6,6,4,0,0,0,0,0,0,0,0
2014-08-01,7,129,2,3,0,0,0,0,0,0,0,0,0
2014-09-01,10,155,5,4,1,0,0,0,0,0,0,0,0
