dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2003-04-01,1,9,1,1,1,0,0,0,0,0,0,0,0
2003-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-07-01,1,26,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,3,11,2,3,2,0,0,0,0,0,0,0,0
2003-09-01,1,1,1,1,1,0,0,0,0,0,0,0,0
2003-10-01,9,85,5,7,3,0,0,0,0,0,0,0,0
2003-11-01,8,89,5,8,4,0,0,0,0,0,0,0,0
2003-12-01,19,150,12,18,12,0,0,0,0,0,0,0,0
2004-01-01,12,107,6,11,5,0,0,0,0,0,0,0,0
2004-02-01,10,115,4,10,4,0,0,0,0,0,0,0,0
2004-03-01,15,116,4,13,4,0,0,0,0,0,0,0,0
2004-04-01,10,62,6,9,4,0,0,0,0,0,0,0,0
2004-05-01,4,14,0,4,0,0,0,0,0,0,0,0,0
2004-06-01,7,14,2,7,2,0,0,0,0,0,0,0,0
2004-07-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2004-08-01,6,9,4,6,2,0,0,0,0,0,0,0,0
2004-09-01,6,22,2,6,2,0,0,0,0,0,0,0,0
2004-10-01,9,111,3,9,3,0,0,0,0,0,0,0,0
2004-11-01,4,69,0,4,0,0,0,0,0,0,0,0,0
2004-12-01,7,65,3,6,2,0,0,0,0,0,0,0,0
2005-01-01,7,24,4,7,4,0,0,0,0,0,0,0,0
2005-02-01,8,69,1,8,0,0,0,0,0,0,0,0,0
2005-03-01,6,89,2,5,1,0,0,0,0,0,0,0,0
2005-04-01,4,25,1,4,1,0,0,0,0,0,0,0,0
2005-05-01,4,13,1,4,1,0,0,0,0,0,0,0,0
2005-06-01,7,40,3,4,0,0,0,0,0,0,0,0,0
2005-07-01,8,61,3,6,3,0,0,0,0,0,0,0,0
