dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-05-01,1,4,1,1,1,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,1,87,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,3,103,2,3,2,0,0,0,0,0,0,0,0
2012-11-01,5,48,3,4,2,0,0,0,0,0,0,0,0
2012-12-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,8,20,6,5,3,0,0,0,0,0,0,0,0
2013-02-01,4,15,2,3,1,0,0,0,0,0,0,0,0
2013-03-01,7,19,5,4,2,0,0,0,0,0,0,0,0
2013-04-01,5,8,3,4,2,0,0,0,0,0,0,0,0
2013-05-01,8,37,5,5,2,0,0,0,0,0,0,0,0
2013-06-01,3,4,1,2,0,0,0,0,0,0,0,0,0
2013-07-01,3,9,1,3,0,0,0,0,0,0,0,0,0
2013-08-01,4,10,0,4,0,0,0,0,0,0,0,0,0
2013-09-01,3,16,0,2,0,0,0,0,0,0,0,0,0
2013-10-01,5,35,2,4,1,0,0,0,0,0,0,0,0
2013-11-01,2,12,1,2,1,0,0,0,0,0,0,0,0
2013-12-01,4,17,2,2,0,0,0,0,0,0,0,0,0
2014-01-01,6,30,3,4,2,0,0,0,0,0,0,0,0
2014-02-01,4,6,2,3,1,0,0,0,0,0,0,0,0
2014-03-01,5,7,3,3,1,0,0,0,0,0,0,0,0
2014-04-01,4,10,2,4,2,0,0,0,0,0,0,0,0
2014-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-06-01,3,3,1,2,0,0,0,0,0,0,0,0,0
2014-07-01,4,7,1,4,1,0,0,0,0,0,0,0,0
2014-08-01,5,16,3,4,2,0,0,0,0,0,0,0,0
2014-09-01,5,10,2,3,1,0,0,0,0,0,0,0,0
2014-10-01,3,4,1,3,1,0,0,0,0,0,0,0,0
2014-11-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2014-12-01,6,7,3,3,0,0,0,0,0,0,0,0,0
2015-01-01,9,37,6,6,4,0,0,0,0,0,0,0,0
2015-02-01,2,4,0,2,0,0,0,0,0,0,0,0,0
2015-03-01,2,30,1,2,1,0,0,0,0,0,0,0,0
2015-04-01,5,16,3,2,1,0,0,0,0,0,0,0,0
2015-05-01,4,15,2,2,1,0,0,0,0,0,0,0,0
2015-06-01,5,10,4,3,2,0,0,0,0,0,0,0,0
2015-07-01,3,10,1,2,0,0,0,0,0,0,0,0,0
2015-08-01,5,33,2,4,2,0,0,0,0,0,0,0,0
2015-09-01,6,17,1,4,1,0,0,0,0,0,0,0,0
2015-10-01,8,35,2,5,2,0,0,0,0,0,0,0,0
2015-11-01,7,33,2,3,1,0,0,0,0,0,0,0,0
2015-12-01,3,11,1,2,0,0,0,0,0,0,0,0,0
2016-01-01,10,33,4,3,1,0,0,0,0,0,0,0,0
2016-02-01,10,23,5,5,3,0,0,0,0,0,0,0,0
2016-03-01,6,11,3,4,3,0,0,0,0,0,0,0,0
2016-04-01,6,22,1,3,0,0,0,0,0,0,0,0,0
2016-05-01,4,17,1,3,1,0,0,0,0,0,0,0,0
2016-06-01,9,44,4,3,1,0,0,0,0,0,0,0,0
2016-07-01,7,34,4,4,3,0,0,0,0,0,0,0,0
2016-08-01,5,14,1,2,0,0,0,0,0,0,0,0,0
2016-09-01,5,10,0,2,0,0,0,0,0,0,0,0,0
2016-10-01,8,18,4,6,4,0,0,0,0,0,0,0,0
2016-11-01,5,8,2,3,2,0,0,0,0,0,0,0,0
2016-12-01,2,3,0,1,0,0,0,0,0,0,0,0,0
2017-01-01,4,8,0,2,0,0,0,0,0,0,0,0,0
2017-02-01,7,59,3,3,1,0,0,0,0,0,0,0,0
2017-03-01,8,171,5,3,0,0,0,0,0,0,0,0,0
2017-04-01,4,68,1,2,0,0,0,0,0,0,0,0,0
2017-05-01,8,150,5,3,1,0,0,0,0,0,0,0,0
2017-06-01,3,101,1,2,0,0,0,0,0,0,0,0,0
2017-07-01,2,56,0,2,0,0,0,0,0,0,0,0,0
2017-08-01,4,13,2,2,0,0,0,0,0,0,0,0,0
2017-09-01,4,26,2,2,0,0,0,0,0,0,0,0,0
2017-10-01,6,59,4,3,1,0,0,0,0,0,0,0,0
2017-11-01,2,71,0,2,0,0,0,0,0,0,0,0,0
2017-12-01,3,112,0,2,0,0,0,0,0,0,0,0,0
2018-01-01,3,103,1,2,0,0,0,0,0,0,0,0,0
2018-02-01,6,43,1,2,0,0,0,0,0,0,0,0,0
2018-03-01,2,39,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,3,29,0,2,0,4,1,3,16,13,136,1,0
2018-05-01,6,32,2,4,2,23,0,20,31,24,62,18,1
