dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2001-09-01,1,30,1,1,1,0,0,0,0,0,0,0,0
2001-10-01,4,49,3,4,3,0,0,0,0,0,0,0,0
2001-11-01,3,78,1,3,1,0,0,0,0,0,0,0,0
2001-12-01,4,57,0,4,0,0,0,0,0,0,0,0,0
2002-01-01,2,68,0,2,0,0,0,0,0,0,0,0,0
2002-02-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2002-03-01,3,30,1,3,1,0,0,0,0,0,0,0,0
2002-04-01,2,29,0,2,0,0,0,0,0,0,0,0,0
2002-05-01,3,41,0,3,0,0,0,0,0,0,0,0,0
2002-06-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2002-07-01,5,110,3,4,1,0,0,0,0,0,0,0,0
2002-08-01,2,161,0,2,0,0,0,0,0,0,0,0,0
2002-09-01,2,199,0,2,0,0,0,0,0,0,0,0,0
2002-10-01,3,136,0,3,0,0,0,0,0,0,0,0,0
2002-11-01,4,97,1,4,1,0,0,0,0,0,0,0,0
2002-12-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2003-01-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2003-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-01,1,2,1,1,1,0,0,0,0,0,0,0,0
2003-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-11-01,2,7,0,2,0,0,0,0,0,0,0,0,0
2003-12-01,3,17,1,3,0,0,0,0,0,0,0,0,0
2004-01-01,3,19,0,3,0,0,0,0,0,0,0,0,0
2004-02-01,2,29,0,2,0,0,0,0,0,0,0,0,0
2004-03-01,3,32,0,3,0,0,0,0,0,0,0,0,0
2004-04-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,2,49,1,2,1,0,0,0,0,0,0,0,0
2004-11-01,4,56,1,4,1,0,0,0,0,0,0,0,0
2004-12-01,5,138,1,5,0,0,0,0,0,0,0,0,0
2005-01-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,3,19,0,3,0,0,0,0,0,0,0,0,0
2005-03-01,2,41,0,2,0,0,0,0,0,0,0,0,0
2005-04-01,3,27,0,3,0,0,0,0,0,0,0,0,0
2005-05-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,2,25,0,2,0,0,0,0,0,0,0,0,0
2005-07-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,3,35,0,3,0,0,0,0,0,0,0,0,0
2005-10-01,4,39,0,4,0,0,0,0,0,0,0,0,0
2005-11-01,3,21,0,3,0,0,0,0,0,0,0,0,0
2005-12-01,3,8,0,3,0,0,0,0,0,0,0,0,0
2006-01-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2006-02-01,2,30,0,2,0,0,0,0,0,0,0,0,0
2006-03-01,2,65,0,2,0,0,0,0,0,0,0,0,0
2006-04-01,2,61,0,2,0,0,0,0,0,0,0,0,0
2006-05-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2006-06-01,2,51,0,2,0,0,0,0,0,0,0,0,0
2006-07-01,2,42,0,2,0,0,0,0,0,0,0,0,0
2006-08-01,2,28,0,2,0,0,0,0,0,0,0,0,0
2006-09-01,2,22,0,2,0,0,0,0,0,0,0,0,0
2006-10-01,3,80,1,2,0,0,0,0,0,0,0,0,0
2006-11-01,3,104,0,2,0,0,0,0,0,0,0,0,0
2006-12-01,4,93,1,3,1,0,0,0,0,0,0,0,0
2007-01-01,4,229,0,3,0,0,0,0,0,0,0,0,0
