dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2006-02-01,1,7,1,1,1,0,0,0,0,0,0,0,0
2006-03-01,2,53,1,2,1,0,0,0,0,0,0,0,0
2006-04-01,2,64,0,2,0,0,0,0,0,0,0,0,0
2006-05-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,2,106,0,2,0,0,0,0,0,0,0,0,0
2006-07-01,3,284,1,3,1,0,0,0,0,0,0,0,0
2006-08-01,3,335,0,3,0,0,0,0,0,0,0,0,0
2006-09-01,3,205,0,3,0,0,0,0,0,0,0,0,0
2006-10-01,4,30,2,3,1,0,0,0,0,0,0,0,0
2006-11-01,3,5,0,2,0,0,0,0,0,0,0,0,0
2006-12-01,3,5,1,3,1,0,0,0,0,0,0,0,0
2007-01-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,2,6,0,2,0,0,0,0,0,0,0,0,0
2007-03-01,2,18,0,2,0,0,0,0,0,0,0,0,0
2007-04-01,2,32,0,2,0,0,0,0,0,0,0,0,0
2007-05-01,5,98,2,4,0,0,0,0,0,0,0,0,0
2007-06-01,4,89,0,4,0,0,0,0,0,0,0,0,0
2007-07-01,4,135,0,4,0,0,0,0,0,0,0,0,0
2007-08-01,6,83,0,4,0,0,0,0,0,0,0,0,0
2007-09-01,4,103,0,4,0,0,0,0,0,0,0,0,0
2007-10-01,4,100,0,4,0,0,0,0,0,0,0,0,0
2007-11-01,2,45,0,2,0,0,0,0,0,0,0,0,0
2007-12-01,4,25,0,3,0,0,0,0,0,0,0,0,0
2008-01-01,3,73,0,3,0,0,0,0,0,0,0,0,0
2008-02-01,3,114,0,3,0,0,0,0,0,0,0,0,0
2008-03-01,5,50,1,4,1,0,0,0,0,0,0,0,0
2008-04-01,3,13,0,2,0,0,0,0,0,0,0,0,0
2008-05-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,3,219,1,3,1,0,0,0,0,0,0,0,0
2008-07-01,4,174,1,4,0,0,0,0,0,0,0,0,0
2008-08-01,4,99,0,3,0,0,0,0,0,0,0,0,0
2008-09-01,4,90,1,4,1,0,0,0,0,0,0,0,0
2008-10-01,7,98,0,5,0,0,0,0,0,0,0,0,0
2008-11-01,4,77,0,3,0,0,0,0,0,0,0,0,0
2008-12-01,2,49,0,2,0,0,0,0,0,0,0,0,0
2009-01-01,3,47,0,3,0,0,0,0,0,0,0,0,0
2009-02-01,4,91,0,4,0,0,0,0,0,0,0,0,0
2009-03-01,5,120,1,4,0,0,0,0,0,0,0,0,0
2009-04-01,4,19,0,4,0,0,0,0,0,0,0,0,0
2009-05-01,3,45,0,3,0,0,0,0,0,0,0,0,0
2009-06-01,5,27,0,5,0,0,0,0,0,0,0,0,0
2009-07-01,2,12,0,2,0,0,0,0,0,0,0,0,0
