dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2012-05-01,1,90,1,1,1,0,0,0,0,0,0,0,0
2012-06-01,2,63,1,2,1,0,0,0,0,0,0,0,0
2012-07-01,2,96,0,2,0,0,0,0,0,0,0,0,0
2012-08-01,2,62,0,2,0,0,0,0,0,0,0,0,0
2012-09-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2012-10-01,1,60,0,1,0,0,0,0,0,0,0,0,0
2012-11-01,1,115,0,1,0,0,0,0,0,0,0,0,0
2012-12-01,1,52,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,1,37,0,1,0,0,0,0,0,0,0,0,0
2013-02-01,3,64,1,2,0,0,0,0,0,0,0,0,0
2013-03-01,2,9,0,2,0,0,0,0,0,0,0,0,0
2013-04-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2013-06-01,2,27,0,2,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,2,27,0,2,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2014-03-01,2,3,1,1,0,0,0,0,0,0,0,0,0
2014-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,2,4,0,1,0,0,0,0,0,0,0,0,0
2014-09-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2014-10-01,2,12,1,1,0,0,0,0,0,0,0,0,0
2014-11-01,2,38,0,1,0,0,0,0,0,0,0,0,0
2014-12-01,3,47,0,1,0,0,0,0,0,0,0,0,0
2015-01-01,3,36,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,3,38,0,2,0,0,0,0,0,0,0,0,0
2015-03-01,3,25,1,1,0,0,0,0,0,0,0,0,0
2015-04-01,3,62,1,1,0,0,0,0,0,0,0,0,0
2015-05-01,3,102,0,1,0,0,0,0,0,0,0,0,0
2015-06-01,4,31,0,1,0,0,0,0,0,0,0,0,0
2015-07-01,2,22,0,1,0,0,0,0,0,0,0,0,0
2015-08-01,4,30,1,1,0,0,0,0,0,0,0,0,0
2015-09-01,3,38,2,1,0,0,0,0,0,0,0,0,0
2015-10-01,2,17,0,1,0,0,0,0,0,0,0,0,0
2015-11-01,2,21,0,1,0,0,0,0,0,0,0,0,0
2015-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2016-01-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2016-02-01,2,18,1,1,0,0,0,0,0,0,0,0,0
2016-03-01,3,15,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,5,33,0,1,0,0,0,0,0,0,0,0,0
2016-05-01,5,39,0,2,0,0,0,0,0,0,0,0,0
2016-06-01,3,9,0,2,0,0,0,0,0,0,0,0,0
2016-07-01,4,16,2,2,0,0,0,0,0,0,0,0,0
2016-08-01,2,25,1,2,0,0,0,0,0,0,0,0,0
2016-09-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2016-10-01,4,29,2,3,1,7,0,7,7,7,24,0,0
2016-11-01,2,31,0,2,0,8,0,7,9,8,28,0,0
2016-12-01,1,69,0,1,0,11,0,12,24,24,48,0,0
2017-01-01,2,75,0,2,0,2,0,2,21,15,31,36,1
2017-02-01,2,42,1,2,1,4,0,4,29,22,50,35,5
2017-03-01,1,8,0,1,0,3,0,2,7,3,21,8,2
2017-04-01,2,26,1,2,0,6,0,6,10,9,70,4,2
2017-05-01,1,58,0,1,0,4,0,4,19,15,36,13,0
2017-06-01,3,44,0,2,0,3,0,2,20,26,34,4,2
2017-07-01,3,121,0,2,0,11,0,12,26,33,53,3,0
2017-08-01,2,18,0,2,0,1,0,1,5,5,6,5,2
2017-09-01,2,34,0,2,0,3,0,3,16,12,11,2,1
2017-10-01,2,4,0,2,0,1,0,0,3,3,4,4,1
2017-11-01,2,10,0,2,0,0,0,1,1,3,0,2,0
2017-12-01,3,16,1,3,1,0,0,0,2,2,10,6,2
2018-01-01,4,19,1,3,1,2,1,1,6,3,4,7,2
2018-02-01,2,47,0,2,0,3,0,2,18,18,23,10,2
2018-03-01,2,19,1,2,0,1,0,1,6,3,4,2,0
2018-04-01,4,53,1,3,1,8,0,9,23,17,54,12,3
2018-05-01,5,64,1,4,1,14,0,14,34,25,90,16,1
2018-06-01,4,47,0,3,0,5,0,4,16,14,55,11,1
2018-07-01,6,60,1,3,0,7,1,7,25,23,59,10,3
2018-08-01,5,65,3,3,1,15,1,12,41,37,98,4,2
2018-09-01,4,51,0,3,0,3,0,3,28,24,31,10,1
2018-10-01,4,13,0,3,0,3,0,2,9,8,21,5,1
2018-11-01,3,34,1,3,1,7,0,7,17,14,23,16,2
2018-12-01,4,55,0,4,0,9,3,9,24,21,128,32,3
2019-01-01,4,16,1,4,1,3,0,2,16,11,15,17,4
2019-02-01,2,19,0,2,0,1,0,2,5,5,1,10,0
2019-03-01,1,4,0,1,0,1,0,0,5,1,26,7,1
2019-04-01,5,19,1,3,0,4,1,1,6,6,24,15,2
2019-05-01,5,10,2,3,0,2,0,3,5,4,22,9,0
2019-06-01,4,15,1,4,0,7,2,6,11,10,32,15,2
2019-07-01,2,6,0,2,0,1,0,1,3,2,15,13,1
2019-08-01,2,16,0,2,0,1,0,1,7,5,16,12,2
2019-09-01,3,44,0,3,0,4,0,4,16,12,48,25,0
2019-10-01,3,112,0,3,0,11,1,9,25,22,58,20,2
2019-11-01,4,34,0,3,0,9,0,8,17,14,61,6,0
2019-12-01,3,38,1,3,0,4,1,7,13,24,146,13,0
2020-01-01,3,13,0,3,0,1,0,1,8,7,34,6,2
2020-02-01,4,10,0,3,0,0,0,0,7,4,19,5,1
2020-03-01,2,4,1,2,0,2,0,1,5,3,36,6,1
2020-04-01,4,62,1,3,0,9,1,6,20,22,95,9,4
2020-05-01,4,46,0,3,0,4,1,6,12,13,55,14,2
2020-06-01,4,16,1,3,0,2,0,2,7,5,18,7,3
2020-07-01,4,24,1,3,0,2,2,0,5,6,16,10,3
2020-08-01,4,31,2,3,0,17,2,14,22,20,35,15,3
