dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2005-09-01,1,46,1,1,1,0,0,0,0,0,0,0,0
2005-10-01,1,104,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,1,117,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,1,163,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,1,71,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,212,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,67,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,1,62,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,103,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,36,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,1,72,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,47,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,16,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,31,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2008-03-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2008-04-01,1,33,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2008-06-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,42,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2008-11-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2008-12-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2009-01-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2009-02-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2009-03-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2009-04-01,1,27,0,1,0,0,0,0,0,0,0,0,0
2009-05-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2009-06-01,1,20,0,1,0,0,0,0,0,0,0,0,0
