dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2010-08-01,1,2,1,1,1,0,0,0,0,0,0,0,0
2010-09-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2010-10-01,2,3,1,1,0,0,0,0,0,0,0,0,0
2010-11-01,2,39,0,1,0,0,0,0,0,0,0,0,0
2010-12-01,2,35,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,3,55,1,1,0,0,0,0,0,0,0,0,0
2011-02-01,3,14,0,1,0,0,0,0,0,0,0,0,0
2011-03-01,5,18,2,2,1,0,0,0,0,0,0,0,0
2011-04-01,4,33,0,2,0,0,0,0,0,0,0,0,0
2011-05-01,4,70,0,2,0,0,0,0,0,0,0,0,0
2011-06-01,4,63,0,2,0,0,0,0,0,0,0,0,0
2011-07-01,5,29,1,2,0,0,0,0,0,0,0,0,0
2011-08-01,4,29,0,2,0,0,0,0,0,0,0,0,0
2011-09-01,2,10,1,1,0,0,0,0,0,0,0,0,0
2011-10-01,5,26,2,2,1,0,0,0,0,0,0,0,0
2011-11-01,3,39,0,1,0,0,0,0,0,0,0,0,0
2011-12-01,3,22,0,1,0,0,0,0,0,0,0,0,0
2012-01-01,3,14,1,2,1,0,0,0,0,0,0,0,0
2012-02-01,4,28,2,2,0,0,0,0,0,0,0,0,0
2012-03-01,5,96,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,3,24,0,1,0,0,0,0,0,0,0,0,0
2012-05-01,4,31,2,2,1,0,0,0,0,0,0,0,0
2012-06-01,4,49,0,2,0,0,0,0,0,0,0,0,0
2012-07-01,6,126,2,2,0,0,0,0,0,0,0,0,0
2012-08-01,7,108,0,2,0,0,0,0,0,0,0,0,0
2012-09-01,5,24,0,2,0,0,0,0,0,0,0,0,0
2012-10-01,6,48,0,2,0,0,0,0,0,0,0,0,0
2012-11-01,5,56,2,3,1,0,0,0,0,0,0,0,0
2012-12-01,6,59,0,3,0,0,0,0,0,0,0,0,0
2013-01-01,8,99,1,4,0,0,0,0,0,0,0,0,0
2013-02-01,5,49,1,1,0,0,0,0,0,0,0,0,0
2013-03-01,6,31,1,1,0,0,0,0,0,0,0,0,0
2013-04-01,5,53,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,3,12,0,2,0,0,0,0,0,0,0,0,0
2013-06-01,2,27,0,1,0,0,0,0,0,0,0,0,0
2013-07-01,4,52,1,1,0,0,0,0,0,0,0,0,0
2013-08-01,3,96,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,4,110,0,1,0,0,0,0,0,0,0,0,0
2013-10-01,3,18,0,1,0,0,0,0,0,0,0,0,0
2013-11-01,5,101,1,2,0,0,0,0,0,0,0,0,0
2013-12-01,7,59,3,1,0,0,0,0,0,0,0,0,0
2014-01-01,4,88,0,1,0,0,0,0,0,0,0,0,0
2014-02-01,6,68,1,1,0,0,0,0,0,0,0,0,0
2014-03-01,9,191,1,2,0,0,0,0,0,0,0,0,0
2014-04-01,4,56,0,1,0,0,0,0,0,0,0,0,0
2014-05-01,8,56,2,4,2,0,0,0,0,0,0,0,0
2014-06-01,9,81,3,3,1,0,0,0,0,0,0,0,0
2014-07-01,9,43,1,3,0,0,0,0,0,0,0,0,0
2014-08-01,8,70,1,2,0,0,0,0,0,0,0,0,0
2014-09-01,7,38,1,3,0,0,0,0,0,0,0,0,0
2014-10-01,4,32,1,1,0,0,0,0,0,0,0,0,0
2014-11-01,9,59,2,3,1,0,0,0,0,0,0,0,0
2014-12-01,4,39,0,2,0,0,0,0,0,0,0,0,0
2015-01-01,3,83,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,3,55,0,2,0,0,0,0,0,0,0,0,0
2015-03-01,5,28,2,2,0,0,0,0,0,0,0,0,0
2015-04-01,7,64,2,1,0,0,0,0,0,0,0,0,0
2015-05-01,3,19,0,2,0,0,0,0,0,0,0,0,0
2015-06-01,6,48,3,5,2,6,1,4,1681,1302,15589,89,20
2015-07-01,7,74,3,5,3,2,2,0,73,57,573,105,18
2015-08-01,8,82,2,5,1,0,1,0,106,92,574,85,19
2015-09-01,10,59,6,2,1,1,0,0,79,43,502,115,28
2015-10-01,6,57,1,3,0,0,0,1,71,54,353,79,14
2015-11-01,9,90,6,8,6,0,0,0,76,65,454,70,19
2015-12-01,8,70,2,7,2,0,0,0,66,60,400,106,20
2016-01-01,4,67,0,3,0,0,0,0,56,60,391,78,14
2016-02-01,5,56,1,3,0,0,0,0,66,58,469,76,14
2016-03-01,7,81,3,3,0,0,0,0,78,95,692,93,18
2016-04-01,7,95,2,4,1,0,0,0,89,83,733,89,12
2016-05-01,5,114,1,4,1,0,0,0,72,82,465,125,21
2016-06-01,9,111,5,6,3,0,0,0,122,86,819,127,27
2016-07-01,6,107,1,4,1,0,0,0,86,84,579,87,28
2016-08-01,9,109,4,4,1,0,0,0,117,93,875,99,14
2016-09-01,5,71,1,3,0,0,0,0,60,72,458,92,14
2016-10-01,6,68,1,5,1,0,0,0,58,54,439,90,14
2016-11-01,4,55,0,3,0,0,0,0,73,53,547,81,21
2016-12-01,4,77,0,3,0,0,0,0,71,72,445,90,21
2017-01-01,8,86,4,5,2,0,0,0,70,73,387,157,23
2017-02-01,6,88,2,5,1,0,0,0,70,70,401,99,9
2017-03-01,6,115,2,5,2,1,1,0,100,90,611,130,15
2017-04-01,7,95,3,5,1,0,0,0,104,98,799,110,22
2017-05-01,8,146,1,5,0,0,0,0,147,115,800,102,18
2017-06-01,10,145,6,6,3,0,0,0,119,134,1001,110,19
2017-07-01,7,86,1,5,1,0,0,0,75,72,479,79,14
2017-08-01,8,57,2,7,1,0,0,0,66,56,543,116,22
2017-09-01,7,58,2,5,1,0,0,0,55,61,424,98,12
2017-10-01,12,83,3,6,1,0,0,0,82,84,649,154,20
2017-11-01,7,141,1,4,0,0,0,0,109,108,607,119,16
2017-12-01,8,68,1,6,1,0,0,0,88,53,492,115,23
2018-01-01,8,179,3,5,2,0,0,0,142,158,850,145,26
2018-02-01,9,144,4,5,0,1,1,0,113,110,654,124,31
2018-03-01,9,116,5,4,1,0,0,0,109,87,684,148,26
2018-04-01,6,90,1,4,1,0,0,0,75,85,644,117,24
2018-05-01,7,78,1,4,1,0,0,0,79,79,704,129,14
2018-06-01,5,84,0,4,0,0,0,0,89,82,573,121,12
2018-07-01,7,116,3,4,0,0,0,0,88,82,529,138,18
2018-08-01,8,77,3,6,1,0,0,0,75,60,565,157,20
2018-09-01,6,66,0,3,0,0,0,0,54,50,281,125,19
2018-10-01,8,75,2,5,1,0,0,0,77,64,413,138,18
2018-11-01,5,23,2,2,0,0,0,0,32,31,249,138,30
2018-12-01,4,33,0,2,0,0,0,0,37,29,256,164,28
2019-01-01,6,42,2,2,0,0,0,0,40,41,377,156,21
2019-02-01,3,15,0,2,0,0,0,0,27,29,268,128,23
