dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2009-08-01,1,4,1,1,1,0,0,0,0,0,0,0,0
2009-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,2,28,1,1,0,0,0,0,0,0,0,0,0
2009-11-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2009-12-01,1,20,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,2,38,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,1,8,0,1,0,0,0,0,0,0,0,0,0
2010-06-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2010-07-01,3,49,2,3,2,0,0,0,0,0,0,0,0
2010-08-01,4,50,1,3,0,0,0,0,0,0,0,0,0
2010-09-01,2,36,0,2,0,0,0,0,0,0,0,0,0
2010-10-01,3,27,1,2,0,0,0,0,0,0,0,0,0
2010-11-01,3,31,0,2,0,0,0,0,0,0,0,0,0
2010-12-01,4,27,1,2,0,0,0,0,0,0,0,0,0
2011-01-01,8,44,7,7,6,0,0,0,0,0,0,0,0
2011-02-01,7,30,4,6,3,0,0,0,0,0,0,0,0
2011-03-01,8,46,6,7,5,0,0,0,0,0,0,0,0
2011-04-01,13,44,7,11,6,0,0,0,0,0,0,0,0
2011-05-01,23,159,17,17,12,0,0,0,0,0,0,0,0
2011-06-01,20,194,13,11,6,0,0,0,0,0,0,0,0
2011-07-01,20,235,7,12,4,0,0,0,0,0,0,0,0
2011-08-01,19,97,8,13,4,0,0,0,0,0,0,0,0
2011-09-01,19,144,7,11,4,0,0,0,0,0,0,0,0
2011-10-01,15,96,5,6,1,0,0,0,0,0,0,0,0
2011-11-01,15,85,4,7,2,0,0,0,0,0,0,0,0
2011-12-01,8,87,2,4,1,0,0,0,0,0,0,0,0
2012-01-01,12,77,2,7,1,0,0,0,0,0,0,0,0
2012-02-01,12,148,3,4,1,0,0,0,0,0,0,0,0
2012-03-01,17,121,5,10,4,0,0,0,0,0,0,0,0
2012-04-01,17,219,7,9,4,0,0,0,0,0,0,0,0
2012-05-01,17,358,2,11,1,0,0,0,0,0,0,0,0
2012-06-01,17,172,2,11,2,0,0,0,0,0,0,0,0
2012-07-01,15,134,2,10,2,0,0,0,0,0,0,0,0
2012-08-01,14,180,2,8,0,0,0,0,0,0,0,0,0
2012-09-01,15,163,3,11,3,0,0,0,0,0,0,0,0
2012-10-01,13,118,2,8,1,0,0,0,0,0,0,0,0
2012-11-01,17,94,5,11,2,0,0,0,0,0,0,0,0
2012-12-01,16,85,6,10,3,0,0,0,0,0,0,0,0
2013-01-01,14,143,3,10,1,0,0,0,0,0,0,0,0
2013-02-01,15,67,4,11,3,0,0,0,0,0,0,0,0
2013-03-01,16,78,6,12,5,0,0,0,0,0,0,0,0
2013-04-01,18,179,9,9,3,0,0,0,0,0,0,0,0
2013-05-01,25,129,13,17,8,0,0,0,0,0,0,0,0
2013-06-01,20,96,4,14,3,0,0,0,0,0,0,0,0
2013-07-01,17,68,3,12,3,0,0,0,0,0,0,0,0
2013-08-01,21,120,4,15,2,0,0,0,0,0,0,0,0
2013-09-01,15,113,2,11,2,0,0,0,0,0,0,0,0
2013-10-01,17,221,5,12,4,0,0,0,0,0,0,0,0
2013-11-01,22,165,8,15,5,0,0,0,0,0,0,0,0
2013-12-01,17,163,8,11,4,0,0,0,0,0,0,0,0
2014-01-01,20,202,7,11,2,0,0,0,0,0,0,0,0
2014-02-01,23,151,10,16,4,0,0,0,0,0,0,0,0
2014-03-01,41,193,23,27,14,0,0,0,0,0,0,0,0
