dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2001-05-01,1,83,1,1,1,0,0,0,0,0,0,0,0
2001-06-01,1,76,0,1,0,0,0,0,0,0,0,0,0
2001-07-01,2,50,1,1,0,0,0,0,0,0,0,0,0
2001-08-01,2,52,0,1,0,0,0,0,0,0,0,0,0
2001-09-01,1,106,0,1,0,0,0,0,0,0,0,0,0
2001-10-01,3,96,1,1,0,0,0,0,0,0,0,0,0
2001-11-01,4,111,2,1,0,0,0,0,0,0,0,0,0
2001-12-01,4,218,0,1,0,0,0,0,0,0,0,0,0
2002-01-01,5,174,1,1,0,0,0,0,0,0,0,0,0
2002-02-01,5,78,0,1,0,0,0,0,0,0,0,0,0
2002-03-01,5,199,0,1,0,0,0,0,0,0,0,0,0
2002-04-01,6,249,0,1,0,0,0,0,0,0,0,0,0
2002-05-01,4,111,0,1,0,0,0,0,0,0,0,0,0
2002-06-01,5,142,2,1,0,0,0,0,0,0,0,0,0
2002-07-01,7,210,1,1,0,0,0,0,0,0,0,0,0
2002-08-01,4,87,0,1,0,0,0,0,0,0,0,0,0
2002-09-01,8,149,0,1,0,0,0,0,0,0,0,0,0
2002-10-01,6,77,0,1,0,0,0,0,0,0,0,0,0
2002-11-01,5,155,0,1,0,0,0,0,0,0,0,0,0
2002-12-01,4,126,0,1,0,0,0,0,0,0,0,0,0
2003-01-01,3,68,0,1,0,0,0,0,0,0,0,0,0
2003-02-01,5,111,0,1,0,0,0,0,0,0,0,0,0
2003-03-01,4,91,0,1,0,0,0,0,0,0,0,0,0
2003-04-01,5,83,1,1,0,0,0,0,0,0,0,0,0
2003-05-01,8,163,0,1,0,0,0,0,0,0,0,0,0
2003-06-01,6,54,0,1,0,0,0,0,0,0,0,0,0
2003-07-01,5,90,0,1,0,0,0,0,0,0,0,0,0
2003-08-01,7,102,0,1,0,0,0,0,0,0,0,0,0
2003-09-01,4,40,0,1,0,0,0,0,0,0,0,0,0
2003-10-01,5,136,0,1,0,0,0,0,0,0,0,0,0
2003-11-01,5,42,0,1,0,0,0,0,0,0,0,0,0
2003-12-01,7,105,0,1,0,0,0,0,0,0,0,0,0
2004-01-01,7,109,0,1,0,0,0,0,0,0,0,0,0
2004-02-01,6,136,0,1,0,0,0,0,0,0,0,0,0
2004-03-01,5,121,0,1,0,0,0,0,0,0,0,0,0
2004-04-01,5,119,0,1,0,0,0,0,0,0,0,0,0
2004-05-01,5,106,0,1,0,0,0,0,0,0,0,0,0
2004-06-01,5,85,0,1,0,0,0,0,0,0,0,0,0
2004-07-01,5,161,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,5,97,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,5,165,0,1,0,0,0,0,0,0,0,0,0
