goal,KNeighborsRegressor,LinearRegression,SVR,RandomForestRegressor,DecisionTreeRegressor
0,1.33502294534835,2.89481933417266,1.51027976582951,1.44013157894737,0.926666666666667
1,0.614880952380952,0.875374381697668,0.610211897321312,0.479625,0.666666666666667
2,0.548536611902949,1.23569957198925,0.558041423590457,0.573098369903517,0.605900675848335
3,0.923388773388773,1.04685388363445,0.972774401353136,0.930585820895522,0.666666666666667
4,1.2,0.777720779477028,0.589947016350456,1.1375,1
5,1.2,1.69660111346839,0.784843119990001,1.17625,1
6,0.651631773399015,1.04045597036553,0.897344778045126,0.650135135135135,0.616666666666667
,,,,,
goal,KNN,LNR,SVR,RF,CART
0,134,289,151,144,93
1,61,88,61,48,67
2,55,124,56,57,61
3,92,105,97,93,67
4,120,78,59,114,100
5,120,170,78,118,100
6,65,104,90,65,62
