goal,KNeighborsRegressor,LinearRegression,SVR,RandomForestRegressor,DecisionTreeRegressor
0,0.616666666666667,1.0488561676247,0.704655083451669,0.603560606060606,0.567330917874396
1,0.4,0.443558944690832,0.328997923906166,0.263666666666667,0.25
2,0.330164822759088,0.540319929197088,0.372035697737589,0.323322530864197,0.364941938135855
3,0.378544061302682,0.716208655965408,0.716182230230628,0.3331875,0.190972222222222
4,0.6,1.15537514159633,1.06086109419765,0.85,0
5,0.6,1.11894086686377,0.759910100912307,0.68,0.5
6,0.4,0.470642442715365,0.526850840607066,0.302469696969697,0.3
,,,,,
goal,KNN,LNR,SVR,RF,CART
0,62,105,70,60,57
1,40,44,33,26,25
2,33,54,37,32,36
3,38,72,72,33,19
4,60,116,106,85,0
5,60,112,76,68,50
6,40,47,53,30,30
